"geo_id","population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
59150004,370,5,10,16,21,26,10,21,16,10,31,31,36,47,36,31,10,5,8,185,185,11,57,0,48,18,24,17,13,10,27,5,11,0,5,5,5,5,0,17,0,6,0,1,0,0,8,19,11,0,0,29,0,9,9
59150005,500,20,29,34,39,25,15,15,25,29,59,44,54,39,25,20,20,5,3,252,248,12,70,7,70,32,59,13,20,12,36,11,22,9,7,16,14,28,0,0,0,0,7,8,0,0,0,0,0,0,0,28,0,9,10
59150006,430,10,30,25,25,15,15,5,10,30,49,40,35,44,30,25,15,15,12,205,225,0,84,10,72,32,44,4,18,5,10,15,28,0,7,7,7,7,0,3,3,3,-1,0,0,0,0,10,10,13,0,19,6,15,-1
59150007,545,5,25,29,34,39,15,10,10,29,44,44,54,49,49,44,39,15,11,265,280,0,59,9,103,54,70,10,22,10,37,8,48,10,7,7,0,6,0,22,0,0,0,6,0,0,0,10,19,0,0,29,0,0,-1
59150008,595,10,46,46,41,31,10,10,5,25,56,56,61,56,51,41,25,20,5,300,295,0,50,30,87,37,42,20,24,20,28,26,43,4,20,32,0,5,0,17,0,0,5,7,0,0,0,23,11,17,0,35,0,6,6
59150009,400,10,30,20,50,35,10,5,20,20,20,45,35,30,35,15,5,10,5,187,213,0,71,13,57,21,37,23,10,10,26,0,7,0,7,7,7,8,0,7,6,7,0,0,0,0,22,0,0,6,6,36,0,0,6
59150010,830,25,25,71,81,46,20,15,25,41,66,97,66,71,66,51,31,15,18,410,420,9,135,9,167,61,67,29,38,27,41,21,27,5,13,8,8,6,27,0,0,0,0,11,0,0,9,0,18,0,0,43,20,22,9
59150012,510,20,30,30,45,30,15,20,15,30,35,35,54,45,40,35,25,5,1,248,262,0,55,12,44,18,30,8,9,7,24,0,22,0,4,16,9,5,13,16,0,9,0,1,0,0,0,17,47,12,0,64,12,45,11
59150013,360,5,20,25,30,25,15,10,15,20,35,30,35,30,20,25,10,5,5,182,178,0,60,7,31,13,26,9,20,11,36,0,25,0,0,4,9,6,0,0,0,0,0,0,0,0,0,12,30,0,0,49,0,0,12
59150014,1070,20,40,55,80,55,40,35,30,60,90,90,90,85,90,90,55,30,35,520,550,8,123,16,78,51,43,23,15,23,34,15,54,5,23,23,15,0,7,12,5,0,21,11,16,0,12,8,196,19,10,109,24,59,12
59150015,495,20,30,45,51,30,10,5,20,40,40,45,40,25,25,30,15,10,14,235,260,0,90,0,55,40,28,15,21,5,48,6,27,0,15,6,13,0,0,24,0,7,0,8,0,0,0,0,24,0,0,47,16,0,0
59150016,410,20,46,46,30,10,10,5,20,35,51,25,40,25,20,10,5,5,7,190,220,0,56,0,41,11,37,14,0,0,24,8,23,0,14,0,14,8,5,25,0,5,-1,0,0,0,15,0,19,8,0,63,0,12,9
59150017,300,10,20,20,25,15,15,5,10,20,20,30,34,25,20,15,15,5,-4,145,155,0,42,10,49,12,34,14,10,0,14,0,14,6,6,0,6,0,0,0,0,0,0,0,0,0,16,8,11,0,0,30,0,18,0
59150018,540,10,29,29,44,34,10,0,15,15,44,63,49,34,54,49,29,15,17,255,285,17,77,16,71,16,45,7,22,16,31,0,9,0,14,0,14,20,10,18,8,0,9,0,0,0,0,0,29,16,0,38,8,20,9
59150019,595,20,46,56,36,31,5,10,20,51,66,46,31,46,36,46,25,15,9,285,310,10,61,32,101,43,58,26,0,25,33,15,36,6,6,13,13,6,0,39,6,0,9,8,0,0,0,25,0,0,0,10,0,0,14
59150020,390,21,26,26,31,21,16,0,21,26,47,42,31,26,10,16,21,5,4,190,200,9,59,0,29,22,19,15,12,9,18,5,17,0,5,0,5,1,0,0,0,0,0,0,0,0,0,23,17,0,0,123,0,0,2
59150021,290,10,20,20,25,29,10,5,10,15,20,25,29,20,20,15,10,5,2,145,145,9,36,0,57,26,24,7,18,0,35,0,18,0,11,5,8,14,0,21,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2
59150022,295,20,25,30,35,15,5,5,10,25,30,20,15,15,20,10,10,5,0,150,145,0,26,5,40,13,24,4,6,0,19,15,4,0,7,0,0,5,4,10,0,5,1,0,0,0,18,18,15,0,0,43,0,0,13
