geo_id,block_group_name,population,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,m,f,white,black.aa,a.ind..nat.ak,asian,nat.hi.pt.isl,other,two.,not.hisp.latino,hisp.latino
1500000US510594504002,"Block Group 2, Census Tract 4504, Fairfax County, Virginia",1674,178,227,143,279,205,284,263,70,25,755,919,1337,20,30,99,0,162,26,1156,518
1500000US510594156002,"Block Group 2, Census Tract 4156, Fairfax County, Virginia",1090,111,112,41,28,175,174,204,104,141,553,537,1044,2,0,35,0,1,8,1047,43
1500000US510594302031,"Block Group 1, Census Tract 4302.03, Fairfax County, Virginia",2688,330,323,445,323,358,416,239,193,61,1275,1413,1776,193,30,528,0,1,160,2536,152
1500000US510594805011,"Block Group 1, Census Tract 4805.01, Fairfax County, Virginia",725,125,99,64,16,107,173,111,30,0,396,329,692,0,0,33,0,0,0,648,77
1500000US510594501001,"Block Group 1, Census Tract 4501, Fairfax County, Virginia",583,95,15,125,125,102,21,84,16,0,263,320,478,45,0,45,0,15,0,532,51
1500000US510594704004,"Block Group 4, Census Tract 4704, Fairfax County, Virginia",1494,260,230,29,117,197,244,245,114,58,739,755,1196,18,0,272,0,0,8,1383,111
1500000US510594160003,"Block Group 3, Census Tract 4160, Fairfax County, Virginia",1038,116,69,258,100,104,180,135,32,44,498,540,912,48,0,8,0,55,15,882,156
1500000US510594826021,"Block Group 1, Census Tract 4826.02, Fairfax County, Virginia",2003,333,264,220,184,429,213,255,61,44,1115,888,731,0,0,1155,0,0,117,2003,0
1500000US510594901012,"Block Group 2, Census Tract 4901.01, Fairfax County, Virginia",1872,260,246,239,226,361,138,155,110,137,946,926,1024,257,0,465,0,0,126,1579,293
1500000US510594808012,"Block Group 2, Census Tract 4808.01, Fairfax County, Virginia",2534,355,514,195,288,347,320,338,113,64,1275,1259,1805,108,0,264,0,250,107,1936,598
1500000US510594709001,"Block Group 1, Census Tract 4709, Fairfax County, Virginia",1937,270,217,86,62,316,362,195,127,302,995,942,1801,2,0,134,0,0,0,1937,0
1500000US510594511001,"Block Group 1, Census Tract 4511, Fairfax County, Virginia",1004,105,98,67,147,113,138,156,141,39,496,508,650,43,0,151,0,110,50,884,120
1500000US510594406001,"Block Group 1, Census Tract 4406, Fairfax County, Virginia",3116,428,461,451,367,465,378,356,146,64,1565,1551,2069,85,10,600,0,93,259,2436,680
1500000US510594911034,"Block Group 4, Census Tract 4911.03, Fairfax County, Virginia",755,85,113,97,161,101,90,84,24,0,362,393,414,116,0,130,0,0,95,678,77
1500000US510594711001,"Block Group 1, Census Tract 4711, Fairfax County, Virginia",1396,198,110,323,280,224,134,61,27,39,1023,373,804,13,0,381,0,188,10,1208,188
1500000US510594605021,"Block Group 1, Census Tract 4605.02, Fairfax County, Virginia",3428,344,528,460,639,616,485,269,36,51,1594,1834,1634,185,0,1407,0,0,202,3248,180
1500000US510594516011,"Block Group 1, Census Tract 4516.01, Fairfax County, Virginia",2785,692,423,435,341,416,242,150,39,47,1396,1389,1452,94,0,413,0,781,45,1051,1734
