"geo_id","block_group_name","population","m0_9","m10_19","m20_29","m30_39","m40_49","m50_59","m60_69","m70_79","m80_89","f0_9","f10_19","f20_29","f30_39","f40_49","f50_59","f60_69","f70_79","f80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two."
"1400000US51059416300","Census Tract 4163, Fairfax County, Virginia","1969",114,191,43,95,119,179,195,75,24,88,132,61,78,101,143,194,92,45,1035,934,1764,91,0,65,6,0,43
"1400000US51059421300","Census Tract 4213, Fairfax County, Virginia","3982",293,113,255,331,261,207,252,202,51,212,231,182,399,258,323,255,105,52,1965,2017,2867,477,9,348,0,135,146
"1400000US51059421500","Census Tract 4215, Fairfax County, Virginia","7340",923,720,399,754,602,274,235,139,39,413,520,387,779,531,234,297,54,40,4085,3255,4298,1642,0,391,0,844,165
"1400000US51059451900","Census Tract 4519, Fairfax County, Virginia","5399",410,391,299,453,326,300,272,92,83,130,278,562,448,445,379,278,153,100,2626,2773,3194,800,19,923,16,212,235
"1400000US51059421900","Census Tract 4219, Fairfax County, Virginia","3066",481,231,473,285,106,47,15,7,0,449,218,291,304,139,12,8,0,0,1645,1421,1822,603,11,169,43,88,330
"1400000US51059430400","Census Tract 4304, Fairfax County, Virginia","7309",570,500,274,550,568,519,396,204,130,523,533,283,468,505,488,360,297,141,3711,3598,4811,289,0,1700,54,148,307
"1400000US51059460300","Census Tract 4603, Fairfax County, Virginia","2961",192,232,110,81,248,280,123,123,54,229,257,75,128,212,278,138,168,33,1443,1518,2478,32,0,325,0,29,97
"1400000US51059452000","Census Tract 4520, Fairfax County, Virginia","3085",209,167,250,204,120,176,171,63,30,174,63,226,219,178,270,124,182,259,1390,1695,1592,466,46,751,0,56,174
"1400000US51059481000","Census Tract 4810, Fairfax County, Virginia","6725",878,386,543,900,546,235,143,61,42,582,292,432,682,470,273,168,53,39,3734,2991,3184,965,10,1211,0,1196,159
"1400000US51059481900","Census Tract 4819, Fairfax County, Virginia","6285",320,340,718,273,305,293,479,173,125,365,402,500,378,472,512,370,109,151,3026,3259,4569,786,10,554,0,112,254
"1400000US51059415200","Census Tract 4152, Fairfax County, Virginia","3135",83,117,97,209,242,240,190,67,17,142,189,228,253,286,281,272,164,58,1262,1873,2737,63,13,186,0,28,108
"1400000US51059415600","Census Tract 4156, Fairfax County, Virginia","2784",173,118,47,14,266,207,299,109,106,222,124,102,105,219,246,171,97,159,1339,1445,2568,2,0,149,0,14,51
"1400000US51059416200","Census Tract 4162, Fairfax County, Virginia","5353",884,647,353,484,382,122,13,0,0,703,412,319,642,278,88,26,0,0,2885,2468,3241,1202,0,218,0,101,591
"1400000US51059450400","Census Tract 4504, Fairfax County, Virginia","2783",131,192,55,196,212,212,202,90,13,200,241,119,191,237,240,174,43,35,1303,1480,2016,37,30,427,0,162,111
"1400000US51059416000","Census Tract 4160, Fairfax County, Virginia","5986",492,442,390,554,349,402,233,103,112,450,324,420,394,408,401,275,120,117,3077,2909,3780,1211,25,443,0,152,375
"1400000US51059421600","Census Tract 4216, Fairfax County, Virginia","6538",716,291,294,728,489,478,175,62,13,726,336,386,705,270,427,213,216,13,3246,3292,2736,2193,0,691,42,438,438
"1400000US51059432300","Census Tract 4323, Fairfax County, Virginia","5385",332,339,454,315,333,353,386,221,53,313,294,266,366,281,419,441,140,79,2786,2599,3718,438,0,1038,11,35,145
"1400000US51059440300","Census Tract 4403, Fairfax County, Virginia","2629",110,230,85,89,162,231,151,181,65,93,218,58,135,192,249,190,137,53,1304,1325,2044,130,14,387,0,1,53
