SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,RACE,PWGTP1
2018GQ0000050,5,1,51044,3,80_89,m,white,68
2018GQ0000091,5,1,51225,3,20_29,f,black.aa,67
2018GQ0000111,5,1,51135,3,30_39,m,black.aa,121
2018GQ0000143,5,1,51125,3,20_29,m,black.aa,45
2018GQ0000152,5,1,55002,3,30_39,m,white,115
2018GQ0000260,5,1,51215,3,30_39,m,white,21
2018GQ0000312,5,1,51125,3,50_59,m,black.aa,20
2018GQ0000340,5,1,51045,3,10_19,f,black.aa,21
2018GQ0000350,5,1,51020,3,70_79,m,white,125
2018GQ0000366,5,1,4103,3,20_29,f,black.aa,10
2018GQ0000382,5,1,51044,3,20_29,m,white,78
2018GQ0000399,5,1,51045,3,80_89,m,white,19
2018GQ0000427,5,1,51110,3,10_19,f,white,69
2018GQ0000430,5,1,51154,3,80_89,m,white,17
2018GQ0000496,5,1,51080,3,80_89,f,white,6
2018GQ0000542,5,1,51080,3,10_19,m,white,98
2018GQ0000700,5,1,51097,3,70_79,f,white,136
2018GQ0000715,5,1,51155,3,30_39,m,black.aa,15
2018GQ0000788,5,1,51154,3,10_19,f,black.aa,96
2018GQ0000857,5,1,51215,3,20_29,f,white,6
2018GQ0000889,5,1,4102,3,30_39,m,white,11
2018GQ0000899,5,1,51206,3,80_89,m,white,15
2018GQ0000960,5,1,1302,3,70_79,f,white,28
2018GQ0000980,5,1,51040,3,90_99,f,white,0
2018GQ0001055,5,1,51235,3,10_19,f,white,7
2018GQ0001062,5,1,51206,3,10_19,f,two.,3
2018GQ0001108,5,1,55002,3,40_49,m,black.aa,58
2018GQ0001155,5,1,51154,3,50_59,f,black.aa,197
2018GQ0001162,5,1,51105,3,50_59,m,black.aa,17
2018GQ0001253,5,1,4103,3,10_19,m,black.aa,3
2018GQ0001262,5,1,51096,3,20_29,m,black.aa,152
2018GQ0001271,5,1,51215,3,40_49,f,white,2
2018GQ0001275,5,1,51167,3,50_59,m,black.aa,2
2018GQ0001325,5,1,51090,3,10_19,m,white,4
2018GQ0001414,5,1,51110,3,10_19,m,white,6
2018GQ0001444,5,1,55002,3,20_29,m,black.aa,27
2018GQ0001498,5,1,51135,3,50_59,m,white,45
2018GQ0001548,5,1,51010,3,30_39,m,black.aa,26
2018GQ0001608,5,1,51105,3,10_19,m,white,156
2018GQ0001634,5,1,51154,3,20_29,f,black.aa,207
2018GQ0001756,5,1,51010,3,40_49,m,white,151
2018GQ0001759,5,1,51010,3,60_69,f,white,4
2018GQ0001811,5,1,51105,3,10_19,f,white,85
2018GQ0001813,5,1,51110,3,10_19,m,white,9
2018GQ0001817,5,1,51096,3,10_19,f,white,64
2018GQ0001846,5,1,51246,3,30_39,f,black.aa,303
2018GQ0001899,5,1,51089,3,30_39,f,white,80
2018GQ0001932,5,1,51096,3,20_29,m,white,93
2018GQ0001934,5,1,51135,3,50_59,m,black.aa,15
2018GQ0001950,5,1,51085,3,10_19,f,white,144
2018GQ0001999,5,1,51080,3,10_19,f,white,12
2018GQ0002078,5,1,51040,3,10_19,f,a.ind..nat.ak,91
2018GQ0002095,5,1,51235,3,40_49,m,two.,141
2018GQ0002107,5,1,51215,3,10_19,f,white,0
2018GQ0002172,5,1,51206,3,20_29,m,white,12
2018GQ0002184,5,1,51045,3,70_79,f,white,174
2018GQ0002236,5,1,51090,3,10_19,f,asian,28
2018GQ0002371,5,1,51164,3,30_39,f,white,7
2018GQ0002405,5,1,51110,3,20_29,m,black.aa,15
2018GQ0002556,5,1,51235,3,10_19,f,black.aa,5
2018GQ0002617,5,1,51080,3,10_19,m,white,5
2018GQ0002638,5,1,51010,3,20_29,m,white,0
2018GQ0002686,5,1,51110,3,10_19,f,two.,2
2018GQ0002732,5,1,51135,3,10_19,f,white,80
2018GQ0002832,5,1,51044,3,20_29,f,white,2
2018GQ0002853,5,1,51040,3,10_19,f,black.aa,30
2018GQ0002870,5,1,51105,3,60_69,m,black.aa,59
2018GQ0002901,5,1,4102,3,90_99,m,white,21
2018GQ0002953,5,1,51096,3,10_19,f,white,19
2018GQ0002955,5,1,51090,3,20_29,f,white,8
2018GQ0002972,5,1,51105,3,20_29,f,white,6
2018GQ0002997,5,1,1302,3,20_29,m,white,263
2018GQ0003099,5,1,51154,3,50_59,m,white,11
2018GQ0003108,5,1,51040,3,10_19,m,white,42
2018GQ0003201,5,1,51096,3,10_19,f,white,43
2018GQ0003253,5,1,51097,3,80_89,f,white,126
2018GQ0003274,5,1,51097,3,30_39,m,black.aa,69
2018GQ0003317,5,1,10701,3,50_59,m,black.aa,165
2018GQ0003338,5,1,59303,3,10_19,f,white,65
2018GQ0003396,5,1,51040,3,20_29,m,white,9
2018GQ0003406,5,1,51010,3,30_39,m,two.,16
2018GQ0003537,5,1,51105,3,20_29,m,black.aa,26
2018GQ0003544,5,1,51175,3,20_29,m,black.aa,37
2018GQ0003568,5,1,51085,3,80_89,f,white,226
2018GQ0003590,5,1,4102,3,10_19,m,white,6
2018GQ0003622,5,1,51096,3,20_29,m,white,36
2018GQ0003654,5,1,51097,3,30_39,m,black.aa,74
2018GQ0003687,5,1,51084,3,10_19,f,white,21
2018GQ0003741,5,1,51090,3,10_19,f,asian,2
2018GQ0003761,5,1,51080,3,50_59,m,white,96
2018GQ0003773,5,1,51206,3,20_29,m,white,146
2018GQ0003840,5,1,51090,3,10_19,m,white,86
2018GQ0003842,5,1,51096,3,40_49,m,black.aa,58
2018GQ0003851,5,1,51135,3,20_29,m,black.aa,53
2018GQ0003857,5,1,51175,3,70_79,m,white,87
2018GQ0003867,5,1,51154,3,20_29,m,white,190
2018GQ0003897,5,1,51044,3,10_19,f,white,3
