"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18"
"9330000.00",960895.00,282360.00,160060.00,513895.00,20530.00,93415.00,156440.00,242200.00,1305.00,4580.00,960890.00,275455.00,300170.00,153090.00,139180.00,93005.00,2426235.00,2.50
"9330001.01",2310.00,195.00,5.00,2120.00,35.00,1675.00,60.00,350.00,0.00,0.00,2315.00,525.00,695.00,455.00,430.00,205.00,6135.00,2.60
"9330001.02",2085.00,140.00,65.00,1885.00,0.00,1165.00,75.00,650.00,0.00,0.00,2090.00,445.00,735.00,425.00,350.00,135.00,5310.00,2.50
"9330002.01",2510.00,615.00,640.00,1250.00,0.00,315.00,320.00,610.00,0.00,0.00,2510.00,765.00,775.00,440.00,345.00,185.00,6090.00,2.40
"9330002.03",1295.00,350.00,0.00,945.00,0.00,0.00,745.00,190.00,5.00,0.00,1295.00,200.00,360.00,230.00,255.00,250.00,4075.00,3.10
"9330002.04",1560.00,345.00,0.00,1215.00,10.00,280.00,415.00,510.00,0.00,0.00,1560.00,395.00,460.00,265.00,255.00,190.00,4230.00,2.70
"9330003.01",1080.00,185.00,0.00,900.00,5.00,5.00,730.00,165.00,0.00,0.00,1080.00,150.00,245.00,175.00,230.00,275.00,3705.00,3.40
"9330003.02",1315.00,135.00,0.00,1180.00,5.00,10.00,835.00,320.00,5.00,0.00,1315.00,260.00,265.00,225.00,240.00,320.00,4390.00,3.30
"9330004.01",1930.00,400.00,540.00,985.00,30.00,115.00,525.00,310.00,0.00,0.00,1930.00,645.00,540.00,305.00,260.00,180.00,4720.00,2.40
"9330004.02",1690.00,210.00,0.00,1480.00,25.00,0.00,1040.00,410.00,0.00,0.00,1690.00,335.00,340.00,310.00,320.00,385.00,5525.00,3.30
"9330005.00",4325.00,30.00,130.00,4165.00,40.00,145.00,30.00,3945.00,10.00,5.00,4325.00,2415.00,1225.00,395.00,225.00,65.00,7300.00,1.70
"9330006.01",1690.00,660.00,0.00,1025.00,280.00,0.00,400.00,330.00,5.00,0.00,1685.00,355.00,455.00,400.00,290.00,185.00,4670.00,2.80
"9330006.02",1825.00,675.00,90.00,1060.00,235.00,95.00,390.00,340.00,5.00,0.00,1830.00,405.00,510.00,380.00,330.00,200.00,5060.00,2.80
"9330007.01",2155.00,995.00,230.00,930.00,5.00,30.00,285.00,590.00,25.00,0.00,2155.00,590.00,625.00,385.00,365.00,195.00,5540.00,2.60
"9330007.02",1155.00,890.00,5.00,260.00,5.00,25.00,140.00,85.00,0.00,0.00,1150.00,180.00,360.00,205.00,230.00,185.00,3455.00,3.00
"9330008.01",575.00,265.00,0.00,310.00,0.00,80.00,0.00,230.00,0.00,0.00,580.00,120.00,190.00,80.00,95.00,90.00,1655.00,2.90
"9330008.02",1495.00,1115.00,0.00,380.00,5.00,0.00,220.00,150.00,10.00,0.00,1495.00,275.00,475.00,275.00,305.00,170.00,4205.00,2.80
"9330009.00",3195.00,1025.00,605.00,1560.00,10.00,15.00,225.00,1320.00,0.00,0.00,3200.00,1180.00,1005.00,455.00,355.00,200.00,7085.00,2.20
"9330010.01",2210.00,705.00,605.00,900.00,15.00,185.00,70.00,635.00,5.00,0.00,2210.00,710.00,665.00,355.00,295.00,180.00,5355.00,2.40
"9330010.02",1645.00,805.00,335.00,505.00,5.00,70.00,130.00,300.00,0.00,0.00,1650.00,350.00,490.00,295.00,300.00,215.00,4640.00,2.80
"9330011.00",2310.00,315.00,0.00,2000.00,5.00,65.00,1110.00,765.00,45.00,0.00,2310.00,565.00,615.00,380.00,385.00,370.00,6615.00,2.90
"9330012.00",2905.00,835.00,15.00,2060.00,105.00,55.00,1285.00,595.00,20.00,0.00,2905.00,660.00,855.00,490.00,530.00,370.00,8080.00,2.80
"9330013.01",2155.00,470.00,0.00,1685.00,5.00,80.00,1150.00,395.00,50.00,0.00,2155.00,455.00,540.00,405.00,375.00,370.00,6475.00,3.00
"9330013.03",1560.00,235.00,0.00,1325.00,35.00,30.00,920.00,345.00,0.00,0.00,1560.00,275.00,390.00,290.00,270.00,330.00,4980.00,3.20
"9330013.04",1100.00,275.00,0.00,825.00,0.00,0.00,615.00,210.00,0.00,0.00,1100.00,160.00,270.00,215.00,220.00,235.00,3635.00,3.30
"9330014.01",1015.00,290.00,0.00,730.00,10.00,0.00,435.00,280.00,5.00,0.00,1015.00,180.00,280.00,195.00,175.00,180.00,3075.00,3.00
"9330014.02",2055.00,390.00,0.00,1670.00,25.00,85.00,855.00,690.00,10.00,0.00,2055.00,480.00,535.00,375.00,335.00,330.00,5965.00,2.90
"9330015.01",1735.00,585.00,0.00,1145.00,0.00,0.00,1000.00,150.00,0.00,0.00,1735.00,270.00,455.00,340.00,360.00,305.00,5475.00,3.20
"9330015.02",2050.00,620.00,0.00,1430.00,5.00,0.00,880.00,550.00,0.00,0.00,2050.00,470.00,505.00,380.00,390.00,305.00,5925.00,2.90
"9330016.01",1765.00,190.00,75.00,1505.00,10.00,125.00,840.00,520.00,5.00,0.00,1770.00,415.00,435.00,310.00,305.00,300.00,5175.00,2.90
"9330016.04",2620.00,490.00,280.00,1845.00,30.00,30.00,950.00,835.00,5.00,0.00,2625.00,580.00,760.00,550.00,370.00,355.00,7345.00,2.80
"9330016.05",1815.00,130.00,355.00,1330.00,0.00,30.00,750.00,485.00,60.00,0.00,1815.00,525.00,500.00,295.00,280.00,220.00,4760.00,2.60
"9330016.06",2445.00,0.00,1980.00,470.00,0.00,0.00,0.00,470.00,0.00,0.00,2450.00,975.00,855.00,380.00,165.00,75.00,4890.00,2.00
"9330017.01",2645.00,465.00,385.00,1800.00,15.00,100.00,1335.00,325.00,25.00,0.00,2645.00,585.00,725.00,525.00,435.00,380.00,7525.00,2.80
"9330017.02",2290.00,475.00,100.00,1720.00,10.00,45.00,1120.00,540.00,5.00,0.00,2290.00,510.00,590.00,450.00,410.00,330.00,6580.00,2.90
"9330018.01",2300.00,395.00,0.00,1905.00,5.00,0.00,1370.00,490.00,45.00,0.00,2300.00,415.00,615.00,470.00,430.00,365.00,6910.00,3.00
"9330018.02",2400.00,475.00,5.00,1920.00,10.00,0.00,1550.00,360.00,0.00,0.00,2400.00,495.00,645.00,460.00,475.00,325.00,6925.00,2.90
"9330019.00",1925.00,580.00,140.00,1205.00,55.00,0.00,800.00,345.00,0.00,0.00,1920.00,595.00,540.00,330.00,305.00,155.00,4755.00,2.50
"9330020.00",840.00,420.00,65.00,350.00,10.00,145.00,70.00,125.00,0.00,0.00,845.00,180.00,270.00,170.00,130.00,90.00,2285.00,2.70
"9330021.00",1230.00,1025.00,0.00,200.00,5.00,0.00,115.00,75.00,5.00,0.00,1230.00,185.00,375.00,240.00,235.00,190.00,3670.00,3.00
"9330022.00",1680.00,85.00,960.00,635.00,20.00,30.00,45.00,540.00,0.00,0.00,1680.00,840.00,505.00,180.00,115.00,40.00,3060.00,1.80
"9330023.00",1365.00,925.00,0.00,445.00,0.00,5.00,400.00,30.00,0.00,0.00,1370.00,180.00,405.00,285.00,325.00,170.00,4065.00,3.00
"9330024.00",1985.00,1370.00,5.00,610.00,5.00,0.00,530.00,75.00,0.00,0.00,1990.00,330.00,575.00,375.00,460.00,240.00,5785.00,2.90
"9330025.00",2690.00,1400.00,0.00,1290.00,0.00,0.00,980.00,305.00,5.00,0.00,2695.00,560.00,785.00,535.00,565.00,245.00,7315.00,2.70
"9330026.00",1760.00,1165.00,0.00,595.00,20.00,0.00,345.00,230.00,0.00,0.00,1760.00,420.00,495.00,365.00,330.00,155.00,4675.00,2.70
"9330027.01",1430.00,755.00,230.00,450.00,0.00,185.00,210.00,55.00,0.00,0.00,1435.00,335.00,375.00,270.00,300.00,145.00,3960.00,2.80
"9330027.02",1385.00,460.00,255.00,665.00,0.00,50.00,150.00,465.00,0.00,0.00,1385.00,300.00,440.00,290.00,245.00,110.00,3630.00,2.60
"9330028.00",1165.00,625.00,0.00,540.00,0.00,35.00,140.00,360.00,0.00,0.00,1160.00,290.00,395.00,160.00,180.00,140.00,3050.00,2.60
"9330029.00",2780.00,660.00,215.00,1900.00,60.00,35.00,685.00,1120.00,5.00,0.00,2780.00,885.00,945.00,385.00,380.00,190.00,6495.00,2.30
"9330030.00",2585.00,805.00,0.00,1785.00,15.00,90.00,1030.00,640.00,5.00,0.00,2585.00,590.00,870.00,400.00,455.00,275.00,6865.00,2.70
"9330031.01",2545.00,545.00,90.00,1915.00,30.00,80.00,895.00,905.00,10.00,0.00,2545.00,745.00,835.00,405.00,365.00,195.00,6135.00,2.40
"9330031.02",1780.00,290.00,0.00,1485.00,65.00,15.00,715.00,690.00,5.00,0.00,1780.00,430.00,595.00,315.00,270.00,170.00,4610.00,2.60
"9330032.00",3615.00,575.00,550.00,2500.00,105.00,120.00,1155.00,1065.00,40.00,0.00,3620.00,980.00,1130.00,680.00,555.00,280.00,9085.00,2.50
"9330033.01",1915.00,380.00,0.00,1535.00,10.00,60.00,930.00,530.00,0.00,0.00,1915.00,445.00,590.00,360.00,310.00,205.00,5170.00,2.70
"9330033.02",1020.00,165.00,0.00,855.00,40.00,20.00,660.00,140.00,0.00,0.00,1020.00,185.00,270.00,185.00,205.00,175.00,3135.00,3.10
"9330034.01",1785.00,365.00,0.00,1415.00,25.00,0.00,955.00,425.00,10.00,0.00,1780.00,385.00,495.00,315.00,310.00,285.00,5195.00,2.90
"9330034.02",2485.00,530.00,70.00,1890.00,85.00,210.00,1080.00,500.00,10.00,0.00,2485.00,540.00,720.00,485.00,405.00,340.00,7025.00,2.80
"9330035.01",1535.00,315.00,0.00,1220.00,10.00,35.00,955.00,225.00,0.00,0.00,1535.00,345.00,455.00,265.00,265.00,205.00,4295.00,2.80
"9330035.02",2635.00,530.00,130.00,1970.00,40.00,45.00,970.00,915.00,0.00,0.00,2635.00,700.00,760.00,490.00,425.00,265.00,6905.00,2.60
"9330036.01",2085.00,665.00,0.00,1420.00,0.00,0.00,1115.00,305.00,5.00,0.00,2085.00,410.00,595.00,400.00,365.00,320.00,6120.00,2.90
"9330036.02",2045.00,770.00,0.00,1280.00,5.00,0.00,1070.00,210.00,0.00,0.00,2045.00,375.00,550.00,415.00,390.00,310.00,6115.00,3.00
"9330037.01",2020.00,160.00,0.00,1860.00,260.00,20.00,605.00,965.00,0.00,0.00,2015.00,560.00,675.00,355.00,300.00,130.00,4905.00,2.40
"9330037.02",1600.00,110.00,0.00,1490.00,190.00,10.00,400.00,885.00,0.00,0.00,1600.00,575.00,475.00,285.00,165.00,100.00,3625.00,2.30
"9330038.00",2900.00,50.00,415.00,2435.00,55.00,120.00,225.00,2025.00,5.00,0.00,2900.00,1290.00,1050.00,305.00,175.00,75.00,5435.00,1.90
"9330039.01",3370.00,105.00,235.00,3030.00,85.00,55.00,185.00,2710.00,5.00,0.00,3370.00,1635.00,1205.00,315.00,175.00,35.00,5880.00,1.70
"9330039.02",2990.00,20.00,770.00,2190.00,25.00,90.00,30.00,2030.00,20.00,0.00,2985.00,1385.00,1045.00,325.00,200.00,35.00,5420.00,1.80
"9330040.01",2840.00,0.00,750.00,2090.00,10.00,35.00,5.00,2040.00,0.00,0.00,2845.00,1810.00,860.00,135.00,40.00,5.00,4110.00,1.40
"9330040.02",2955.00,20.00,735.00,2200.00,20.00,15.00,10.00,2155.00,0.00,0.00,2950.00,1725.00,995.00,170.00,60.00,10.00,4495.00,1.50
"9330041.01",2775.00,10.00,760.00,2005.00,55.00,10.00,5.00,1940.00,0.00,0.00,2770.00,1515.00,1035.00,155.00,60.00,10.00,4335.00,1.60
"9330041.02",3700.00,200.00,655.00,2840.00,220.00,95.00,365.00,2160.00,0.00,0.00,3700.00,1535.00,1295.00,500.00,290.00,75.00,7205.00,1.90
"9330042.00",2640.00,620.00,0.00,2015.00,45.00,15.00,1140.00,810.00,5.00,0.00,2640.00,705.00,875.00,455.00,415.00,185.00,6485.00,2.50
"9330043.01",1675.00,515.00,255.00,895.00,25.00,15.00,525.00,330.00,0.00,0.00,1670.00,495.00,530.00,270.00,265.00,115.00,4040.00,2.40
"9330043.02",1600.00,810.00,0.00,785.00,0.00,0.00,545.00,240.00,0.00,0.00,1595.00,295.00,545.00,285.00,315.00,155.00,4325.00,2.70
"9330044.00",2110.00,845.00,165.00,1095.00,35.00,45.00,330.00,690.00,5.00,0.00,2110.00,755.00,725.00,260.00,235.00,135.00,4685.00,2.20
"9330045.01",2360.00,190.00,0.00,2175.00,270.00,75.00,380.00,1440.00,5.00,0.00,2360.00,840.00,980.00,285.00,215.00,45.00,4765.00,2.00
"9330045.02",2780.00,170.00,35.00,2575.00,385.00,15.00,635.00,1535.00,5.00,0.00,2780.00,970.00,1025.00,420.00,280.00,90.00,5855.00,2.10
"9330046.00",3055.00,75.00,20.00,2965.00,70.00,100.00,115.00,2675.00,5.00,0.00,3060.00,1600.00,1025.00,280.00,125.00,30.00,5145.00,1.70
"9330047.01",2265.00,20.00,450.00,1795.00,80.00,25.00,15.00,1670.00,5.00,0.00,2265.00,1275.00,800.00,130.00,50.00,5.00,3505.00,1.50
