"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23"
"9330000.00",679360.00,327260.00,158785.00,145800.00,47515.00,2.90,679365.00,574670.00,495060.00,79610.00,104695.00,84740.00,19950.00,574670.00,260290.00,314375.00,129480.00,139085.00,45815.00,104695.00,66970.00,29305.00,8420.00
"9330001.01",1790.00,785.00,455.00,425.00,125.00,3.00,1790.00,1385.00,1225.00,160.00,405.00,340.00,65.00,1385.00,515.00,870.00,345.00,400.00,125.00,405.00,270.00,105.00,35.00
"9330001.02",1630.00,775.00,425.00,350.00,80.00,2.80,1630.00,1315.00,1175.00,145.00,315.00,270.00,35.00,1315.00,550.00,765.00,355.00,335.00,75.00,315.00,225.00,70.00,20.00
"9330002.01",1745.00,845.00,460.00,355.00,80.00,2.80,1750.00,1420.00,1250.00,170.00,330.00,270.00,55.00,1420.00,630.00,785.00,360.00,345.00,85.00,330.00,215.00,100.00,15.00
"9330002.03",1170.00,500.00,280.00,290.00,95.00,3.00,1165.00,995.00,925.00,65.00,175.00,135.00,35.00,995.00,385.00,610.00,235.00,280.00,90.00,175.00,120.00,45.00,10.00
"9330002.04",1210.00,565.00,290.00,275.00,80.00,2.90,1210.00,1000.00,890.00,110.00,215.00,180.00,30.00,1000.00,430.00,575.00,235.00,250.00,80.00,210.00,135.00,55.00,20.00
"9330003.01",990.00,355.00,235.00,285.00,110.00,3.20,990.00,820.00,755.00,70.00,170.00,135.00,35.00,820.00,255.00,565.00,185.00,270.00,105.00,170.00,95.00,50.00,20.00
"9330003.02",1160.00,430.00,290.00,305.00,135.00,3.20,1160.00,955.00,895.00,60.00,205.00,165.00,35.00,955.00,315.00,640.00,225.00,285.00,130.00,205.00,115.00,65.00,20.00
"9330004.01",1275.00,610.00,350.00,260.00,65.00,2.80,1280.00,1055.00,930.00,125.00,225.00,180.00,45.00,1055.00,455.00,595.00,290.00,240.00,65.00,225.00,150.00,55.00,20.00
"9330004.02",1465.00,580.00,345.00,385.00,150.00,3.10,1460.00,1195.00,1095.00,100.00,265.00,225.00,45.00,1195.00,415.00,780.00,265.00,370.00,140.00,270.00,165.00,75.00,25.00
"9330005.00",1630.00,1020.00,360.00,200.00,45.00,2.60,1630.00,1300.00,945.00,350.00,330.00,290.00,40.00,1295.00,765.00,530.00,290.00,200.00,45.00,335.00,255.00,70.00,5.00
"9330006.01",1305.00,545.00,385.00,290.00,80.00,3.00,1305.00,1050.00,975.00,75.00,255.00,230.00,25.00,1050.00,375.00,670.00,315.00,280.00,80.00,255.00,170.00,75.00,15.00
"9330006.02",1440.00,635.00,410.00,325.00,75.00,2.90,1440.00,1170.00,1075.00,90.00,275.00,230.00,40.00,1165.00,440.00,720.00,340.00,310.00,75.00,275.00,190.00,70.00,20.00
"9330007.01",1550.00,680.00,405.00,360.00,105.00,2.90,1550.00,1300.00,1180.00,120.00,250.00,205.00,50.00,1295.00,515.00,780.00,335.00,345.00,100.00,250.00,165.00,70.00,20.00
"9330007.02",995.00,430.00,215.00,250.00,100.00,3.10,995.00,845.00,775.00,65.00,155.00,130.00,20.00,845.00,330.00,515.00,185.00,230.00,95.00,150.00,100.00,35.00,20.00
"9330008.01",465.00,225.00,100.00,95.00,45.00,3.00,465.00,340.00,270.00,75.00,120.00,85.00,35.00,345.00,155.00,190.00,70.00,75.00,45.00,120.00,75.00,25.00,20.00
"9330008.02",1210.00,520.00,265.00,305.00,115.00,3.00,1210.00,1060.00,990.00,70.00,150.00,130.00,25.00,1060.00,430.00,635.00,215.00,300.00,115.00,150.00,95.00,50.00,5.00
"9330009.00",1920.00,990.00,460.00,360.00,105.00,2.80,1920.00,1500.00,1325.00,175.00,420.00,360.00,60.00,1500.00,715.00,785.00,350.00,335.00,100.00,420.00,280.00,110.00,35.00
"9330010.01",1460.00,705.00,370.00,305.00,80.00,2.90,1460.00,1190.00,1095.00,95.00,275.00,240.00,35.00,1190.00,540.00,650.00,285.00,280.00,80.00,270.00,165.00,90.00,25.00
"9330010.02",1315.00,580.00,330.00,310.00,100.00,3.00,1315.00,1065.00,985.00,80.00,250.00,215.00,35.00,1065.00,420.00,645.00,260.00,290.00,100.00,250.00,155.00,70.00,20.00
"9330011.00",1800.00,810.00,400.00,435.00,150.00,3.00,1795.00,1475.00,1350.00,120.00,325.00,260.00,65.00,1475.00,600.00,875.00,310.00,415.00,150.00,325.00,210.00,85.00,25.00
"9330012.00",2130.00,930.00,495.00,560.00,150.00,3.00,2130.00,1785.00,1600.00,185.00,340.00,290.00,45.00,1790.00,700.00,1090.00,400.00,540.00,145.00,345.00,230.00,95.00,20.00
"9330013.01",1745.00,715.00,435.00,425.00,170.00,3.10,1750.00,1420.00,1295.00,120.00,325.00,275.00,55.00,1420.00,515.00,910.00,360.00,400.00,150.00,330.00,205.00,80.00,40.00
"9330013.03",1350.00,535.00,350.00,325.00,135.00,3.10,1345.00,1085.00,1015.00,75.00,265.00,225.00,40.00,1085.00,385.00,700.00,265.00,305.00,135.00,260.00,150.00,90.00,25.00
"9330013.04",1010.00,385.00,265.00,275.00,90.00,3.10,1010.00,825.00,765.00,60.00,185.00,155.00,30.00,830.00,280.00,550.00,205.00,260.00,85.00,185.00,110.00,60.00,15.00
"9330014.01",900.00,405.00,235.00,190.00,65.00,2.90,900.00,700.00,650.00,50.00,200.00,160.00,40.00,700.00,280.00,420.00,180.00,185.00,60.00,195.00,125.00,60.00,15.00
"9330014.02",1670.00,730.00,430.00,370.00,135.00,3.00,1670.00,1305.00,1215.00,95.00,365.00,305.00,60.00,1305.00,490.00,815.00,335.00,345.00,135.00,365.00,245.00,100.00,25.00
"9330015.01",1545.00,620.00,400.00,405.00,130.00,3.00,1550.00,1285.00,1205.00,80.00,265.00,200.00,65.00,1285.00,460.00,825.00,320.00,380.00,120.00,265.00,160.00,75.00,25.00
"9330015.02",1635.00,670.00,425.00,415.00,120.00,3.00,1630.00,1340.00,1245.00,90.00,295.00,245.00,50.00,1340.00,500.00,835.00,335.00,385.00,115.00,295.00,170.00,85.00,35.00
"9330016.01",1385.00,570.00,355.00,335.00,130.00,3.00,1385.00,1055.00,980.00,75.00,330.00,260.00,70.00,1055.00,380.00,675.00,255.00,300.00,120.00,330.00,185.00,100.00,45.00
"9330016.04",1960.00,860.00,550.00,400.00,155.00,2.90,1955.00,1560.00,1375.00,185.00,400.00,330.00,70.00,1560.00,595.00,960.00,450.00,365.00,145.00,400.00,260.00,105.00,35.00
"9330016.05",1220.00,550.00,285.00,300.00,80.00,2.90,1220.00,985.00,860.00,125.00,235.00,195.00,40.00,985.00,395.00,595.00,225.00,290.00,80.00,235.00,155.00,65.00,15.00
"9330016.06",1280.00,780.00,320.00,145.00,30.00,2.60,1275.00,1030.00,830.00,195.00,250.00,215.00,30.00,1030.00,585.00,440.00,275.00,140.00,30.00,250.00,195.00,50.00,5.00
"9330017.01",2070.00,905.00,580.00,435.00,150.00,2.90,2065.00,1645.00,1455.00,195.00,420.00,365.00,60.00,1645.00,655.00,995.00,440.00,410.00,145.00,420.00,255.00,140.00,35.00
"9330017.02",1715.00,720.00,455.00,405.00,130.00,3.00,1715.00,1360.00,1210.00,145.00,355.00,275.00,85.00,1355.00,485.00,870.00,360.00,385.00,130.00,360.00,230.00,95.00,30.00
"9330018.01",1915.00,825.00,515.00,435.00,135.00,3.00,1915.00,1530.00,1365.00,165.00,385.00,315.00,65.00,1530.00,580.00,950.00,410.00,410.00,130.00,385.00,245.00,105.00,35.00
"9330018.02",1850.00,765.00,470.00,480.00,130.00,3.00,1855.00,1510.00,1325.00,190.00,340.00,270.00,65.00,1515.00,540.00,970.00,390.00,460.00,130.00,340.00,225.00,80.00,30.00
"9330019.00",1285.00,620.00,310.00,290.00,65.00,2.80,1285.00,1095.00,955.00,140.00,190.00,155.00,30.00,1095.00,485.00,610.00,265.00,285.00,60.00,190.00,130.00,50.00,10.00
"9330020.00",655.00,315.00,175.00,120.00,45.00,2.90,655.00,540.00,500.00,35.00,120.00,95.00,25.00,540.00,245.00,295.00,140.00,110.00,45.00,120.00,70.00,40.00,10.00
"9330021.00",1030.00,420.00,250.00,245.00,115.00,3.10,1030.00,855.00,790.00,70.00,170.00,145.00,30.00,860.00,330.00,530.00,185.00,240.00,110.00,175.00,90.00,60.00,15.00
