"COL0","COL1","COL2","COL3"
"9330000.00",462125.00,214710.00,247415.00
"9330001.01",840.00,245.00,595.00
"9330001.02",685.00,265.00,425.00
"9330002.01",1150.00,515.00,640.00
"9330002.03",565.00,250.00,315.00
"9330002.04",715.00,285.00,425.00
"9330003.01",555.00,265.00,285.00
"9330003.02",735.00,375.00,360.00
"9330004.01",1090.00,505.00,580.00
"9330004.02",990.00,485.00,505.00
"9330005.00",3140.00,1620.00,1520.00
"9330006.01",825.00,370.00,455.00
"9330006.02",865.00,425.00,440.00
"9330007.01",980.00,390.00,585.00
"9330007.02",420.00,145.00,270.00
"9330008.01",270.00,130.00,145.00
"9330008.02",535.00,200.00,340.00
"9330009.00",1720.00,660.00,1060.00
"9330010.01",1175.00,445.00,735.00
"9330010.02",735.00,295.00,440.00
"9330011.00",1265.00,555.00,710.00
"9330012.00",1730.00,790.00,940.00
"9330013.01",1150.00,510.00,640.00
"9330013.03",845.00,385.00,460.00
"9330013.04",525.00,240.00,290.00
"9330014.01",455.00,185.00,265.00
"9330014.02",1025.00,395.00,630.00
"9330015.01",765.00,360.00,400.00
"9330015.02",1020.00,450.00,575.00
"9330016.01",955.00,405.00,555.00
"9330016.04",1590.00,685.00,900.00
"9330016.05",1160.00,555.00,605.00
"9330016.06",1625.00,765.00,860.00
"9330017.01",1455.00,680.00,775.00
"9330017.02",1455.00,680.00,775.00
"9330018.01",1260.00,570.00,685.00
"9330018.02",1355.00,620.00,740.00
"9330019.00",1100.00,450.00,650.00
"9330020.00",400.00,160.00,240.00
"9330021.00",495.00,200.00,295.00
"9330022.00",1000.00,310.00,685.00
"9330023.00",445.00,175.00,275.00
"9330024.00",695.00,280.00,410.00
"9330025.00",1180.00,495.00,690.00
"9330026.00",765.00,315.00,455.00
"9330027.01",650.00,230.00,420.00
"9330027.02",495.00,170.00,325.00
"9330028.00",600.00,245.00,355.00
"9330029.00",1610.00,660.00,950.00
"9330030.00",1390.00,635.00,760.00
"9330031.01",1485.00,630.00,855.00
"9330031.02",1055.00,485.00,570.00
"9330032.00",2125.00,1005.00,1120.00
"9330033.01",1030.00,415.00,615.00
"9330033.02",545.00,255.00,295.00
"9330034.01",1105.00,530.00,570.00
"9330034.02",1470.00,730.00,740.00
"9330035.01",955.00,460.00,495.00
"9330035.02",1525.00,730.00,795.00
"9330036.01",1155.00,550.00,605.00
"9330036.02",1095.00,550.00,540.00
"9330037.01",1580.00,775.00,805.00
"9330037.02",1330.00,700.00,630.00
"9330038.00",2035.00,920.00,1110.00
"9330039.01",2345.00,1010.00,1335.00
"9330039.02",1830.00,670.00,1160.00
"9330040.01",2310.00,960.00,1350.00
"9330040.02",2200.00,805.00,1390.00
"9330041.01",2050.00,770.00,1280.00
"9330041.02",2180.00,830.00,1350.00
"9330042.00",1620.00,695.00,925.00
"9330043.01",1020.00,465.00,555.00
"9330043.02",670.00,265.00,405.00
"9330044.00",1145.00,470.00,675.00
"9330045.01",1525.00,665.00,860.00
"9330045.02",1895.00,855.00,1035.00
"9330046.00",2290.00,990.00,1300.00
"9330047.01",1620.00,670.00,945.00
"9330047.02",2050.00,930.00,1125.00
"9330048.00",3220.00,1435.00,1785.00
"9330049.01",4325.00,2000.00,2330.00
"9330049.02",1630.00,590.00,1040.00
"9330050.02",2650.00,1345.00,1305.00
"9330050.03",2565.00,1340.00,1225.00
"9330050.04",1430.00,740.00,685.00
"9330051.01",830.00,375.00,455.00
"9330051.02",1015.00,450.00,565.00
"9330052.01",1330.00,600.00,735.00
"9330052.02",1165.00,575.00,590.00
"9330053.01",1485.00,700.00,785.00
"9330053.02",795.00,440.00,355.00
