"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8"
"9330000.00",960895.00,600775.00,226490.00,374290.00,37595.00,322525.00,275455.00,47070.00
"9330001.01",2310.00,1665.00,470.00,1195.00,60.00,590.00,525.00,65.00
"9330001.02",2090.00,1535.00,510.00,1020.00,45.00,510.00,445.00,65.00
"9330002.01",2505.00,1560.00,555.00,1005.00,90.00,850.00,765.00,85.00
"9330002.03",1290.00,895.00,265.00,635.00,130.00,265.00,200.00,65.00
"9330002.04",1560.00,1025.00,350.00,675.00,90.00,445.00,395.00,50.00
"9330003.01",1080.00,740.00,165.00,580.00,115.00,220.00,150.00,65.00
"9330003.02",1315.00,805.00,180.00,625.00,165.00,345.00,260.00,85.00
"9330004.01",1930.00,1080.00,370.00,705.00,95.00,755.00,645.00,110.00
"9330004.02",1690.00,1035.00,240.00,795.00,200.00,455.00,330.00,120.00
"9330005.00",4330.00,1580.00,740.00,840.00,30.00,2725.00,2410.00,310.00
"9330006.01",1690.00,1135.00,305.00,825.00,85.00,470.00,355.00,110.00
"9330006.02",1825.00,1225.00,345.00,880.00,105.00,500.00,405.00,95.00
"9330007.01",2160.00,1395.00,450.00,950.00,75.00,685.00,590.00,100.00
"9330007.02",1155.00,880.00,275.00,605.00,60.00,220.00,180.00,40.00
"9330008.01",580.00,400.00,140.00,255.00,30.00,145.00,125.00,25.00
"9330008.02",1495.00,1135.00,385.00,745.00,40.00,325.00,275.00,55.00
"9330009.00",3200.00,1805.00,665.00,1140.00,55.00,1335.00,1175.00,155.00
"9330010.01",2210.00,1335.00,490.00,845.00,65.00,815.00,715.00,105.00
"9330010.02",1650.00,1140.00,350.00,795.00,80.00,420.00,350.00,70.00
"9330011.00",2310.00,1405.00,425.00,980.00,180.00,720.00,560.00,155.00
"9330012.00",2900.00,1825.00,590.00,1240.00,150.00,925.00,660.00,270.00
"9330013.01",2155.00,1385.00,365.00,1025.00,170.00,600.00,455.00,140.00
"9330013.03",1560.00,1010.00,250.00,760.00,160.00,390.00,275.00,115.00
"9330013.04",1100.00,755.00,180.00,575.00,120.00,230.00,160.00,75.00
"9330014.01",1015.00,690.00,190.00,500.00,100.00,225.00,180.00,45.00
"9330014.02",2055.00,1335.00,350.00,985.00,160.00,560.00,480.00,85.00
"9330015.01",1735.00,1225.00,325.00,895.00,155.00,355.00,270.00,85.00
"9330015.02",2055.00,1330.00,375.00,955.00,145.00,575.00,470.00,105.00
"9330016.01",1770.00,1120.00,275.00,840.00,130.00,520.00,415.00,105.00
"9330016.04",2625.00,1685.00,500.00,1185.00,135.00,810.00,585.00,225.00
"9330016.05",1815.00,1065.00,325.00,735.00,75.00,675.00,525.00,150.00
"9330016.06",2445.00,1190.00,550.00,640.00,40.00,1215.00,970.00,245.00
"9330017.01",2645.00,1720.00,510.00,1210.00,170.00,755.00,590.00,175.00
"9330017.02",2295.00,1445.00,385.00,1060.00,135.00,720.00,510.00,205.00
"9330018.01",2300.00,1510.00,420.00,1090.00,195.00,595.00,420.00,175.00
"9330018.02",2400.00,1580.00,435.00,1140.00,135.00,690.00,495.00,195.00
"9330019.00",1920.00,1145.00,430.00,715.00,65.00,705.00,595.00,115.00
"9330020.00",840.00,585.00,215.00,375.00,35.00,225.00,180.00,40.00
"9330021.00",1230.00,965.00,305.00,655.00,35.00,235.00,190.00,45.00
"9330022.00",1685.00,775.00,340.00,430.00,10.00,900.00,840.00,55.00
"9330023.00",1365.00,1090.00,315.00,770.00,45.00,230.00,180.00,50.00
"9330024.00",1985.00,1520.00,475.00,1045.00,65.00,405.00,335.00,70.00
"9330025.00",2690.00,1905.00,570.00,1335.00,55.00,730.00,560.00,175.00
"9330026.00",1760.00,1215.00,370.00,845.00,50.00,495.00,415.00,75.00
"9330027.01",1435.00,990.00,260.00,725.00,40.00,410.00,335.00,70.00
"9330027.02",1385.00,1020.00,265.00,755.00,25.00,340.00,300.00,40.00
"9330028.00",1165.00,765.00,315.00,455.00,40.00,365.00,290.00,75.00
"9330029.00",2775.00,1605.00,650.00,955.00,55.00,1120.00,885.00,235.00
"9330030.00",2585.00,1685.00,600.00,1090.00,80.00,815.00,585.00,225.00
"9330031.01",2545.00,1525.00,615.00,905.00,50.00,975.00,745.00,230.00
"9330031.02",1780.00,1110.00,420.00,685.00,60.00,605.00,430.00,175.00
"9330032.00",3615.00,2200.00,785.00,1415.00,115.00,1305.00,980.00,325.00
"9330033.01",1915.00,1230.00,420.00,815.00,90.00,590.00,450.00,140.00
"9330033.02",1020.00,695.00,175.00,520.00,65.00,260.00,185.00,80.00
"9330034.01",1780.00,1105.00,315.00,790.00,135.00,540.00,385.00,160.00
"9330034.02",2485.00,1600.00,500.00,1100.00,145.00,745.00,535.00,210.00
"9330035.01",1535.00,940.00,290.00,645.00,105.00,495.00,345.00,145.00
"9330035.02",2635.00,1610.00,490.00,1120.00,125.00,900.00,700.00,205.00
"9330036.01",2085.00,1385.00,405.00,975.00,140.00,560.00,410.00,150.00
"9330036.02",2045.00,1370.00,440.00,935.00,160.00,515.00,380.00,135.00
"9330037.01",2015.00,1075.00,430.00,645.00,45.00,890.00,555.00,335.00
