"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96","COL97","COL98","COL99","COL100","COL101","COL102","COL103","COL104","COL105","COL106","COL107","COL108","COL109","COL110","COL111","COL112","COL113","COL114","COL115","COL116","COL117","COL118","COL119","COL120","COL121","COL122","COL123","COL124","COL125","COL126","COL127","COL128","COL129","COL130","COL131","COL132","COL133","COL134","COL135","COL136","COL137","COL138","COL139","COL140","COL141","COL142","COL143","COL144","COL145","COL146","COL147","COL148","COL149","COL150","COL151","COL152","COL153","COL154","COL155","COL156","COL157","COL158","COL159","COL160","COL161","COL162","COL163","COL164","COL165","COL166","COL167","COL168","COL169","COL170","COL171","COL172","COL173","COL174","COL175","COL176","COL177","COL178","COL179","COL180","COL181","COL182","COL183","COL184","COL185","COL186","COL187","COL188","COL189","COL190","COL191","COL192","COL193","COL194","COL195","COL196","COL197","COL198"
"9330000.00",960895.00,612005.00,348700.00,190.00,960890.00,293765.00,667130.00,960895.00,17180.00,208400.00,259450.00,215335.00,260530.00,960895.00,413390.00,129195.00,100705.00,83145.00,234460.00,5.60,960895.00,927685.00,33210.00,960895.00,890530.00,70365.00,960890.00,128710.00,253845.00,151760.00,171550.00,71265.00,95910.00,87860.00,960895.00,906230.00,54665.00,960890.00,555795.00,364605.00,40495.00,960895.00,30220.00,142595.00,171450.00,209670.00,188785.00,126440.00,66030.00,25695.00,953375.00,648420.00,304955.00,240990.00,608080.00,60.30,25.40,1376.00,1622.00,800220.00,1005920.00,347225.00,13.10,43.50,1136.00,1242.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330001.01",2325.00,1235.00,1090.00,0.00,2330.00,625.00,1705.00,2330.00,0.00,165.00,480.00,1235.00,450.00,2325.00,520.00,560.00,515.00,345.00,385.00,5.80,2330.00,2265.00,65.00,2330.00,2220.00,115.00,2330.00,60.00,1265.00,850.00,140.00,0.00,0.00,10.00,2325.00,2135.00,190.00,2330.00,1405.00,845.00,80.00,2330.00,0.00,100.00,305.00,595.00,610.00,415.00,220.00,80.00,2330.00,1805.00,530.00,470.00,1235.00,52.20,20.60,954.00,1138.00,580305.00,692640.00,1095.00,43.60,24.30,1043.00,1053.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330001.02",2075.00,1340.00,735.00,0.00,2070.00,1120.00,955.00,2075.00,0.00,230.00,775.00,745.00,315.00,2075.00,965.00,425.00,310.00,175.00,200.00,5.00,2075.00,2005.00,70.00,2070.00,1945.00,130.00,2075.00,65.00,590.00,375.00,335.00,225.00,95.00,385.00,2075.00,1970.00,105.00,2070.00,1150.00,830.00,90.00,2075.00,10.00,295.00,435.00,465.00,365.00,305.00,140.00,65.00,2075.00,1550.00,525.00,470.00,1340.00,62.70,20.90,1476.00,1445.00,600367.00,762082.00,730.00,37.40,33.30,1264.00,1182.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330002.01",2500.00,1490.00,1005.00,0.00,2495.00,1045.00,1450.00,2495.00,75.00,630.00,735.00,460.00,595.00,2495.00,1270.00,395.00,190.00,175.00,465.00,5.10,2495.00,2410.00,85.00,2495.00,2330.00,165.00,2495.00,200.00,660.00,235.00,1115.00,135.00,85.00,60.00,2495.00,2265.00,230.00,2495.00,1475.00,925.00,95.00,2495.00,30.00,295.00,445.00,560.00,595.00,315.00,200.00,55.00,2495.00,1765.00,730.00,600.00,1490.00,57.00,21.10,1192.00,1410.00,739622.00,1051731.00,1005.00,21.80,41.60,1171.00,1148.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330002.03",1285.00,820.00,465.00,0.00,1285.00,85.00,1200.00,1285.00,15.00,140.00,265.00,200.00,660.00,1285.00,400.00,110.00,160.00,115.00,500.00,6.40,1285.00,1230.00,55.00,1280.00,1180.00,105.00,1285.00,140.00,150.00,230.00,365.00,130.00,100.00,170.00,1285.00,1215.00,75.00,1285.00,635.00,545.00,100.00,1285.00,15.00,120.00,195.00,270.00,315.00,275.00,55.00,40.00,1285.00,950.00,335.00,270.00,820.00,40.20,20.20,893.00,1583.00,1647949.00,1716969.00,465.00,9.70,36.60,1004.00,1072.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330002.04",1570.00,1020.00,555.00,0.00,1575.00,540.00,1035.00,1570.00,15.00,190.00,465.00,455.00,445.00,1575.00,590.00,275.00,200.00,150.00,365.00,5.70,1570.00,1520.00,55.00,1570.00,1490.00,85.00,1570.00,115.00,260.00,445.00,470.00,115.00,80.00,75.00,1575.00,1470.00,100.00,1570.00,865.00,630.00,75.00,1575.00,10.00,160.00,265.00,370.00,340.00,260.00,130.00,40.00,1575.00,1145.00,430.00,375.00,1020.00,56.40,23.50,1203.00,1669.00,850650.00,1136867.00,550.00,21.80,33.60,1147.00,1173.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330003.01",1075.00,590.00,480.00,0.00,1075.00,20.00,1050.00,1075.00,0.00,155.00,205.00,225.00,480.00,1070.00,390.00,135.00,125.00,95.00,330.00,5.90,1075.00,965.00,105.00,1070.00,875.00,200.00,1070.00,225.00,225.00,95.00,170.00,85.00,120.00,150.00,1075.00,1025.00,50.00,1070.00,470.00,465.00,135.00,1075.00,30.00,125.00,240.00,275.00,180.00,135.00,60.00,20.00,1065.00,700.00,365.00,320.00,590.00,57.10,32.20,1540.00,1868.00,1503650.00,1544739.00,480.00,6.20,36.50,1010.00,1139.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330003.02",1320.00,645.00,680.00,0.00,1320.00,25.00,1300.00,1320.00,15.00,225.00,310.00,250.00,525.00,1325.00,590.00,160.00,130.00,120.00,320.00,5.50,1325.00,1180.00,145.00,1325.00,1125.00,200.00,1325.00,260.00,365.00,135.00,190.00,120.00,165.00,100.00,1325.00,1255.00,70.00,1325.00,675.00,500.00,155.00,1325.00,70.00,165.00,205.00,325.00,290.00,135.00,105.00,20.00,1320.00,805.00,515.00,440.00,645.00,64.30,36.70,1787.00,1871.00,1394934.00,1379782.00,680.00,6.60,41.90,903.00,1056.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330004.01",1925.00,1115.00,810.00,0.00,1925.00,755.00,1170.00,1930.00,50.00,475.00,530.00,355.00,510.00,1930.00,970.00,240.00,210.00,165.00,345.00,4.90,1925.00,1875.00,55.00,1930.00,1790.00,135.00,1930.00,320.00,285.00,305.00,180.00,130.00,85.00,630.00,1925.00,1835.00,90.00,1925.00,1230.00,595.00,100.00,1930.00,165.00,330.00,235.00,330.00,355.00,295.00,130.00,80.00,1915.00,1120.00,795.00,540.00,1120.00,47.50,34.50,917.00,1441.00,1203963.00,1474672.00,815.00,14.80,50.60,1421.00,1368.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330004.02",1690.00,855.00,835.00,0.00,1690.00,20.00,1670.00,1690.00,50.00,285.00,375.00,340.00,640.00,1690.00,745.00,175.00,165.00,165.00,445.00,5.50,1690.00,1505.00,185.00,1690.00,1345.00,345.00,1690.00,360.00,410.00,225.00,260.00,165.00,165.00,105.00,1690.00,1585.00,110.00,1690.00,810.00,645.00,240.00,1690.00,40.00,260.00,270.00,385.00,350.00,205.00,140.00,45.00,1685.00,1140.00,545.00,475.00,855.00,53.20,33.30,1333.00,1783.00,1400133.00,1492650.00,835.00,5.40,30.70,948.00,1105.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330005.00",4325.00,495.00,3830.00,0.00,4325.00,710.00,3615.00,4330.00,180.00,3000.00,1005.00,95.00,45.00,4325.00,3895.00,295.00,95.00,35.00,15.00,3.10,4325.00,4110.00,215.00,4325.00,3705.00,620.00,4330.00,910.00,2075.00,650.00,340.00,195.00,125.00,25.00,4325.00,3965.00,360.00,4325.00,3280.00,990.00,60.00,4325.00,250.00,890.00,810.00,980.00,820.00,405.00,115.00,60.00,4320.00,2470.00,1850.00,1520.00,495.00,60.20,20.60,1037.00,1110.00,340586.00,467625.00,3830.00,8.00,45.60,937.00,994.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330006.01",1635.00,1085.00,550.00,0.00,1635.00,85.00,1550.00,1635.00,15.00,255.00,300.00,400.00,665.00,1635.00,515.00,255.00,210.00,180.00,470.00,6.00,1640.00,1570.00,65.00,1635.00,1515.00,120.00,1635.00,405.00,280.00,335.00,330.00,130.00,105.00,55.00,1635.00,1550.00,90.00,1640.00,950.00,610.00,75.00,1635.00,70.00,190.00,205.00,420.00,345.00,250.00,120.00,35.00,1630.00,1085.00,540.00,390.00,1090.00,41.00,30.00,1001.00,1702.00,2000526.00,2028076.00,545.00,0.00,40.40,1032.00,1314.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330006.02",1875.00,1140.00,740.00,0.00,1880.00,225.00,1650.00,1880.00,30.00,290.00,365.00,465.00,730.00,1880.00,685.00,310.00,185.00,225.00,475.00,5.80,1880.00,1805.00,70.00,1880.00,1725.00,155.00,1880.00,335.00,560.00,355.00,235.00,175.00,110.00,110.00,1880.00,1745.00,135.00,1880.00,1150.00,640.00,90.00,1875.00,35.00,205.00,235.00,455.00,485.00,265.00,135.00,70.00,1875.00,1200.00,675.00,465.00,1140.00,42.10,29.40,947.00,1719.00,1999172.00,1969471.00,740.00,12.80,46.30,1096.00,1226.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330007.01",2130.00,1400.00,730.00,0.00,2130.00,510.00,1620.00,2130.00,30.00,420.00,415.00,445.00,820.00,2130.00,805.00,210.00,180.00,155.00,775.00,6.20,2125.00,2085.00,45.00,2130.00,2005.00,120.00,2130.00,540.00,290.00,465.00,335.00,105.00,55.00,340.00,2130.00,1980.00,150.00,2130.00,1330.00,760.00,40.00,2130.00,105.00,175.00,305.00,510.00,440.00,350.00,190.00,50.00,2120.00,1385.00,735.00,490.00,1395.00,47.00,30.60,1207.00,1935.00,2397887.00,2249469.00,735.00,25.90,41.80,1131.00,1302.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
