"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36"
"9330000.00",2440145.00,2130570.00,1110.00,172145.00,136320.00,1191675.00,1058310.00,535.00,76645.00,56185.00,1248475.00,1072255.00,580.00,95500.00,80135.00,2440140.00,2265315.00,25705.00,14470.00,134655.00,32940.00,1.30,1191675.00,1116840.00,12830.00,6635.00,55370.00,16145.00,1.40,1248475.00,1148470.00,12875.00,7835.00,79290.00,16795.00,1.30
"9330001.01",6135.00,5420.00,0.00,430.00,280.00,2780.00,2490.00,0.00,170.00,120.00,3350.00,2930.00,0.00,265.00,160.00,6135.00,5755.00,75.00,35.00,270.00,95.00,1.50,2780.00,2615.00,35.00,15.00,120.00,40.00,1.40,3355.00,3135.00,45.00,20.00,150.00,55.00,1.60
"9330001.02",5370.00,4735.00,0.00,320.00,305.00,2510.00,2250.00,0.00,140.00,125.00,2855.00,2490.00,0.00,180.00,185.00,5370.00,4975.00,45.00,45.00,305.00,65.00,1.20,2515.00,2355.00,25.00,15.00,120.00,30.00,1.20,2855.00,2620.00,25.00,30.00,180.00,40.00,1.40
"9330002.01",6090.00,5285.00,5.00,405.00,395.00,2940.00,2590.00,0.00,190.00,160.00,3150.00,2695.00,5.00,220.00,240.00,6090.00,5585.00,80.00,35.00,390.00,95.00,1.60,2940.00,2715.00,50.00,20.00,150.00,55.00,1.90,3150.00,2870.00,25.00,20.00,235.00,35.00,1.10
"9330002.03",4075.00,3350.00,0.00,135.00,590.00,2025.00,1725.00,0.00,60.00,235.00,2055.00,1630.00,0.00,70.00,355.00,4075.00,3455.00,10.00,20.00,590.00,20.00,0.50,2025.00,1775.00,5.00,10.00,235.00,5.00,0.20,2055.00,1685.00,10.00,10.00,355.00,15.00,0.70
"9330002.04",4310.00,3680.00,0.00,290.00,340.00,2005.00,1745.00,0.00,125.00,135.00,2305.00,1935.00,0.00,165.00,205.00,4310.00,3895.00,45.00,35.00,340.00,65.00,1.50,2005.00,1835.00,20.00,20.00,130.00,30.00,1.50,2305.00,2055.00,25.00,15.00,205.00,35.00,1.50
"9330003.01",3710.00,3195.00,0.00,120.00,395.00,1825.00,1620.00,0.00,55.00,150.00,1875.00,1570.00,0.00,60.00,245.00,3705.00,3300.00,5.00,10.00,390.00,10.00,0.30,1830.00,1670.00,5.00,5.00,145.00,5.00,0.30,1880.00,1630.00,5.00,5.00,240.00,5.00,0.30
"9330003.02",4405.00,3815.00,0.00,150.00,440.00,2230.00,1985.00,0.00,80.00,165.00,2180.00,1835.00,0.00,70.00,270.00,4405.00,3930.00,10.00,30.00,430.00,25.00,0.60,2230.00,2045.00,5.00,15.00,165.00,10.00,0.40,2175.00,1885.00,5.00,15.00,270.00,15.00,0.70
"9330004.01",4725.00,4065.00,0.00,220.00,435.00,2315.00,2050.00,0.00,100.00,170.00,2410.00,2020.00,0.00,125.00,265.00,4725.00,4240.00,25.00,30.00,430.00,40.00,0.80,2315.00,2120.00,15.00,10.00,170.00,20.00,0.90,2410.00,2125.00,10.00,15.00,260.00,15.00,0.60
"9330004.02",5520.00,4785.00,5.00,195.00,540.00,2710.00,2400.00,5.00,90.00,215.00,2815.00,2380.00,5.00,100.00,325.00,5525.00,4930.00,30.00,30.00,540.00,45.00,0.80,2705.00,2465.00,20.00,10.00,210.00,25.00,0.90,2815.00,2465.00,10.00,15.00,325.00,20.00,0.70
"9330005.00",7300.00,6445.00,10.00,625.00,230.00,3645.00,3220.00,5.00,315.00,105.00,3660.00,3225.00,5.00,305.00,125.00,7305.00,6885.00,135.00,65.00,220.00,170.00,2.30,3645.00,3430.00,75.00,40.00,100.00,95.00,2.60,3660.00,3450.00,65.00,25.00,125.00,75.00,2.00
"9330006.01",4685.00,3960.00,0.00,290.00,435.00,2205.00,1905.00,0.00,125.00,175.00,2485.00,2055.00,0.00,170.00,265.00,4685.00,4175.00,50.00,30.00,430.00,65.00,1.40,2205.00,1995.00,30.00,5.00,170.00,35.00,1.60,2485.00,2180.00,20.00,25.00,260.00,30.00,1.20
"9330006.02",5060.00,4290.00,5.00,260.00,515.00,2500.00,2160.00,0.00,130.00,205.00,2560.00,2125.00,0.00,130.00,305.00,5060.00,4485.00,35.00,35.00,505.00,55.00,1.10,2500.00,2250.00,25.00,20.00,205.00,40.00,1.60,2560.00,2240.00,10.00,15.00,300.00,20.00,0.80
"9330007.01",5540.00,4740.00,0.00,405.00,395.00,2650.00,2280.00,0.00,185.00,185.00,2895.00,2460.00,0.00,215.00,215.00,5540.00,5085.00,30.00,40.00,385.00,50.00,0.90,2650.00,2445.00,15.00,20.00,170.00,25.00,0.90,2890.00,2640.00,15.00,20.00,215.00,25.00,0.90
"9330007.02",3455.00,2815.00,0.00,310.00,330.00,1635.00,1380.00,0.00,110.00,145.00,1820.00,1435.00,5.00,200.00,185.00,3455.00,3075.00,30.00,25.00,325.00,40.00,1.20,1635.00,1470.00,10.00,5.00,145.00,15.00,0.90,1820.00,1605.00,15.00,15.00,180.00,25.00,1.40
"9330008.01",1650.00,1500.00,0.00,140.00,15.00,810.00,750.00,0.00,55.00,5.00,840.00,750.00,0.00,85.00,5.00,1650.00,1620.00,5.00,10.00,10.00,10.00,0.60,810.00,800.00,5.00,0.00,5.00,5.00,0.60,840.00,825.00,5.00,5.00,5.00,5.00,0.60
"9330008.02",4205.00,3515.00,0.00,475.00,210.00,2005.00,1735.00,0.00,185.00,85.00,2200.00,1785.00,0.00,295.00,125.00,4200.00,3935.00,40.00,20.00,205.00,50.00,1.20,2005.00,1890.00,20.00,10.00,85.00,25.00,1.20,2200.00,2045.00,20.00,10.00,125.00,25.00,1.10
"9330009.00",7085.00,5905.00,0.00,650.00,525.00,3235.00,2725.00,5.00,275.00,235.00,3850.00,3180.00,0.00,385.00,290.00,7090.00,6450.00,80.00,40.00,520.00,100.00,1.40,3240.00,2950.00,30.00,25.00,230.00,45.00,1.40,3850.00,3500.00,50.00,15.00,285.00,60.00,1.60
