"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27"
"9330000.00",2101315.00,1193125.00,1033885.00,159240.00,908190.00,629035.00,50130.00,128045.00,100985.00,1015395.00,594185.00,513725.00,80455.00,421210.00,334130.00,20265.00,47280.00,19540.00,1085920.00,598940.00,520160.00,78780.00,486985.00,294905.00,29860.00,80765.00,81445.00
"9330001.01",5400.00,2880.00,2560.00,320.00,2525.00,1605.00,150.00,445.00,330.00,2400.00,1425.00,1265.00,155.00,970.00,775.00,50.00,85.00,65.00,3000.00,1455.00,1290.00,160.00,1550.00,830.00,100.00,355.00,265.00
"9330001.02",4595.00,2715.00,2430.00,285.00,1885.00,1230.00,100.00,250.00,305.00,2085.00,1350.00,1215.00,140.00,735.00,590.00,30.00,65.00,50.00,2515.00,1365.00,1220.00,145.00,1145.00,635.00,65.00,190.00,260.00
"9330002.01",5320.00,2940.00,2600.00,340.00,2380.00,1595.00,150.00,375.00,250.00,2500.00,1465.00,1295.00,170.00,1035.00,805.00,65.00,125.00,35.00,2820.00,1475.00,1310.00,170.00,1340.00,785.00,85.00,250.00,215.00
"9330002.03",3580.00,2055.00,1925.00,130.00,1530.00,1130.00,70.00,160.00,170.00,1760.00,1020.00,955.00,65.00,740.00,610.00,30.00,75.00,25.00,1825.00,1035.00,970.00,65.00,790.00,520.00,35.00,85.00,145.00
"9330002.04",3930.00,2140.00,1920.00,220.00,1790.00,1115.00,90.00,300.00,285.00,1790.00,1060.00,955.00,110.00,730.00,555.00,25.00,95.00,55.00,2140.00,1080.00,965.00,115.00,1060.00,555.00,65.00,205.00,230.00
"9330003.01",3105.00,1745.00,1615.00,135.00,1360.00,1055.00,60.00,100.00,140.00,1525.00,870.00,810.00,65.00,655.00,565.00,30.00,40.00,25.00,1580.00,875.00,805.00,70.00,710.00,495.00,30.00,65.00,115.00
"9330003.02",3955.00,2065.00,1945.00,120.00,1895.00,1295.00,95.00,170.00,330.00,1930.00,1030.00,970.00,60.00,895.00,720.00,40.00,80.00,60.00,2030.00,1035.00,970.00,60.00,1000.00,580.00,60.00,90.00,270.00
"9330004.01",4425.00,2330.00,2080.00,250.00,2095.00,1480.00,90.00,240.00,285.00,2095.00,1145.00,1025.00,120.00,950.00,790.00,40.00,80.00,35.00,2335.00,1185.00,1060.00,125.00,1150.00,695.00,50.00,160.00,250.00
"9330004.02",4815.00,2540.00,2340.00,195.00,2275.00,1640.00,105.00,210.00,325.00,2330.00,1250.00,1155.00,90.00,1080.00,890.00,50.00,85.00,55.00,2480.00,1285.00,1180.00,105.00,1195.00,745.00,55.00,125.00,265.00
"9330005.00",6685.00,2710.00,2010.00,705.00,3970.00,2910.00,225.00,660.00,180.00,3305.00,1350.00,1000.00,355.00,1950.00,1535.00,100.00,280.00,35.00,3385.00,1365.00,1010.00,355.00,2020.00,1375.00,130.00,380.00,140.00
"9330006.01",4130.00,2245.00,2095.00,150.00,1890.00,1420.00,80.00,210.00,180.00,1900.00,1080.00,1010.00,70.00,815.00,700.00,25.00,65.00,20.00,2235.00,1160.00,1085.00,75.00,1070.00,715.00,50.00,145.00,160.00
"9330006.02",4610.00,2520.00,2340.00,180.00,2090.00,1525.00,100.00,220.00,245.00,2225.00,1230.00,1145.00,90.00,995.00,815.00,35.00,90.00,55.00,2385.00,1285.00,1195.00,90.00,1100.00,705.00,65.00,135.00,190.00
"9330007.01",4775.00,2735.00,2500.00,235.00,2035.00,1475.00,95.00,280.00,190.00,2240.00,1340.00,1220.00,120.00,905.00,745.00,30.00,95.00,35.00,2530.00,1395.00,1280.00,115.00,1135.00,735.00,65.00,180.00,155.00
"9330007.02",2960.00,1815.00,1675.00,135.00,1150.00,895.00,35.00,120.00,105.00,1380.00,865.00,800.00,65.00,510.00,450.00,5.00,30.00,20.00,1580.00,945.00,880.00,65.00,635.00,440.00,25.00,85.00,85.00
"9330008.01",1350.00,715.00,570.00,150.00,635.00,435.00,40.00,75.00,85.00,655.00,355.00,285.00,70.00,300.00,225.00,20.00,30.00,20.00,700.00,360.00,285.00,75.00,335.00,205.00,20.00,45.00,65.00
"9330008.02",3550.00,2195.00,2055.00,135.00,1350.00,1010.00,50.00,145.00,155.00,1685.00,1080.00,1010.00,75.00,605.00,520.00,15.00,40.00,30.00,1860.00,1115.00,1045.00,70.00,745.00,485.00,30.00,105.00,120.00
"9330009.00",6260.00,3225.00,2875.00,350.00,3030.00,2095.00,160.00,460.00,315.00,2785.00,1535.00,1360.00,175.00,1250.00,990.00,50.00,150.00,60.00,3470.00,1690.00,1515.00,175.00,1785.00,1110.00,110.00,310.00,255.00
"9330010.01",4695.00,2555.00,2370.00,190.00,2140.00,1465.00,95.00,260.00,320.00,2090.00,1235.00,1145.00,85.00,860.00,710.00,30.00,70.00,45.00,2600.00,1320.00,1225.00,100.00,1280.00,755.00,65.00,190.00,270.00
