"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"9330000.00",2463431.00,2313328.00,6.50,1027613.00,960894.00,854.60,2882.68
"9330001.01",6293.00,6311.00,-0.30,2334.00,2314.00,6172.00,1.02
"9330001.02",5456.00,4837.00,12.80,2132.00,2089.00,2930.00,1.86
"9330002.01",6150.00,5974.00,2.90,2631.00,2507.00,3169.90,1.94
"9330002.03",4077.00,4005.00,1.80,1497.00,1292.00,5192.30,0.79
"9330002.04",4509.00,4503.00,0.10,1652.00,1560.00,5809.80,0.78
"9330003.01",3714.00,3772.00,-1.50,1210.00,1080.00,6838.50,0.54
"9330003.02",4613.00,4671.00,-1.20,1429.00,1316.00,4128.00,1.12
"9330004.01",4925.00,4514.00,9.10,2537.00,1928.00,3163.90,1.56
"9330004.02",5652.00,5756.00,-1.80,1847.00,1689.00,4777.30,1.18
"9330005.00",7302.00,7207.00,1.30,4444.00,4326.00,5300.10,1.38
"9330006.01",4699.00,4827.00,-2.70,1784.00,1687.00,5121.50,0.92
"9330006.02",5233.00,5441.00,-3.80,1925.00,1827.00,4785.10,1.09
"9330007.01",5543.00,5157.00,7.50,2373.00,2157.00,2070.10,2.68
"9330007.02",3452.00,3705.00,-6.80,1256.00,1153.00,2432.90,1.42
"9330008.01",1652.00,1569.00,5.30,615.00,578.00,898.30,1.84
"9330008.02",4200.00,4287.00,-2.00,1619.00,1495.00,1184.30,3.55
"9330009.00",7103.00,7484.00,-5.10,3440.00,3199.00,4266.60,1.66
"9330010.01",5352.00,4943.00,8.30,2389.00,2212.00,3781.50,1.42
"9330010.02",4741.00,4738.00,0.10,1760.00,1647.00,3403.70,1.39
"9330011.00",6615.00,6645.00,-0.50,2642.00,2310.00,4207.50,1.57
"9330012.00",8102.00,7777.00,4.20,3337.00,2904.00,5251.50,1.54
"9330013.01",6485.00,6346.00,2.20,2398.00,2155.00,5687.10,1.14
"9330013.03",4981.00,4944.00,0.70,1727.00,1562.00,7983.70,0.62
"9330013.04",3635.00,3584.00,1.40,1243.00,1102.00,7614.20,0.48
"9330014.01",3084.00,2983.00,3.40,1117.00,1015.00,6119.00,0.50
"9330014.02",5980.00,6074.00,-1.50,2232.00,2056.00,7410.20,0.81
"9330015.01",5485.00,5364.00,2.30,2017.00,1734.00,5888.40,0.93
"9330015.02",6246.00,6163.00,1.30,2319.00,2052.00,4652.20,1.34
