"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96","COL97","COL98","COL99","COL100","COL101","COL102","COL103","COL104","COL105","COL106","COL107","COL108","COL109","COL110","COL111","COL112","COL113","COL114","COL115","COL116","COL117","COL118","COL119","COL120","COL121","COL122","COL123","COL124","COL125","COL126","COL127","COL128","COL129","COL130","COL131","COL132","COL133","COL134","COL135","COL136","COL137","COL138","COL139","COL140","COL141","COL142","COL143","COL144","COL145","COL146","COL147"
"5915",2426235.00,61455.00,59600.00,35765.00,23425.00,400.00,1065.00,795.00,2364780.00,2426230.00,24110.00,2402120.00,2426235.00,13620.00,13305.00,10890.00,2265.00,150.00,310.00,285.00,20.00,0.00,0.00,61085.00,58700.00,38755.00,19595.00,355.00,2385.00,2305.00,35.00,25.00,20.00,2351535.00,2426235.00,1185680.00,291005.00,474655.00,29835.00,123170.00,34805.00,16430.00,44905.00,46005.00,52975.00,30110.00,6490.00,35290.00,1240550.00,1185400.00,29075.00,28195.00,16870.00,11150.00,180.00,500.00,375.00,1156325.00,1185400.00,11160.00,1174240.00,1185400.00,6540.00,6385.00,5120.00,1190.00,75.00,155.00,145.00,10.00,0.00,0.00,29110.00,28025.00,18490.00,9365.00,170.00,1085.00,1070.00,0.00,10.00,10.00,1149750.00,1185400.00,565020.00,145545.00,221980.00,15460.00,54265.00,16485.00,8800.00,21405.00,23455.00,24465.00,12580.00,3160.00,17425.00,620385.00,1240830.00,32380.00,31395.00,18895.00,12280.00,220.00,560.00,420.00,1208455.00,1240830.00,12955.00,1227880.00,1240830.00,7075.00,6920.00,5775.00,1080.00,70.00,155.00,145.00,10.00,0.00,0.00,31975.00,30675.00,20260.00,10230.00,185.00,1300.00,1240.00,30.00,20.00,20.00,1201785.00,1240835.00,620665.00,145465.00,252670.00,14370.00,68910.00,18315.00,7630.00,23500.00,22555.00,28515.00,17530.00,3330.00,17870.00,620170.00
"59150004",375.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,360.00,375.00,0.00,370.00,370.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,355.00,370.00,70.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,15.00,0.00,10.00,0.00,10.00,300.00,180.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,175.00,180.00,0.00,175.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170.00,180.00,25.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,10.00,155.00,190.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,190.00,195.00,0.00,190.00,195.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,190.00,195.00,50.00,0.00,15.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,10.00,150.00
"59150005",500.00,15.00,10.00,10.00,0.00,0.00,0.00,10.00,485.00,500.00,0.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,485.00,500.00,55.00,0.00,30.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,445.00,220.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,210.00,220.00,0.00,220.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.00,225.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,205.00,280.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,275.00,280.00,0.00,280.00,275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,280.00,35.00,0.00,30.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,240.00
"59150006",465.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,460.00,465.00,0.00,460.00,465.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,460.00,460.00,85.00,15.00,40.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,375.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.00,220.00,0.00,215.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,215.00,35.00,0.00,15.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,245.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,245.00,250.00,0.00,245.00,245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.00,245.00,50.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,200.00
"59150007",515.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,510.00,520.00,10.00,510.00,515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.00,515.00,50.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,465.00,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,260.00,0.00,255.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,255.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,245.00,255.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,255.00,260.00,0.00,255.00,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,255.00,35.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00
"59150008",645.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,645.00,645.00,0.00,645.00,645.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640.00,645.00,85.00,20.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,560.00,330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.00,325.00,0.00,325.00,325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.00,330.00,40.00,15.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320.00,320.00,0.00,320.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.00,320.00,50.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275.00
"59150009",405.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,405.00,0.00,405.00,405.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,405.00,65.00,0.00,45.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,340.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,180.00,0.00,185.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,185.00,30.00,0.00,20.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,155.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,220.00,0.00,215.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,220.00,30.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.00
"59150010",740.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,735.00,740.00,0.00,740.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,735.00,740.00,105.00,0.00,45.00,0.00,25.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,635.00,375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,375.00,375.00,0.00,375.00,375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,370.00,375.00,45.00,0.00,20.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,335.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,365.00,0.00,365.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,365.00,60.00,0.00,20.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,300.00
"59150012",455.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,460.00,455.00,0.00,455.00,455.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,455.00,455.00,170.00,15.00,80.00,0.00,15.00,0.00,0.00,0.00,10.00,35.00,15.00,0.00,0.00,280.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.00,210.00,0.00,210.00,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.00,215.00,75.00,10.00,35.00,0.00,10.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,135.00,245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.00,240.00,0.00,240.00,245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.00,240.00,100.00,10.00,50.00,0.00,10.00,0.00,0.00,0.00,10.00,20.00,10.00,0.00,0.00,145.00
"59150013",390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,385.00,385.00,0.00,385.00,385.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.00,390.00,100.00,0.00,55.00,0.00,10.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,285.00,190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.00,185.00,0.00,185.00,190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,190.00,55.00,0.00,35.00,0.00,10.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,130.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,45.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,155.00
