"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96"
"5915",2463430.00,362115.00,116265.00,122730.00,123110.00,1714005.00,142280.00,167275.00,179945.00,182625.00,167955.00,168375.00,184285.00,191375.00,177095.00,152810.00,387315.00,131030.00,89675.00,66505.00,48820.00,51280.00,31475.00,14870.00,4190.00,740.00,41.00,100.00,14.70,69.60,15.70,2.10,1202175.00,186775.00,60045.00,63390.00,63340.00,838860.00,73185.00,85380.00,89305.00,89925.00,81090.00,79445.00,87845.00,93230.00,85595.00,73865.00,176535.00,62615.00,42495.00,30600.00,21965.00,18860.00,12740.00,4905.00,1055.00,160.00,40.10,100.00,15.50,69.80,14.70,1.60,1261260.00,175335.00,56220.00,59345.00,59765.00,875140.00,69095.00,81890.00,90640.00,92705.00,86860.00,88930.00,96440.00,98140.00,91505.00,78940.00,210780.00,68420.00,47180.00,35905.00,26860.00,32415.00,18730.00,9965.00,3140.00,580.00,41.90,100.00,13.90,69.40,16.70,2.60
"59150004",370.00,30.00,5.00,10.00,15.00,250.00,20.00,25.00,10.00,20.00,15.00,10.00,30.00,30.00,35.00,45.00,90.00,35.00,30.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,48.10,100.00,8.10,67.60,24.30,1.40,185.00,15.00,0.00,5.00,5.00,120.00,10.00,15.00,10.00,10.00,10.00,0.00,10.00,10.00,20.00,25.00,50.00,15.00,20.00,5.00,5.00,5.00,0.00,5.00,0.00,0.00,48.20,100.00,8.10,64.90,27.00,2.70,185.00,15.00,5.00,5.00,5.00,125.00,10.00,15.00,5.00,10.00,5.00,5.00,20.00,15.00,20.00,20.00,40.00,20.00,15.00,5.00,5.00,5.00,0.00,0.00,5.00,0.00,48.10,100.00,8.10,67.60,21.60,2.70
"59150005",500.00,80.00,20.00,30.00,35.00,345.00,40.00,25.00,15.00,15.00,25.00,30.00,60.00,45.00,55.00,40.00,75.00,25.00,20.00,20.00,5.00,10.00,0.00,5.00,0.00,0.00,41.90,100.00,16.00,69.00,15.00,2.00,255.00,55.00,10.00,20.00,25.00,165.00,25.00,20.00,10.00,10.00,5.00,15.00,25.00,15.00,25.00,15.00,35.00,10.00,5.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00,39.30,100.00,21.60,64.70,13.70,2.00,250.00,30.00,10.00,10.00,15.00,180.00,15.00,10.00,0.00,5.00,15.00,15.00,35.00,25.00,25.00,20.00,40.00,15.00,10.00,10.00,10.00,5.00,0.00,0.00,0.00,0.00,44.60,100.00,12.00,72.00,16.00,2.00
"59150006",430.00,65.00,10.00,30.00,25.00,270.00,25.00,15.00,15.00,5.00,10.00,30.00,50.00,40.00,35.00,45.00,90.00,30.00,25.00,15.00,15.00,10.00,10.00,5.00,0.00,0.00,46.70,100.00,15.10,62.80,20.90,2.30,205.00,30.00,5.00,15.00,15.00,135.00,10.00,10.00,0.00,0.00,5.00,15.00,25.00,20.00,15.00,25.00,40.00,15.00,15.00,5.00,10.00,5.00,5.00,0.00,0.00,0.00,47.10,100.00,14.60,65.90,19.50,2.40,225.00,35.00,10.00,15.00,15.00,140.00,15.00,5.00,10.00,0.00,5.00,20.00,30.00,15.00,20.00,20.00,50.00,20.00,15.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,46.40,100.00,15.60,62.20,22.20,2.20
"59150007",545.00,60.00,5.00,25.00,30.00,335.00,35.00,40.00,15.00,10.00,10.00,30.00,45.00,45.00,55.00,50.00,155.00,50.00,45.00,40.00,15.00,10.00,5.00,5.00,0.00,0.00,49.10,100.00,11.00,61.50,28.40,1.80,265.00,30.00,5.00,15.00,10.00,160.00,20.00,15.00,10.00,0.00,10.00,15.00,15.00,20.00,25.00,30.00,80.00,25.00,25.00,25.00,5.00,5.00,5.00,5.00,0.00,0.00,49.10,100.00,11.30,60.40,30.20,1.90,280.00,25.00,0.00,10.00,15.00,175.00,15.00,20.00,5.00,10.00,5.00,15.00,25.00,20.00,35.00,20.00,75.00,30.00,25.00,15.00,5.00,5.00,5.00,5.00,5.00,0.00,49.10,100.00,8.90,62.50,26.80,1.80
"59150008",595.00,100.00,10.00,45.00,45.00,345.00,40.00,30.00,10.00,10.00,5.00,25.00,55.00,55.00,60.00,55.00,160.00,50.00,40.00,25.00,20.00,15.00,5.00,0.00,0.00,0.00,47.40,100.00,16.80,58.00,26.90,2.50,300.00,50.00,5.00,25.00,25.00,170.00,25.00,20.00,0.00,5.00,5.00,10.00,25.00,20.00,35.00,30.00,80.00,25.00,20.00,15.00,15.00,5.00,0.00,5.00,5.00,0.00,46.60,100.00,16.70,56.70,26.70,1.70,295.00,45.00,5.00,25.00,20.00,175.00,10.00,15.00,5.00,5.00,5.00,20.00,35.00,35.00,25.00,30.00,75.00,25.00,20.00,20.00,10.00,5.00,0.00,0.00,0.00,5.00,48.20,100.00,15.30,59.30,25.40,1.70
"59150009",400.00,55.00,10.00,30.00,20.00,260.00,50.00,35.00,10.00,5.00,20.00,20.00,20.00,45.00,35.00,30.00,80.00,35.00,15.00,5.00,10.00,10.00,5.00,0.00,0.00,0.00,42.90,100.00,13.80,65.00,20.00,2.50,185.00,30.00,5.00,15.00,15.00,120.00,20.00,15.00,5.00,0.00,10.00,5.00,15.00,20.00,20.00,15.00,40.00,15.00,5.00,5.00,5.00,5.00,5.00,0.00,5.00,0.00,42.90,100.00,16.20,64.90,21.60,2.70,210.00,25.00,10.00,20.00,5.00,140.00,30.00,15.00,0.00,0.00,10.00,10.00,5.00,25.00,15.00,15.00,45.00,20.00,15.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,42.90,100.00,11.90,66.70,21.40,2.40
"59150010",830.00,125.00,25.00,25.00,70.00,525.00,80.00,45.00,20.00,15.00,25.00,40.00,65.00,95.00,65.00,70.00,180.00,65.00,50.00,30.00,15.00,15.00,15.00,0.00,0.00,0.00,44.70,100.00,15.10,63.30,21.70,1.80,410.00,65.00,15.00,15.00,35.00,250.00,35.00,30.00,5.00,10.00,10.00,15.00,25.00,45.00,35.00,30.00,95.00,30.00,30.00,20.00,5.00,10.00,10.00,5.00,0.00,0.00,44.50,100.00,15.90,61.00,23.20,2.40,420.00,60.00,15.00,10.00,35.00,270.00,45.00,15.00,10.00,10.00,10.00,30.00,40.00,55.00,30.00,40.00,85.00,35.00,25.00,15.00,10.00,5.00,10.00,0.00,0.00,0.00,44.90,100.00,14.30,64.30,20.20,1.20
"59150012",510.00,80.00,20.00,30.00,30.00,325.00,45.00,30.00,15.00,20.00,15.00,30.00,35.00,35.00,55.00,45.00,105.00,40.00,35.00,25.00,5.00,5.00,5.00,0.00,0.00,0.00,43.80,100.00,15.70,63.70,20.60,1.00,250.00,40.00,5.00,15.00,20.00,145.00,15.00,15.00,5.00,5.00,5.00,15.00,15.00,15.00,25.00,20.00,60.00,20.00,15.00,10.00,5.00,0.00,5.00,0.00,0.00,0.00,45.00,100.00,16.00,58.00,24.00,0.00,265.00,40.00,15.00,10.00,20.00,175.00,30.00,15.00,5.00,10.00,5.00,20.00,20.00,20.00,30.00,20.00,45.00,15.00,20.00,10.00,0.00,5.00,0.00,0.00,0.00,0.00,42.70,100.00,15.10,66.00,17.00,1.90
"59150013",360.00,55.00,5.00,20.00,25.00,240.00,30.00,25.00,15.00,10.00,15.00,20.00,35.00,30.00,35.00,30.00,65.00,20.00,25.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,42.40,100.00,15.30,66.70,18.10,1.40,185.00,35.00,5.00,15.00,10.00,115.00,15.00,15.00,5.00,5.00,10.00,10.00,15.00,10.00,20.00,10.00,40.00,15.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,42.20,100.00,18.90,62.20,21.60,0.00,180.00,25.00,5.00,5.00,15.00,125.00,15.00,10.00,10.00,5.00,5.00,10.00,20.00,20.00,10.00,15.00,30.00,5.00,15.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,42.60,100.00,13.90,69.40,16.70,0.00
