"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18"
"5915",960895.00,282355.00,160060.00,513895.00,20530.00,93415.00,156445.00,242200.00,1305.00,4585.00,960895.00,275455.00,300170.00,153090.00,139180.00,93005.00,2426235.00,2.50
"59150004",160.00,80.00,0.00,80.00,25.00,0.00,20.00,35.00,0.00,0.00,155.00,40.00,60.00,30.00,25.00,5.00,370.00,2.40
"59150005",205.00,65.00,0.00,135.00,75.00,0.00,30.00,40.00,0.00,0.00,205.00,55.00,70.00,35.00,35.00,10.00,500.00,2.50
"59150006",200.00,125.00,45.00,25.00,5.00,0.00,20.00,0.00,0.00,0.00,195.00,80.00,50.00,25.00,40.00,5.00,430.00,2.20
"59150007",215.00,195.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00,0.00,215.00,25.00,100.00,40.00,30.00,10.00,545.00,2.50
"59150008",225.00,210.00,0.00,15.00,0.00,0.00,10.00,0.00,0.00,0.00,225.00,35.00,90.00,35.00,45.00,20.00,595.00,2.70
"59150009",140.00,120.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00,0.00,135.00,25.00,40.00,25.00,35.00,15.00,400.00,3.00
"59150010",300.00,280.00,0.00,15.00,5.00,0.00,15.00,0.00,0.00,0.00,300.00,45.00,110.00,45.00,70.00,30.00,830.00,2.80
"59150012",170.00,150.00,0.00,20.00,5.00,10.00,10.00,0.00,0.00,0.00,170.00,15.00,60.00,40.00,35.00,20.00,510.00,2.90
"59150013",115.00,105.00,0.00,10.00,5.00,0.00,5.00,0.00,0.00,0.00,115.00,10.00,40.00,25.00,20.00,20.00,360.00,3.00
"59150014",410.00,140.00,150.00,125.00,15.00,95.00,10.00,0.00,0.00,0.00,410.00,70.00,180.00,60.00,70.00,30.00,1070.00,2.60
"59150015",165.00,160.00,0.00,10.00,5.00,0.00,5.00,0.00,0.00,0.00,165.00,20.00,50.00,35.00,50.00,15.00,495.00,3.00
"59150016",135.00,130.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,15.00,40.00,25.00,30.00,20.00,410.00,3.10
"59150017",110.00,100.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00,0.00,115.00,20.00,40.00,20.00,20.00,10.00,300.00,2.70
"59150018",210.00,185.00,0.00,30.00,0.00,0.00,25.00,0.00,0.00,0.00,215.00,40.00,90.00,35.00,25.00,15.00,540.00,2.50
"59150019",205.00,185.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,210.00,20.00,75.00,45.00,45.00,20.00,595.00,2.80
"59150020",130.00,120.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,125.00,10.00,35.00,40.00,35.00,10.00,390.00,3.10
"59150021",100.00,90.00,0.00,10.00,0.00,0.00,5.00,0.00,0.00,0.00,100.00,15.00,35.00,20.00,20.00,15.00,285.00,3.00
"59150022",90.00,80.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,85.00,0.00,25.00,20.00,20.00,20.00,290.00,3.50
"59150023",175.00,165.00,0.00,15.00,0.00,0.00,10.00,0.00,0.00,0.00,180.00,20.00,55.00,35.00,45.00,25.00,555.00,3.10
