"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23"
"5915",679365.00,327260.00,158785.00,145805.00,47515.00,2.90,679365.00,574665.00,495065.00,79605.00,104695.00,84740.00,19955.00,574670.00,260290.00,314380.00,129480.00,139080.00,45815.00,104695.00,66970.00,29305.00,8415.00
"59150004",120.00,65.00,35.00,20.00,5.00,2.70,120.00,110.00,95.00,10.00,15.00,10.00,0.00,105.00,60.00,50.00,30.00,20.00,0.00,15.00,10.00,5.00,0.00
"59150005",150.00,65.00,35.00,40.00,10.00,2.80,150.00,115.00,95.00,15.00,35.00,25.00,10.00,115.00,45.00,65.00,30.00,35.00,5.00,35.00,25.00,10.00,0.00
"59150006",115.00,55.00,20.00,35.00,5.00,3.00,115.00,110.00,100.00,10.00,5.00,5.00,0.00,110.00,50.00,60.00,20.00,35.00,5.00,5.00,0.00,0.00,0.00
"59150007",185.00,105.00,40.00,25.00,10.00,2.80,185.00,170.00,155.00,15.00,20.00,10.00,5.00,170.00,95.00,75.00,35.00,30.00,10.00,20.00,10.00,5.00,0.00
"59150008",185.00,100.00,30.00,45.00,15.00,2.90,190.00,175.00,165.00,10.00,10.00,15.00,0.00,175.00,90.00,85.00,25.00,40.00,15.00,15.00,5.00,5.00,5.00
"59150009",115.00,40.00,30.00,35.00,10.00,3.30,115.00,105.00,100.00,10.00,5.00,5.00,5.00,110.00,35.00,70.00,30.00,35.00,10.00,5.00,0.00,0.00,5.00
"59150010",265.00,135.00,45.00,65.00,25.00,2.90,265.00,240.00,220.00,20.00,20.00,15.00,5.00,245.00,120.00,120.00,40.00,60.00,25.00,20.00,10.00,5.00,5.00
"59150012",160.00,75.00,50.00,30.00,15.00,2.90,165.00,150.00,140.00,10.00,15.00,10.00,5.00,150.00,65.00,85.00,40.00,25.00,15.00,15.00,10.00,10.00,0.00
"59150013",115.00,45.00,25.00,25.00,10.00,3.10,110.00,100.00,95.00,5.00,15.00,5.00,5.00,100.00,45.00,60.00,20.00,25.00,15.00,15.00,5.00,5.00,5.00
"59150014",355.00,195.00,75.00,70.00,15.00,2.70,355.00,325.00,300.00,20.00,30.00,25.00,10.00,325.00,180.00,145.00,65.00,70.00,15.00,30.00,15.00,10.00,5.00
"59150015",145.00,55.00,35.00,50.00,10.00,3.20,145.00,130.00,130.00,5.00,15.00,10.00,5.00,130.00,45.00,85.00,25.00,50.00,10.00,10.00,5.00,10.00,0.00
"59150016",120.00,50.00,30.00,30.00,15.00,3.20,125.00,105.00,95.00,5.00,20.00,15.00,0.00,100.00,35.00,65.00,25.00,25.00,15.00,20.00,10.00,5.00,5.00
"59150017",90.00,45.00,20.00,25.00,5.00,2.90,95.00,85.00,70.00,5.00,10.00,10.00,0.00,85.00,35.00,45.00,20.00,20.00,5.00,10.00,5.00,0.00,5.00
"59150018",170.00,90.00,35.00,25.00,15.00,2.80,170.00,155.00,150.00,5.00,15.00,10.00,5.00,155.00,85.00,70.00,35.00,20.00,15.00,15.00,5.00,10.00,5.00
"59150019",185.00,85.00,40.00,45.00,15.00,3.00,185.00,170.00,145.00,15.00,20.00,15.00,5.00,165.00,70.00,90.00,35.00,45.00,15.00,20.00,10.00,5.00,5.00
"59150020",120.00,40.00,35.00,35.00,5.00,3.10,120.00,100.00,95.00,5.00,20.00,10.00,5.00,100.00,30.00,70.00,30.00,35.00,5.00,15.00,10.00,10.00,0.00
"59150021",85.00,35.00,20.00,20.00,10.00,3.20,85.00,65.00,65.00,5.00,15.00,10.00,0.00,65.00,20.00,45.00,15.00,20.00,15.00,15.00,10.00,0.00,0.00
"59150022",85.00,30.00,20.00,25.00,15.00,3.40,85.00,75.00,75.00,0.00,5.00,5.00,0.00,75.00,20.00,55.00,15.00,20.00,10.00,5.00,5.00,5.00,5.00
"59150023",165.00,60.00,40.00,45.00,20.00,3.20,165.00,145.00,135.00,10.00,20.00,15.00,5.00,145.00,55.00,90.00,25.00,45.00,20.00,25.00,5.00,15.00,5.00
"59150024",110.00,60.00,20.00,20.00,5.00,2.90,115.00,105.00,95.00,5.00,5.00,5.00,0.00,105.00,60.00,50.00,20.00,25.00,5.00,10.00,10.00,0.00,0.00
"59150025",195.00,110.00,30.00,45.00,15.00,2.80,195.00,175.00,155.00,20.00,25.00,15.00,10.00,175.00,90.00,85.00,25.00,40.00,10.00,20.00,15.00,5.00,0.00
"59150027",170.00,145.00,15.00,5.00,5.00,2.10,170.00,160.00,140.00,20.00,15.00,10.00,5.00,155.00,140.00,20.00,15.00,5.00,5.00,15.00,10.00,5.00,0.00
"59150028",130.00,80.00,20.00,25.00,5.00,2.70,135.00,105.00,95.00,5.00,30.00,25.00,0.00,105.00,60.00,40.00,10.00,20.00,5.00,30.00,20.00,5.00,0.00
"59150029",125.00,55.00,25.00,30.00,10.00,2.90,125.00,105.00,105.00,5.00,20.00,15.00,0.00,110.00,50.00,60.00,20.00,30.00,10.00,15.00,10.00,10.00,0.00
"59150030",160.00,75.00,35.00,35.00,10.00,2.90,160.00,140.00,135.00,5.00,20.00,15.00,5.00,140.00,65.00,75.00,30.00,40.00,15.00,20.00,15.00,5.00,0.00
"59150031",210.00,95.00,45.00,50.00,20.00,3.00,210.00,175.00,160.00,15.00,35.00,25.00,10.00,175.00,75.00,100.00,35.00,50.00,20.00,30.00,15.00,15.00,5.00
"59150032",110.00,40.00,25.00,35.00,10.00,3.30,110.00,95.00,95.00,5.00,10.00,5.00,0.00,95.00,35.00,65.00,15.00,35.00,15.00,10.00,5.00,5.00,5.00
"59150033",140.00,40.00,35.00,45.00,15.00,3.40,140.00,125.00,110.00,10.00,15.00,15.00,0.00,120.00,40.00,85.00,25.00,40.00,15.00,15.00,5.00,10.00,5.00
"59150034",120.00,45.00,20.00,25.00,20.00,3.20,120.00,105.00,95.00,10.00,15.00,15.00,0.00,105.00,40.00,65.00,20.00,30.00,20.00,15.00,10.00,10.00,5.00
"59150035",255.00,130.00,75.00,40.00,15.00,2.80,260.00,215.00,205.00,10.00,45.00,35.00,5.00,215.00,95.00,120.00,60.00,40.00,15.00,45.00,30.00,15.00,0.00
"59150036",150.00,60.00,35.00,45.00,10.00,3.00,150.00,130.00,120.00,10.00,20.00,15.00,5.00,130.00,50.00,85.00,30.00,45.00,10.00,20.00,10.00,5.00,0.00
"59150037",135.00,60.00,30.00,30.00,10.00,3.00,140.00,110.00,110.00,5.00,30.00,20.00,5.00,110.00,45.00,70.00,25.00,30.00,10.00,25.00,20.00,10.00,0.00
"59150038",120.00,50.00,25.00,30.00,15.00,3.10,120.00,100.00,90.00,5.00,25.00,15.00,10.00,95.00,35.00,60.00,15.00,30.00,15.00,25.00,15.00,5.00,0.00
"59150039",120.00,50.00,30.00,25.00,10.00,3.00,120.00,105.00,105.00,5.00,15.00,10.00,0.00,105.00,45.00,65.00,25.00,30.00,10.00,15.00,10.00,0.00,0.00
"59150040",50.00,35.00,5.00,5.00,5.00,2.50,50.00,45.00,40.00,5.00,5.00,5.00,0.00,45.00,35.00,15.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00
"59150041",130.00,45.00,35.00,40.00,10.00,3.10,130.00,105.00,105.00,5.00,20.00,20.00,5.00,110.00,35.00,75.00,25.00,40.00,10.00,20.00,10.00,5.00,0.00
"59150042",105.00,45.00,20.00,20.00,20.00,3.20,105.00,95.00,90.00,5.00,15.00,10.00,0.00,95.00,40.00,55.00,15.00,20.00,15.00,10.00,10.00,5.00,0.00
"59150043",125.00,90.00,25.00,10.00,0.00,2.30,120.00,100.00,85.00,15.00,25.00,15.00,5.00,100.00,75.00,30.00,20.00,10.00,0.00,25.00,15.00,5.00,0.00
"59150044",120.00,70.00,30.00,15.00,0.00,2.50,120.00,90.00,80.00,15.00,30.00,20.00,10.00,90.00,50.00,45.00,30.00,15.00,0.00,30.00,20.00,10.00,0.00
"59150045",150.00,115.00,25.00,10.00,0.00,2.40,150.00,125.00,115.00,10.00,30.00,20.00,5.00,125.00,95.00,35.00,20.00,10.00,0.00,30.00,20.00,5.00,0.00
"59150046",125.00,75.00,30.00,20.00,0.00,2.50,125.00,90.00,80.00,10.00,30.00,30.00,5.00,95.00,50.00,45.00,25.00,20.00,0.00,30.00,30.00,5.00,0.00
"59150047",85.00,55.00,20.00,10.00,5.00,2.50,85.00,75.00,65.00,10.00,15.00,10.00,5.00,75.00,50.00,25.00,10.00,10.00,0.00,10.00,5.00,5.00,0.00
"59150048",125.00,50.00,30.00,35.00,10.00,3.00,125.00,100.00,95.00,5.00,25.00,15.00,5.00,100.00,35.00,65.00,20.00,35.00,5.00,25.00,15.00,10.00,5.00
"59150049",155.00,55.00,45.00,45.00,5.00,3.00,155.00,130.00,125.00,5.00,30.00,20.00,5.00,125.00,40.00,90.00,35.00,45.00,10.00,25.00,15.00,5.00,5.00
"59150050",145.00,60.00,35.00,40.00,10.00,3.00,150.00,115.00,110.00,5.00,35.00,30.00,0.00,115.00,40.00,75.00,25.00,40.00,10.00,30.00,20.00,10.00,5.00
"59150051",140.00,60.00,30.00,40.00,10.00,3.00,140.00,120.00,105.00,10.00,20.00,20.00,5.00,115.00,50.00,70.00,20.00,40.00,10.00,25.00,10.00,10.00,5.00
"59150052",105.00,40.00,25.00,30.00,5.00,3.20,100.00,90.00,80.00,10.00,15.00,15.00,0.00,90.00,30.00,55.00,20.00,25.00,5.00,15.00,10.00,5.00,0.00
"59150053",180.00,80.00,50.00,35.00,15.00,2.90,180.00,160.00,150.00,10.00,25.00,10.00,10.00,160.00,70.00,90.00,45.00,30.00,10.00,25.00,15.00,5.00,0.00
"59150054",185.00,100.00,40.00,40.00,0.00,2.80,185.00,155.00,140.00,15.00,30.00,30.00,0.00,155.00,80.00,75.00,35.00,35.00,5.00,25.00,20.00,5.00,5.00
"59150055",165.00,85.00,35.00,35.00,10.00,2.80,165.00,140.00,130.00,15.00,25.00,20.00,5.00,145.00,70.00,70.00,30.00,30.00,10.00,20.00,15.00,5.00,5.00
"59150056",140.00,85.00,25.00,20.00,5.00,2.60,135.00,115.00,100.00,10.00,25.00,20.00,5.00,115.00,65.00,50.00,25.00,20.00,5.00,20.00,20.00,5.00,0.00
"59150059",280.00,160.00,65.00,45.00,15.00,2.70,280.00,215.00,200.00,15.00,60.00,55.00,5.00,220.00,120.00,90.00,45.00,40.00,10.00,65.00,35.00,20.00,10.00
"59150062",295.00,165.00,90.00,35.00,0.00,2.50,290.00,220.00,205.00,20.00,70.00,55.00,10.00,225.00,105.00,115.00,80.00,35.00,0.00,70.00,60.00,10.00,0.00
"59150064",125.00,65.00,30.00,25.00,5.00,2.80,125.00,110.00,90.00,10.00,20.00,15.00,5.00,110.00,50.00,55.00,25.00,20.00,5.00,20.00,10.00,5.00,5.00
"59150067",115.00,60.00,35.00,15.00,10.00,2.80,115.00,85.00,65.00,15.00,30.00,30.00,5.00,85.00,35.00,45.00,20.00,15.00,10.00,30.00,20.00,10.00,5.00
"59150068",120.00,45.00,40.00,30.00,5.00,2.90,125.00,110.00,95.00,15.00,10.00,10.00,5.00,110.00,40.00,70.00,40.00,30.00,10.00,15.00,10.00,0.00,5.00
"59150069",150.00,75.00,35.00,30.00,10.00,2.80,150.00,120.00,105.00,15.00,30.00,25.00,5.00,120.00,55.00,65.00,30.00,30.00,10.00,30.00,20.00,10.00,5.00
