"COL0","COL1","COL2","COL3"
"5915",462125.00,214705.00,247415.00
"59150004",45.00,25.00,20.00
"59150005",75.00,30.00,45.00
"59150006",90.00,45.00,50.00
"59150007",35.00,10.00,25.00
"59150008",50.00,20.00,30.00
"59150009",40.00,10.00,30.00
"59150010",70.00,25.00,45.00
"59150012",30.00,10.00,20.00
"59150013",15.00,5.00,10.00
"59150014",100.00,35.00,65.00
"59150015",35.00,15.00,25.00
"59150016",30.00,5.00,25.00
"59150017",30.00,10.00,20.00
"59150018",65.00,25.00,45.00
"59150019",40.00,15.00,25.00
"59150020",20.00,10.00,10.00
"59150021",30.00,10.00,15.00
"59150022",5.00,0.00,0.00
"59150023",35.00,15.00,20.00
"59150024",30.00,5.00,20.00
"59150025",50.00,20.00,35.00
"59150027",200.00,55.00,150.00
"59150028",90.00,15.00,75.00
"59150029",50.00,20.00,30.00
"59150030",40.00,15.00,25.00
"59150031",55.00,25.00,35.00
"59150032",40.00,10.00,25.00
"59150033",25.00,5.00,15.00
"59150034",50.00,10.00,45.00
"59150035",160.00,85.00,75.00
"59150036",45.00,10.00,30.00
"59150037",40.00,20.00,20.00
"59150038",40.00,10.00,30.00
"59150039",25.00,10.00,10.00
"59150040",250.00,50.00,200.00
"59150041",50.00,15.00,35.00
"59150042",45.00,10.00,35.00
"59150043",245.00,75.00,170.00
"59150044",175.00,70.00,105.00
"59150045",245.00,80.00,165.00
"59150046",150.00,50.00,100.00
"59150047",210.00,55.00,150.00
"59150048",40.00,20.00,25.00
"59150049",40.00,10.00,25.00
"59150050",40.00,20.00,25.00
"59150051",45.00,15.00,30.00
"59150052",45.00,20.00,25.00
"59150053",40.00,10.00,30.00
"59150054",55.00,15.00,40.00
"59150055",80.00,30.00,50.00
"59150056",180.00,70.00,115.00
"59150059",230.00,60.00,165.00
"59150062",295.00,125.00,170.00
"59150064",85.00,35.00,45.00
"59150067",65.00,15.00,50.00
"59150068",55.00,30.00,25.00
"59150069",155.00,60.00,90.00
"59150070",45.00,15.00,25.00
"59150071",55.00,20.00,30.00
"59150072",185.00,80.00,105.00
"59150073",110.00,45.00,65.00
"59150074",40.00,10.00,35.00
"59150075",60.00,25.00,35.00
"59150076",95.00,45.00,55.00
"59150077",60.00,25.00,35.00
"59150078",85.00,45.00,45.00
"59150079",80.00,50.00,30.00
"59150080",65.00,25.00,45.00
"59150081",135.00,45.00,85.00
"59150082",150.00,45.00,105.00
"59150083",120.00,55.00,70.00
"59150084",300.00,130.00,165.00
"59150085",290.00,125.00,165.00
"59150086",295.00,130.00,165.00
"59150087",185.00,95.00,90.00
"59150088",120.00,45.00,80.00
"59150089",125.00,70.00,55.00
"59150090",95.00,50.00,50.00
"59150091",255.00,85.00,165.00
"59150092",175.00,85.00,95.00
"59150093",165.00,65.00,100.00
"59150094",160.00,75.00,90.00
"59150095",75.00,40.00,40.00
"59150096",85.00,35.00,45.00
"59150097",95.00,50.00,45.00
"59150098",100.00,40.00,60.00
"59150099",85.00,40.00,40.00
"59150100",90.00,40.00,45.00
"59150101",40.00,20.00,20.00
"59150102",30.00,15.00,15.00
"59150103",40.00,15.00,20.00
"59150104",45.00,20.00,30.00
"59150105",20.00,10.00,10.00
"59150106",60.00,20.00,40.00
"59150107",35.00,10.00,25.00
"59150108",30.00,10.00,20.00
"59150109",60.00,20.00,35.00
"59150110",65.00,30.00,35.00
"59150111",80.00,30.00,50.00
"59150112",75.00,20.00,60.00
"59150113",125.00,65.00,65.00
"59150114",65.00,30.00,35.00
"59150115",40.00,15.00,25.00
"59150116",45.00,20.00,30.00
"59150117",50.00,15.00,40.00
"59150118",55.00,20.00,40.00
"59150119",90.00,30.00,65.00
"59150120",55.00,20.00,30.00
"59150121",55.00,20.00,40.00
"59150122",35.00,15.00,20.00
"59150123",55.00,15.00,35.00
"59150124",75.00,30.00,50.00
"59150125",45.00,20.00,25.00
"59150126",35.00,15.00,20.00
"59150127",65.00,30.00,35.00
"59150129",20.00,10.00,15.00
"59150130",70.00,30.00,40.00
"59150131",75.00,35.00,40.00
"59150132",65.00,30.00,35.00
"59150133",50.00,20.00,30.00
"59150134",40.00,10.00,30.00
"59150135",70.00,25.00,50.00
"59150136",60.00,25.00,30.00
"59150137",105.00,45.00,65.00
"59150140",145.00,60.00,85.00
"59150141",355.00,155.00,205.00
"59150142",80.00,35.00,50.00
"59150143",95.00,35.00,60.00
"59150145",90.00,35.00,55.00
"59150146",60.00,25.00,30.00
"59150147",50.00,15.00,30.00
"59150148",75.00,20.00,60.00
"59150152",100.00,45.00,55.00
"59150153",130.00,60.00,70.00
"59150157",35.00,25.00,15.00
"59150158",45.00,20.00,25.00
"59150159",70.00,30.00,40.00
"59150160",60.00,25.00,35.00
"59150161",70.00,30.00,40.00
"59150162",50.00,20.00,25.00
"59150163",65.00,20.00,40.00
"59150164",60.00,25.00,40.00
"59150165",45.00,20.00,30.00
"59150166",20.00,10.00,5.00
"59150167",35.00,15.00,25.00
"59150174",30.00,10.00,20.00
"59150175",30.00,20.00,10.00
"59150176",35.00,20.00,15.00
"59150177",55.00,20.00,30.00
"59150178",85.00,45.00,45.00
"59150179",45.00,20.00,20.00
"59150180",80.00,30.00,50.00
"59150181",85.00,40.00,45.00
"59150182",90.00,45.00,45.00
"59150183",140.00,55.00,80.00
"59150184",175.00,80.00,95.00
"59150185",180.00,80.00,95.00
"59150186",270.00,105.00,165.00
"59150187",410.00,190.00,220.00
"59150188",180.00,60.00,120.00
"59150189",215.00,110.00,105.00
"59150190",215.00,95.00,120.00
"59150191",245.00,110.00,130.00
"59150192",345.00,160.00,185.00
"59150193",290.00,125.00,165.00
"59150194",260.00,125.00,130.00
"59150195",130.00,35.00,95.00
"59150196",95.00,40.00,55.00
"59150197",250.00,135.00,115.00
"59150198",230.00,110.00,120.00
"59150199",225.00,95.00,125.00
"59150200",180.00,95.00,80.00
"59150201",145.00,75.00,70.00
"59150202",110.00,55.00,55.00
"59150203",115.00,60.00,50.00
"59150204",120.00,35.00,80.00
"59150205",65.00,30.00,35.00
"59150206",75.00,45.00,35.00
"59150207",55.00,25.00,25.00
"59150208",70.00,35.00,40.00
"59150209",105.00,50.00,55.00
"59150210",110.00,50.00,60.00
"59150211",90.00,50.00,45.00
"59150212",60.00,35.00,30.00
"59150213",85.00,45.00,40.00
"59150214",150.00,50.00,100.00
"59150219",95.00,50.00,50.00
"59150220",110.00,65.00,45.00
"59150221",135.00,75.00,55.00
"59150222",75.00,25.00,50.00
"59150223",50.00,25.00,25.00
"59150224",95.00,30.00,60.00
"59150225",30.00,15.00,15.00
"59150226",30.00,10.00,20.00
"59150227",35.00,15.00,20.00
"59150228",130.00,65.00,65.00
"59150229",25.00,5.00,15.00
"59150230",110.00,35.00,80.00
"59150231",30.00,15.00,15.00
"59150232",65.00,25.00,40.00
"59150233",440.00,160.00,275.00
"59150234",55.00,20.00,35.00
"59150235",100.00,20.00,75.00
"59150236",175.00,35.00,145.00
"59150237",65.00,15.00,50.00
"59150238",30.00,10.00,20.00
"59150239",80.00,25.00,55.00
"59150240",105.00,30.00,75.00
"59150241",75.00,30.00,50.00
"59150242",165.00,70.00,100.00
"59150243",70.00,30.00,35.00
"59150244",85.00,35.00,50.00
"59150245",65.00,25.00,35.00
"59150246",50.00,20.00,25.00
"59150249",50.00,30.00,20.00
"59150250",40.00,20.00,20.00
"59150251",30.00,15.00,20.00
"59150252",60.00,25.00,35.00
"59150253",155.00,70.00,80.00
"59150254",80.00,35.00,45.00
"59150255",90.00,60.00,30.00
"59150260",75.00,35.00,40.00
"59150261",80.00,45.00,40.00
"59150262",80.00,35.00,40.00
"59150263",85.00,35.00,55.00
"59150264",55.00,30.00,20.00
"59150265",95.00,30.00,65.00
"59150266",280.00,145.00,135.00
"59150267",370.00,195.00,170.00
"59150268",55.00,20.00,30.00
"59150269",50.00,30.00,20.00
"59150270",45.00,20.00,30.00
"59150271",55.00,25.00,30.00
"59150272",100.00,50.00,55.00
"59150273",55.00,30.00,25.00
"59150274",75.00,35.00,40.00
"59150275",50.00,20.00,25.00
"59150276",75.00,25.00,45.00
"59150277",80.00,45.00,40.00
"59150278",140.00,75.00,70.00
"59150279",145.00,65.00,80.00
"59150280",225.00,140.00,85.00
"59150281",100.00,45.00,55.00
"59150282",85.00,35.00,45.00
"59150283",70.00,45.00,25.00
"59150284",70.00,40.00,30.00
"59150285",70.00,35.00,35.00
"59150286",130.00,65.00,60.00
"59150287",65.00,25.00,35.00
"59150288",80.00,35.00,50.00
"59150289",95.00,40.00,50.00
"59150290",70.00,35.00,30.00
"59150291",145.00,75.00,65.00
"59150292",60.00,25.00,35.00
"59150293",75.00,35.00,40.00
"59150294",80.00,30.00,45.00
"59150295",90.00,45.00,45.00
"59150296",85.00,45.00,40.00
"59150297",180.00,75.00,100.00
"59150298",65.00,25.00,40.00
"59150299",95.00,30.00,65.00
"59150300",60.00,25.00,30.00
"59150301",90.00,40.00,45.00
"59150302",75.00,30.00,40.00
"59150303",80.00,40.00,40.00
"59150304",60.00,20.00,40.00
"59150305",60.00,25.00,30.00
"59150306",25.00,10.00,15.00
"59150307",115.00,55.00,60.00
"59150308",105.00,60.00,50.00
"59150309",145.00,80.00,65.00
"59150310",210.00,125.00,85.00
"59150311",95.00,55.00,35.00
"59150312",130.00,65.00,65.00
"59150313",195.00,95.00,100.00
"59150314",120.00,65.00,55.00
"59150315",65.00,20.00,40.00
"59150316",165.00,80.00,85.00
"59150317",90.00,45.00,50.00
"59150318",85.00,45.00,40.00
"59150319",80.00,35.00,45.00
"59150320",165.00,70.00,90.00
"59150321",90.00,30.00,60.00
