"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8"
"5915",960895.00,600780.00,226485.00,374290.00,37590.00,322525.00,275455.00,47070.00
"59150004",155.00,120.00,60.00,60.00,5.00,40.00,40.00,0.00
"59150005",205.00,145.00,40.00,100.00,5.00,55.00,55.00,5.00
"59150006",195.00,115.00,45.00,65.00,0.00,80.00,80.00,5.00
"59150007",210.00,180.00,95.00,90.00,0.00,25.00,25.00,0.00
"59150008",225.00,180.00,90.00,95.00,5.00,40.00,35.00,0.00
"59150009",135.00,105.00,35.00,75.00,5.00,25.00,25.00,0.00
"59150010",300.00,235.00,105.00,130.00,10.00,45.00,40.00,5.00
"59150012",175.00,145.00,55.00,90.00,5.00,20.00,20.00,0.00
"59150013",115.00,100.00,35.00,65.00,10.00,10.00,10.00,0.00
"59150014",415.00,325.00,170.00,155.00,15.00,75.00,70.00,0.00
"59150015",170.00,145.00,50.00,100.00,0.00,20.00,15.00,5.00
"59150016",135.00,120.00,35.00,80.00,5.00,15.00,15.00,5.00
"59150017",110.00,90.00,35.00,55.00,0.00,20.00,15.00,0.00
"59150018",215.00,165.00,80.00,80.00,0.00,45.00,40.00,5.00
"59150019",210.00,175.00,70.00,110.00,0.00,25.00,25.00,0.00
"59150020",125.00,110.00,30.00,85.00,5.00,10.00,10.00,0.00
"59150021",100.00,75.00,20.00,60.00,5.00,15.00,10.00,5.00
"59150022",85.00,85.00,20.00,60.00,0.00,0.00,0.00,0.00
"59150023",175.00,155.00,50.00,105.00,5.00,20.00,20.00,5.00
"59150024",130.00,110.00,50.00,55.00,0.00,20.00,20.00,0.00
"59150025",225.00,190.00,90.00,100.00,5.00,35.00,35.00,5.00
"59150027",360.00,165.00,140.00,25.00,5.00,190.00,190.00,5.00
"59150028",215.00,135.00,65.00,70.00,0.00,80.00,80.00,5.00
"59150029",150.00,115.00,45.00,75.00,5.00,30.00,20.00,5.00
"59150030",185.00,155.00,60.00,95.00,5.00,25.00,20.00,0.00
"59150031",235.00,195.00,70.00,125.00,5.00,35.00,30.00,10.00
"59150032",125.00,100.00,30.00,70.00,10.00,25.00,20.00,5.00
"59150033",140.00,125.00,35.00,85.00,5.00,15.00,10.00,0.00
"59150034",155.00,115.00,40.00,75.00,0.00,40.00,40.00,5.00
"59150035",365.00,235.00,90.00,145.00,10.00,120.00,115.00,5.00
"59150036",170.00,135.00,40.00,95.00,5.00,25.00,25.00,0.00
