"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36"
"5915",2440140.00,2130565.00,1115.00,172145.00,136320.00,1191670.00,1058305.00,530.00,76650.00,56185.00,1248470.00,1072255.00,580.00,95500.00,80135.00,2440145.00,2265310.00,25705.00,14470.00,134655.00,32940.00,1.30,1191670.00,1116835.00,12830.00,6635.00,55370.00,16145.00,1.40,1248470.00,1148470.00,12880.00,7830.00,79285.00,16795.00,1.30
"59150004",370.00,320.00,0.00,45.00,5.00,185.00,165.00,0.00,20.00,5.00,185.00,150.00,0.00,25.00,5.00,370.00,360.00,0.00,5.00,5.00,0.00,0.00,185.00,185.00,0.00,5.00,5.00,0.00,0.00,185.00,180.00,0.00,5.00,5.00,0.00,0.00
"59150005",505.00,430.00,0.00,70.00,0.00,250.00,220.00,0.00,30.00,0.00,250.00,210.00,0.00,40.00,0.00,500.00,490.00,10.00,5.00,0.00,15.00,3.00,255.00,245.00,5.00,0.00,0.00,5.00,2.00,250.00,245.00,5.00,0.00,0.00,5.00,2.00
"59150006",430.00,375.00,0.00,50.00,0.00,205.00,180.00,0.00,25.00,0.00,225.00,200.00,0.00,30.00,0.00,430.00,420.00,5.00,5.00,0.00,5.00,1.20,210.00,205.00,0.00,0.00,0.00,0.00,0.00,220.00,215.00,5.00,0.00,0.00,5.00,2.30
"59150007",545.00,455.00,0.00,85.00,0.00,265.00,230.00,0.00,30.00,0.00,280.00,225.00,0.00,55.00,0.00,545.00,530.00,10.00,5.00,0.00,10.00,1.80,265.00,260.00,5.00,5.00,0.00,0.00,0.00,280.00,270.00,5.00,5.00,0.00,10.00,3.60
"59150008",595.00,495.00,0.00,90.00,10.00,305.00,245.00,0.00,45.00,5.00,295.00,245.00,0.00,45.00,0.00,595.00,570.00,10.00,5.00,10.00,10.00,1.70,305.00,290.00,0.00,5.00,5.00,5.00,1.60,295.00,280.00,5.00,0.00,5.00,10.00,3.40
"59150009",400.00,320.00,0.00,70.00,5.00,190.00,160.00,0.00,30.00,0.00,210.00,165.00,0.00,45.00,5.00,400.00,380.00,10.00,5.00,5.00,10.00,2.50,190.00,180.00,5.00,0.00,0.00,5.00,2.60,210.00,200.00,5.00,5.00,0.00,10.00,4.80
"59150010",835.00,695.00,0.00,125.00,5.00,410.00,350.00,0.00,60.00,5.00,425.00,350.00,0.00,65.00,0.00,830.00,805.00,20.00,0.00,5.00,20.00,2.40,410.00,395.00,10.00,0.00,5.00,15.00,3.70,425.00,410.00,5.00,0.00,5.00,5.00,1.20
"59150012",510.00,435.00,0.00,50.00,20.00,245.00,215.00,0.00,25.00,10.00,265.00,220.00,0.00,30.00,10.00,515.00,485.00,5.00,5.00,20.00,5.00,1.00,250.00,235.00,0.00,0.00,10.00,0.00,0.00,265.00,250.00,0.00,5.00,15.00,0.00,0.00
"59150013",360.00,315.00,0.00,30.00,10.00,180.00,165.00,0.00,10.00,5.00,180.00,150.00,0.00,25.00,10.00,360.00,345.00,5.00,0.00,15.00,0.00,0.00,185.00,175.00,0.00,0.00,5.00,0.00,0.00,180.00,170.00,5.00,0.00,5.00,0.00,0.00
