"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27"
"5915",2101320.00,1193125.00,1033885.00,159240.00,908195.00,629035.00,50130.00,128040.00,100985.00,1015395.00,594185.00,513725.00,80455.00,421215.00,334130.00,20270.00,47275.00,19540.00,1085920.00,598940.00,520160.00,78780.00,486985.00,294910.00,29860.00,80765.00,81450.00
"59150004",340.00,220.00,195.00,20.00,120.00,75.00,5.00,25.00,15.00,170.00,110.00,95.00,15.00,60.00,45.00,5.00,10.00,5.00,170.00,110.00,100.00,10.00,60.00,30.00,5.00,15.00,10.00
"59150005",420.00,230.00,200.00,35.00,190.00,115.00,15.00,30.00,20.00,200.00,110.00,95.00,15.00,85.00,65.00,5.00,10.00,5.00,220.00,115.00,100.00,20.00,100.00,50.00,10.00,20.00,20.00
"59150006",365.00,220.00,200.00,20.00,140.00,80.00,5.00,40.00,20.00,175.00,110.00,100.00,10.00,65.00,40.00,0.00,15.00,5.00,190.00,110.00,100.00,10.00,80.00,40.00,5.00,25.00,10.00
"59150007",490.00,340.00,315.00,30.00,150.00,100.00,5.00,25.00,15.00,235.00,170.00,155.00,15.00,65.00,50.00,0.00,10.00,5.00,255.00,165.00,155.00,15.00,85.00,50.00,5.00,15.00,10.00
"59150008",500.00,360.00,330.00,25.00,140.00,90.00,5.00,20.00,25.00,250.00,185.00,165.00,10.00,70.00,55.00,5.00,0.00,5.00,245.00,180.00,165.00,15.00,65.00,35.00,5.00,15.00,15.00
"59150009",340.00,220.00,200.00,20.00,120.00,90.00,0.00,15.00,15.00,155.00,110.00,100.00,5.00,50.00,40.00,0.00,5.00,5.00,180.00,115.00,105.00,10.00,70.00,50.00,0.00,10.00,10.00
"59150010",705.00,490.00,445.00,40.00,215.00,150.00,15.00,25.00,25.00,345.00,245.00,220.00,20.00,100.00,80.00,5.00,10.00,5.00,365.00,250.00,225.00,25.00,115.00,65.00,10.00,15.00,20.00
"59150012",435.00,305.00,285.00,25.00,125.00,110.00,0.00,5.00,15.00,210.00,150.00,140.00,10.00,55.00,50.00,0.00,5.00,0.00,225.00,150.00,145.00,10.00,75.00,60.00,0.00,5.00,10.00
"59150013",305.00,205.00,200.00,10.00,100.00,75.00,0.00,10.00,5.00,150.00,105.00,100.00,5.00,50.00,40.00,0.00,5.00,0.00,155.00,100.00,95.00,5.00,55.00,35.00,0.00,5.00,5.00
