"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"5915",2463431.00,2313328.00,6.50,1027613.00,960894.00,854.60,2882.68
"59150004",368.00,,,172.00,159.00,431.70,0.85
"59150005",503.00,,,221.00,205.00,3031.90,0.17
"59150006",432.00,,,200.00,196.00,2771.00,0.16
"59150007",546.00,,,221.00,212.00,757.70,0.72
"59150008",596.00,,,247.00,224.00,905.20,0.66
"59150009",399.00,,,143.00,136.00,700.20,0.57
"59150010",831.00,,,314.00,298.00,1032.00,0.81
"59150012",512.00,,,182.00,173.00,1140.30,0.45
"59150013",360.00,,,122.00,118.00,1319.20,0.27
"59150014",1070.00,,,455.00,413.00,33.50,31.92
"59150015",495.00,,,180.00,166.00,1236.00,0.40
"59150016",413.00,,,149.00,135.00,1370.70,0.30
"59150017",302.00,,,121.00,111.00,870.10,0.35
"59150018",541.00,,,234.00,214.00,1221.50,0.44
"59150019",597.00,,,220.00,208.00,1174.30,0.51
"59150020",389.00,,,136.00,126.00,1060.50,0.37
"59150021",287.00,,,99.00,97.00,1500.30,0.19
"59150022",292.00,,,88.00,86.00,1868.20,0.16
"59150023",554.00,,,181.00,178.00,1295.00,0.43
"59150024",342.00,,,134.00,132.00,1370.20,0.25
"59150025",609.00,,,255.00,229.00,442.90,1.38
"59150027",567.00,,,396.00,360.00,3530.50,0.16
"59150028",442.00,,,241.00,213.00,2815.30,0.16
"59150029",423.00,,,167.00,151.00,2364.40,0.18
"59150030",506.00,,,217.00,182.00,2205.80,0.23
"59150031",680.00,,,272.00,236.00,1381.30,0.49
"59150032",400.00,,,144.00,127.00,969.20,0.41
"59150033",473.00,,,155.00,140.00,958.50,0.49
"59150034",434.00,,,175.00,158.00,1101.00,0.39
"59150035",888.00,,,398.00,367.00,1117.70,0.79
"59150036",575.00,,,186.00,167.00,2731.60,0.21
"59150037",448.00,,,176.00,159.00,2252.40,0.20
"59150038",414.00,,,144.00,136.00,2861.10,0.14
"59150039",381.00,,,134.00,126.00,3067.60,0.12
"59150040",405.00,,,316.00,298.00,3268.80,0.12
"59150041",452.00,,,160.00,149.00,1703.10,0.27
"59150042",382.00,,,144.00,131.00,2119.90,0.18
"59150043",535.00,,,365.00,359.00,10764.60,0.05
"59150044",488.00,,,332.00,283.00,12019.70,0.04
"59150045",605.00,,,407.00,383.00,8606.00,0.07
"59150046",462.00,,,299.00,267.00,11492.50,0.04
"59150047",426.00,,,286.00,273.00,6367.70,0.07
"59150048",429.00,,,161.00,147.00,2706.60,0.16
"59150049",504.00,,,189.00,175.00,2742.10,0.18
"59150050",492.00,,,185.00,169.00,2364.20,0.21
"59150051",468.00,,,175.00,161.00,2575.70,0.18
"59150052",591.00,,,143.00,134.00,2907.00,0.20
"59150053",571.00,,,226.00,200.00,2013.40,0.28
"59150054",553.00,,,245.00,228.00,1775.30,0.31
"59150055",549.00,,,259.00,225.00,3907.50,0.14
"59150056",533.00,,,329.00,304.00,1230.90,0.43
"59150059",1181.00,,,509.00,486.00,3179.90,0.37
"59150062",1046.00,,,588.00,557.00,454782.60,0.00
"59150064",435.00,,,195.00,178.00,1803.50,0.24
"59150067",385.00,,,167.00,167.00,3197.70,0.12
"59150068",423.00,,,159.00,149.00,4679.20,0.09
"59150069",577.00,,,282.00,276.00,4236.40,0.14
"59150070",435.00,,,161.00,160.00,2979.50,0.15
"59150071",471.00,,,193.00,191.00,312.30,1.51
"59150072",1028.00,,,455.00,442.00,3443.90,0.30
"59150073",1006.00,,,403.00,389.00,3839.70,0.26
"59150074",745.00,,,243.00,243.00,11339.40,0.07
"59150075",408.00,,,163.00,157.00,1851.20,0.22
