"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"1500000US510594504002","Block Group 2, Census Tract 4504, Fairfax County, Virginia","1674","224","1156","156","518","196"
"1500000US510594156002","Block Group 2, Census Tract 4156, Fairfax County, Virginia","1090","180","1047","175","43","45"
"1500000US510594302031","Block Group 1, Census Tract 4302.03, Fairfax County, Virginia","2688","150","2536","141","152","91"
"1500000US510594805011","Block Group 1, Census Tract 4805.01, Fairfax County, Virginia","725","136","648","120","77","85"
"1500000US510594501001","Block Group 1, Census Tract 4501, Fairfax County, Virginia","583","198","532","212","51","65"
"1500000US510594704004","Block Group 4, Census Tract 4704, Fairfax County, Virginia","1494","192","1383","190","111","78"
"1500000US510594160003","Block Group 3, Census Tract 4160, Fairfax County, Virginia","1038","328","882","325","156","134"
"1500000US510594826021","Block Group 1, Census Tract 4826.02, Fairfax County, Virginia","2003","311","2003","311","0","12"
"1500000US510594901012","Block Group 2, Census Tract 4901.01, Fairfax County, Virginia","1872","322","1579","347","293","224"
"1500000US510594808012","Block Group 2, Census Tract 4808.01, Fairfax County, Virginia","2534","389","1936","300","598","437"
"1500000US510594709001","Block Group 1, Census Tract 4709, Fairfax County, Virginia","1937","348","1937","348","0","12"
"1500000US510594511001","Block Group 1, Census Tract 4511, Fairfax County, Virginia","1004","166","884","138","120","96"
"1500000US510594406001","Block Group 1, Census Tract 4406, Fairfax County, Virginia","3116","190","2436","253","680","185"
"1500000US510594911034","Block Group 4, Census Tract 4911.03, Fairfax County, Virginia","755","245","678","247","77","81"
"1500000US510594711001","Block Group 1, Census Tract 4711, Fairfax County, Virginia","1396","395","1208","325","188","260"
"1500000US510594605021","Block Group 1, Census Tract 4605.02, Fairfax County, Virginia","3428","490","3248","497","180","128"
"1500000US510594516011","Block Group 1, Census Tract 4516.01, Fairfax County, Virginia","2785","757","1051","274","1734","714"
"1500000US510594202012","Block Group 2, Census Tract 4202.01, Fairfax County, Virginia","1673","286","1526","230","147","166"
"1500000US510594617003","Block Group 3, Census Tract 4617, Fairfax County, Virginia","1480","312","1359","283","121","128"
"1500000US510594322011","Block Group 1, Census Tract 4322.01, Fairfax County, Virginia","2264","268","1761","300","503","190"
