GEO_ID,NAME,B09019_001E,B09019_001M,B09019_002E,B09019_002M,B09019_003E,B09019_003M,B09019_004E,B09019_004M,B09019_005E,B09019_005M,B09019_006E,B09019_006M,B09019_007E,B09019_007M,B09019_008E,B09019_008M,B09019_009E,B09019_009M,B09019_010E,B09019_010M,B09019_011E,B09019_011M,B09019_012E,B09019_012M,B09019_013E,B09019_013M,B09019_014E,B09019_014M,B09019_015E,B09019_015M,B09019_016E,B09019_016M,B09019_017E,B09019_017M,B09019_018E,B09019_018M,B09019_019E,B09019_019M,B09019_020E,B09019_020M,B09019_021E,B09019_021M,B09019_022E,B09019_022M,B09019_023E,B09019_023M,B09019_024E,B09019_024M,B09019_025E,B09019_025M,B09019_026E,B09019_026M,B09019_027E,B09019_027M,B09019_028E,B09019_028M,B09019_029E,B09019_029M,B09019_030E,B09019_030M,B09019_031E,B09019_031M,B09019_032E,B09019_032M,B09019_033E,B09019_033M,B09019_034E,B09019_034M,B09019_035E,B09019_035M,B09019_036E,B09019_036M,B09019_037E,B09019_037M,B09019_038E,B09019_038M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!In households,Margin of Error!!Total!!In households,Estimate!!Total!!In households!!In family households,Margin of Error!!Total!!In households!!In family households,Estimate!!Total!!In households!!In family households!!Householder,Margin of Error!!Total!!In households!!In family households!!Householder,Estimate!!Total!!In households!!In family households!!Householder!!Male,Margin of Error!!Total!!In households!!In family households!!Householder!!Male,Estimate!!Total!!In households!!In family households!!Householder!!Female,Margin of Error!!Total!!In households!!In family households!!Householder!!Female,Estimate!!Total!!In households!!In family households!!Spouse,Margin of Error!!Total!!In households!!In family households!!Spouse,Estimate!!Total!!In households!!In family households!!Child,Margin of Error!!Total!!In households!!In family households!!Child,Estimate!!Total!!In households!!In family households!!Child!!Biological child,Margin of Error!!Total!!In households!!In family households!!Child!!Biological child,Estimate!!Total!!In households!!In family households!!Child!!Adopted child,Margin of Error!!Total!!In households!!In family households!!Child!!Adopted child,Estimate!!Total!!In households!!In family households!!Child!!Stepchild,Margin of Error!!Total!!In households!!In family households!!Child!!Stepchild,Estimate!!Total!!In households!!In family households!!Grandchild,Margin of Error!!Total!!In households!!In family households!!Grandchild,Estimate!!Total!!In households!!In family households!!Brother or sister,Margin of Error!!Total!!In households!!In family households!!Brother or sister,Estimate!!Total!!In households!!In family households!!Parent,Margin of Error!!Total!!In households!!In family households!!Parent,Estimate!!Total!!In households!!In family households!!Parent-in-law,Margin of Error!!Total!!In households!!In family households!!Parent-in-law,Estimate!!Total!!In households!!In family households!!Son-in-law or daughter-in-law,Margin of Error!!Total!!In households!!In family households!!Son-in-law or daughter-in-law,Estimate!!Total!!In households!!In family households!!Other relatives,Margin of Error!!Total!!In households!!In family households!!Other relatives,Estimate!!Total!!In households!!In family households!!Nonrelatives,Margin of Error!!Total!!In households!!In family households!!Nonrelatives,Estimate!!Total!!In households!!In family households!!Nonrelatives!!Roomer or boarder,Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Roomer or boarder,Estimate!!Total!!In households!!In family households!!Nonrelatives!!Housemate or roommate,Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Housemate or roommate,Estimate!!Total!!In households!!In family households!!Nonrelatives!!Unmarried partner,Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Unmarried partner,Estimate!!Total!!In households!!In family households!!Nonrelatives!!Foster child,Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Foster child,Estimate!!Total!!In households!!In family households!!Nonrelatives!!Other nonrelatives,Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Other nonrelatives,Estimate!!Total!!In households!!In nonfamily households,Margin of Error!!Total!!In households!!In nonfamily households,Estimate!!Total!!In households!!In nonfamily households!!Householder,Margin of Error!!Total!!In households!!In nonfamily households!!Householder,Estimate!!Total!!In households!!In nonfamily households!!Householder!!Male,Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Male,Estimate!!Total!!In households!!In nonfamily households!!Householder!!Male!!Living alone,Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Male!!Living alone,Estimate!!Total!!In households!!In nonfamily households!!Householder!!Male!!Not living alone,Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Male!!Not living alone,Estimate!!Total!!In households!!In nonfamily households!!Householder!!Female,Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Female,Estimate!!Total!!In households!!In nonfamily households!!Householder!!Female!!Living alone,Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Female!!Living alone,Estimate!!Total!!In households!!In nonfamily households!!Householder!!Female!!Not living alone,Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Female!!Not living alone,Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives,Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives,Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Roomer or boarder,Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Roomer or boarder,Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Housemate or roommate,Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Housemate or roommate,Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Unmarried partner,Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Unmarried partner,Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Foster child,Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Foster child,Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Other nonrelatives,Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Other nonrelatives,Estimate!!Total!!In group quarters,Margin of Error!!Total!!In group quarters
1500000US510594504002,"Block Group 2, Census Tract 4504, Fairfax County, Virginia",1674,224,1674,224,1545,228,453,56,218,56,235,55,403,56,506,123,493,131,0,12,13,20,46,37,5,9,45,42,0,12,7,10,23,27,57,35,16,19,41,34,0,12,0,12,0,12,129,58,93,35,33,20,26,16,7,10,60,29,44,20,16,21,36,31,0,12,24,24,12,19,0,12,0,12,0,12
1500000US510594156002,"Block Group 2, Census Tract 4156, Fairfax County, Virginia",1090,180,1085,180,1022,190,346,64,154,48,192,59,340,59,296,83,277,82,19,21,0,12,0,12,7,11,0,12,33,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,63,40,63,40,31,28,31,28,0,12,32,30,32,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8
1500000US510594302031,"Block Group 1, Census Tract 4302.03, Fairfax County, Virginia",2688,150,2683,149,2237,162,653,48,406,55,247,53,557,65,875,94,869,95,4,6,2,7,2,5,10,13,4,14,7,11,28,36,35,34,66,80,0,12,0,12,32,36,0,12,34,45,446,162,219,50,48,26,17,15,31,23,171,44,140,42,31,21,227,134,15,20,206,132,0,12,0,12,6,9,5,5
1500000US510594805011,"Block Group 1, Census Tract 4805.01, Fairfax County, Virginia",725,136,725,136,715,139,219,37,144,41,75,34,208,38,278,79,278,79,0,12,0,12,0,12,10,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,10,16,0,12,0,12,0,12,10,16,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510594501001,"Block Group 1, Census Tract 4501, Fairfax County, Virginia",583,198,583,198,434,212,166,70,81,55,85,60,143,61,110,115,110,115,0,12,0,12,15,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,149,76,122,57,52,44,36,37,16,25,70,52,56,46,14,22,27,32,0,12,0,12,27,32,0,12,0,12,0,12
1500000US510594704004,"Block Group 4, Census Tract 4704, Fairfax County, Virginia",1494,192,1494,192,1413,202,426,53,278,56,148,46,362,54,523,121,468,119,32,30,23,26,0,12,25,27,54,46,12,19,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,81,45,70,37,6,9,6,9,0,12,64,36,54,32,10,15,11,16,0,12,0,12,11,16,0,12,0,12,0,12
1500000US510594160003,"Block Group 3, Census Tract 4160, Fairfax County, Virginia",1038,328,1038,328,967,337,229,66,137,60,92,46,205,68,367,168,328,140,39,58,0,12,15,25,23,36,23,26,9,15,9,16,14,21,73,74,0,12,16,23,0,12,0,12,57,72,71,61,44,29,15,18,15,18,0,12,29,23,19,21,10,18,27,45,16,26,0,12,11,18,0,12,0,12,0,12
1500000US510594826021,"Block Group 1, Census Tract 4826.02, Fairfax County, Virginia",2003,311,2003,311,2003,311,573,99,299,84,274,101,485,108,829,162,813,163,16,25,0,12,19,23,0,12,30,45,16,25,33,40,0,12,18,27,0,12,0,12,0,12,0,12,18,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510594901012,"Block Group 2, Census Tract 4901.01, Fairfax County, Virginia",1872,322,1872,322,1362,317,405,80,217,71,188,74,332,101,580,170,505,165,10,19,65,82,0,12,23,25,0,12,22,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,510,146,351,74,156,60,112,48,44,39,195,57,156,50,39,31,159,93,11,19,133,93,15,16,0,12,0,12,0,12
