"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1500000US510594504002","Block Group 2, Census Tract 4504, Fairfax County, Virginia","1674","224","1337","217","20","17","30","32","99","78","0","12","162","108","26","31","19","30","7","10"
"1500000US510594156002","Block Group 2, Census Tract 4156, Fairfax County, Virginia","1090","180","1044","181","2","5","0","12","35","28","0","12","1","2","8","13","0","12","8","13"
"1500000US510594302031","Block Group 1, Census Tract 4302.03, Fairfax County, Virginia","2688","150","1776","206","193","189","30","31","528","64","0","12","1","2","160","73","16","25","144","69"
"1500000US510594805011","Block Group 1, Census Tract 4805.01, Fairfax County, Virginia","725","136","692","139","0","12","0","12","33","52","0","12","0","12","0","12","0","12","0","12"
"1500000US510594501001","Block Group 1, Census Tract 4501, Fairfax County, Virginia","583","198","478","191","45","54","0","12","45","53","0","12","15","23","0","12","0","12","0","12"
"1500000US510594704004","Block Group 4, Census Tract 4704, Fairfax County, Virginia","1494","192","1196","227","18","27","0","12","272","116","0","12","0","12","8","13","0","12","8","13"
"1500000US510594160003","Block Group 3, Census Tract 4160, Fairfax County, Virginia","1038","328","912","320","48","58","0","12","8","14","0","12","55","84","15","25","0","12","15","25"
"1500000US510594826021","Block Group 1, Census Tract 4826.02, Fairfax County, Virginia","2003","311","731","231","0","12","0","12","1155","292","0","12","0","12","117","115","0","12","117","115"
"1500000US510594901012","Block Group 2, Census Tract 4901.01, Fairfax County, Virginia","1872","322","1024","283","257","200","0","12","465","216","0","12","0","12","126","105","16","24","110","102"
"1500000US510594808012","Block Group 2, Census Tract 4808.01, Fairfax County, Virginia","2534","389","1805","366","108","69","0","12","264","179","0","12","250","358","107","86","0","12","107","86"
