"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Margin of Error!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Margin of Error!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Margin of Error!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Margin of Error!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Margin of Error!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Margin of Error!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Margin of Error!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Margin of Error!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Margin of Error!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Margin of Error!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Margin of Error!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Margin of Error!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Margin of Error!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Margin of Error!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Margin of Error!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Margin of Error!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Margin of Error!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Margin of Error!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Margin of Error!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Margin of Error!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Margin of Error!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Margin of Error!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Margin of Error!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Margin of Error!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Margin of Error!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Margin of Error!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Margin of Error!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Margin of Error!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Margin of Error!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Margin of Error!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"1500000US510594504002","Block Group 2, Census Tract 4504, Fairfax County, Virginia","1674","224","755","105","47","42","8","12","20","21","37","31","27","24","0","12","0","12","0","12","24","18","74","43","73","40","34","23","82","41","34","24","77","39","60","40","29","22","19","15","39","31","53","33","9","10","0","12","9","12","919","159","51","40","72","38","33","23","71","39","39","26","0","12","32","36","33","37","54","40","31","26","101","35","47","25","42","24","94","34","79","34","11","10","24","18","38","26","43","22","8","11","0","12","11","12","5","8"
"1500000US510594156002","Block Group 2, Census Tract 4156, Fairfax County, Virginia","1090","180","553","103","16","13","15","21","38","30","31","27","0","12","1","2","19","28","8","11","1","2","1","2","5","10","36","23","37","34","67","54","12","19","44","35","49","35","16","12","32","25","31","23","22","23","31","27","41","35","537","103","27","26","53","42","20","22","23","24","0","12","0","12","0","12","0","12","12","19","4","9","18","17","16","15","86","58","35","27","60","43","12","18","23","20","20","21","8","13","18","20","33","32","10","15","59","32"
"1500000US510594302031","Block Group 1, Census Tract 4302.03, Fairfax County, Virginia","2688","150","1275","104","54","42","83","39","73","32","65","29","74","51","0","12","12","15","65","34","118","61","60","39","72","32","63","32","140","51","106","38","74","39","0","12","58","29","34","23","37","19","43","20","29","18","15","15","0","12","1413","127","94","44","99","40","33","20","51","30","27","25","36","34","61","51","85","42","68","39","79","43","112","35","72","35","83","34","154","42","82","34","12","12","37","21","18","15","43","21","66","26","55","34","24","17","22","28"
"1500000US510594805011","Block Group 1, Census Tract 4805.01, Fairfax County, Virginia","725","136","396","82","8","11","67","36","21","21","37","31","20","22","9","14","0","12","9","14","12","19","0","12","8","11","8","13","41","33","34","27","37","30","29","25","10","15","10","15","16","19","10","15","10","15","0","12","0","12","329","66","9","12","41","28","0","12","21","22","0","12","0","12","0","12","24","28","10","14","8","11","0","12","27","23","31","29","60","28","42","26","8","13","9","15","9","15","20","21","0","12","10","16","0","12","0","12"
"1500000US510594501001","Block Group 1, Census Tract 4501, Fairfax County, Virginia","583","198","263","106","37","68","0","12","0","12","0","12","0","12","0","12","0","12","0","12","62","52","7","14","53","46","44","43","15","26","0","12","13","23","0","12","0","12","0","12","16","25","16","23","0","12","0","12","0","12","320","119","38","44","20","36","15","23","0","12","0","12","0","12","0","12","16","25","47","45","23","28","42","47","17","28","26","31","0","12","8","16","26","32","11","17","31","33","0","12","0","12","0","12","0","12","0","12"
"1500000US510594704004","Block Group 4, Census Tract 4704, Fairfax County, Virginia","1494","192","739","135","54","35","98","51","39","25","73","36","0","12","0","12","12","17","0","12","6","9","10","15","56","33","49","27","39","26","67","34","50","28","31","24","44","32","16","20","27","20","38","31","21","24","9","14","0","12","755","98","44","32","64","28","55","39","63","43","0","12","0","12","0","12","11","16","0","12","8","13","43","31","66","30","43","31","46","26","81","35","35","27","38","26","9","15","45","24","12","15","43","31","11","18","38","29"
"1500000US510594160003","Block Group 3, Census Tract 4160, Fairfax County, Virginia","1038","328","498","183","39","36","22","28","9","14","23","34","0","12","11","17","0","12","15","25","90","117","33","33","13","16","30","25","45","46","14","21","42","49","7","11","44","39","20","20","0","12","8","13","16","19","8","12","9","14","540","182","38","39","17","18","11","20","0","12","26","35","0","12","23","31","77","76","42","37","25","28","29","25","17","19","12","20","73","56","51","35","0","12","54","38","10","14","0","12","0","12","8","14","8","14","19","22"
"1500000US510594826021","Block Group 1, Census Tract 4826.02, Fairfax County, Virginia","2003","311","1115","202","84","47","98","60","36","37","96","61","22","36","0","12","22","34","39","62","113","77","32","36","46","39","107","56","106","64","74","58","39","42","90","87","0","12","26","31","24","31","15","23","46","52","0","12","0","12","888","175","73","51","78","54","63","47","47","46","0","12","0","12","0","12","21","34","25","30","47","42","59","36","98","57","118","74","39","41","61","48","86","81","14","24","15","22","0","12","0","12","0","12","15","25","29","32"
"1500000US510594901012","Block Group 2, Census Tract 4901.01, Fairfax County, Virginia","1872","322","946","179","57","44","53","40","67","54","49","44","15","24","0","12","37","56","27","26","124","93","61","55","31","39","122","61","104","63","31","24","47","47","9","13","8","12","16","19","9","14","8","13","19","19","7","11","45","46","926","186","38","45","112","68","58","48","23","20","34","55","0","12","0","12","16","14","35","25","56","47","78","54","96","59","39","32","23","18","37","38","36","46","30","31","34","25","13","17","47","36","36","38","62","40","23","21"
