"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1500000US510594504002","Block Group 2, Census Tract 4504, Fairfax County, Virginia","1674","224"
"1500000US510594156002","Block Group 2, Census Tract 4156, Fairfax County, Virginia","1090","180"
"1500000US510594302031","Block Group 1, Census Tract 4302.03, Fairfax County, Virginia","2688","150"
"1500000US510594805011","Block Group 1, Census Tract 4805.01, Fairfax County, Virginia","725","136"
"1500000US510594501001","Block Group 1, Census Tract 4501, Fairfax County, Virginia","583","198"
"1500000US510594704004","Block Group 4, Census Tract 4704, Fairfax County, Virginia","1494","192"
"1500000US510594160003","Block Group 3, Census Tract 4160, Fairfax County, Virginia","1038","328"
"1500000US510594826021","Block Group 1, Census Tract 4826.02, Fairfax County, Virginia","2003","311"
"1500000US510594901012","Block Group 2, Census Tract 4901.01, Fairfax County, Virginia","1872","322"
"1500000US510594808012","Block Group 2, Census Tract 4808.01, Fairfax County, Virginia","2534","389"
"1500000US510594709001","Block Group 1, Census Tract 4709, Fairfax County, Virginia","1937","348"
"1500000US510594511001","Block Group 1, Census Tract 4511, Fairfax County, Virginia","1004","166"
"1500000US510594406001","Block Group 1, Census Tract 4406, Fairfax County, Virginia","3116","190"
"1500000US510594911034","Block Group 4, Census Tract 4911.03, Fairfax County, Virginia","755","245"
"1500000US510594711001","Block Group 1, Census Tract 4711, Fairfax County, Virginia","1396","395"
"1500000US510594605021","Block Group 1, Census Tract 4605.02, Fairfax County, Virginia","3428","490"
"1500000US510594516011","Block Group 1, Census Tract 4516.01, Fairfax County, Virginia","2785","757"
"1500000US510594202012","Block Group 2, Census Tract 4202.01, Fairfax County, Virginia","1673","286"
"1500000US510594617003","Block Group 3, Census Tract 4617, Fairfax County, Virginia","1480","312"
"1500000US510594322011","Block Group 1, Census Tract 4322.01, Fairfax County, Virginia","2264","268"
"1500000US510594822024","Block Group 4, Census Tract 4822.02, Fairfax County, Virginia","1365","299"
"1500000US510594819002","Block Group 2, Census Tract 4819, Fairfax County, Virginia","1508","338"
"1500000US510594811043","Block Group 3, Census Tract 4811.04, Fairfax County, Virginia","583","161"
"1500000US510594326001","Block Group 1, Census Tract 4326, Fairfax County, Virginia","2391","326"
"1500000US510594914051","Block Group 1, Census Tract 4914.05, Fairfax County, Virginia","2867","139"
"1500000US510594714022","Block Group 2, Census Tract 4714.02, Fairfax County, Virginia","1422","256"
"1500000US510594504001","Block Group 1, Census Tract 4504, Fairfax County, Virginia","1109","256"
"1500000US510594520001","Block Group 1, Census Tract 4520, Fairfax County, Virginia","3085","154"
"1500000US510594823033","Block Group 3, Census Tract 4823.03, Fairfax County, Virginia","1433","193"
"1500000US510594152004","Block Group 4, Census Tract 4152, Fairfax County, Virginia","650","166"
"1500000US510594224023","Block Group 3, Census Tract 4224.02, Fairfax County, Virginia","1685","361"
"1500000US510594917041","Block Group 1, Census Tract 4917.04, Fairfax County, Virginia","1289","395"
"1500000US510594918032","Block Group 2, Census Tract 4918.03, Fairfax County, Virginia","1506","373"
"1500000US510594314002","Block Group 2, Census Tract 4314, Fairfax County, Virginia","1469","253"
"1500000US510594509002","Block Group 2, Census Tract 4509, Fairfax County, Virginia","854","105"
"1500000US510594917012","Block Group 2, Census Tract 4917.01, Fairfax County, Virginia","1771","381"
"1500000US510594810001","Block Group 1, Census Tract 4810, Fairfax County, Virginia","2787","522"
"1500000US510594402011","Block Group 1, Census Tract 4402.01, Fairfax County, Virginia","3208","333"
"1500000US510594211031","Block Group 1, Census Tract 4211.03, Fairfax County, Virginia","812","237"
"1500000US510594601003","Block Group 3, Census Tract 4601, Fairfax County, Virginia","1276","214"
"1500000US510594914013","Block Group 3, Census Tract 4914.01, Fairfax County, Virginia","917","229"
"1500000US510594408003","Block Group 3, Census Tract 4408, Fairfax County, Virginia","1999","420"
"1500000US510594616011","Block Group 1, Census Tract 4616.01, Fairfax County, Virginia","1680","561"
"1500000US510594618023","Block Group 3, Census Tract 4618.02, Fairfax County, Virginia","1170","319"
"1500000US510594206002","Block Group 2, Census Tract 4206, Fairfax County, Virginia","3221","316"
"1500000US510594202011","Block Group 1, Census Tract 4202.01, Fairfax County, Virginia","1203","266"
"1500000US510594709002","Block Group 2, Census Tract 4709, Fairfax County, Virginia","1744","389"
"1500000US510594325002","Block Group 2, Census Tract 4325, Fairfax County, Virginia","2143","299"
"1500000US510594523022","Block Group 2, Census Tract 4523.02, Fairfax County, Virginia","2032","489"
"1500000US510594712013","Block Group 3, Census Tract 4712.01, Fairfax County, Virginia","1189","244"
"1500000US510594618021","Block Group 1, Census Tract 4618.02, Fairfax County, Virginia","1996","293"
"1500000US510594302021","Block Group 1, Census Tract 4302.02, Fairfax County, Virginia","1883","379"
"1500000US510594823031","Block Group 1, Census Tract 4823.03, Fairfax County, Virginia","1214","186"
"1500000US510594921003","Block Group 3, Census Tract 4921, Fairfax County, Virginia","1920","326"
"1500000US510594514001","Block Group 1, Census Tract 4514, Fairfax County, Virginia","1970","391"
"1500000US510594505002","Block Group 2, Census Tract 4505, Fairfax County, Virginia","2107","305"
"1500000US510594525011","Block Group 1, Census Tract 4525.01, Fairfax County, Virginia","963","271"
"1500000US510594604001","Block Group 1, Census Tract 4604, Fairfax County, Virginia","1760","285"
"1500000US510594201002","Block Group 2, Census Tract 4201, Fairfax County, Virginia","2976","367"
"1500000US510594216001","Block Group 1, Census Tract 4216, Fairfax County, Virginia","2596","614"
"1500000US510594213002","Block Group 2, Census Tract 4213, Fairfax County, Virginia","1466","173"
"1500000US510594501003","Block Group 3, Census Tract 4501, Fairfax County, Virginia","671","357"
"1500000US510594219002","Block Group 2, Census Tract 4219, Fairfax County, Virginia","1439","292"
"1500000US510594802013","Block Group 3, Census Tract 4802.01, Fairfax County, Virginia","1120","198"
"1500000US510594155002","Block Group 2, Census Tract 4155, Fairfax County, Virginia","824","229"
"1500000US510594809012","Block Group 2, Census Tract 4809.01, Fairfax County, Virginia","3022","607"
"1500000US510594306004","Block Group 4, Census Tract 4306, Fairfax County, Virginia","2016","471"
"1500000US510594402024","Block Group 4, Census Tract 4402.02, Fairfax County, Virginia","1770","442"
"1500000US510594224031","Block Group 1, Census Tract 4224.03, Fairfax County, Virginia","1275","218"
"1500000US510594521013","Block Group 3, Census Tract 4521.01, Fairfax County, Virginia","2210","485"
"1500000US510594822023","Block Group 3, Census Tract 4822.02, Fairfax County, Virginia","793","152"
"1500000US510594923002","Block Group 2, Census Tract 4923, Fairfax County, Virginia","1579","263"
"1500000US510594524005","Block Group 5, Census Tract 4524, Fairfax County, Virginia","1489","335"
"1500000US510594917025","Block Group 5, Census Tract 4917.02, Fairfax County, Virginia","1696","487"
"1500000US510599803001","Block Group 1, Census Tract 9803, Fairfax County, Virginia","0","12"
"1500000US510594825032","Block Group 2, Census Tract 4825.03, Fairfax County, Virginia","844","217"
"1500000US510594913012","Block Group 2, Census Tract 4913.01, Fairfax County, Virginia","2452","383"
"1500000US510594814004","Block Group 4, Census Tract 4814, Fairfax County, Virginia","1740","331"
"1500000US510594905011","Block Group 1, Census Tract 4905.01, Fairfax County, Virginia","1281","242"
"1500000US510594202013","Block Group 3, Census Tract 4202.01, Fairfax County, Virginia","1289","382"
"1500000US510594156001","Block Group 1, Census Tract 4156, Fairfax County, Virginia","1694","189"
"1500000US510594222011","Block Group 1, Census Tract 4222.01, Fairfax County, Virginia","1739","233"
"1500000US510594526001","Block Group 1, Census Tract 4526, Fairfax County, Virginia","4793","827"
"1500000US510594901011","Block Group 1, Census Tract 4901.01, Fairfax County, Virginia","1374","299"
"1500000US510594612011","Block Group 1, Census Tract 4612.01, Fairfax County, Virginia","2062","244"
"1500000US510594812021","Block Group 1, Census Tract 4812.02, Fairfax County, Virginia","2516","404"
"1500000US510594707003","Block Group 3, Census Tract 4707, Fairfax County, Virginia","956","203"
"1500000US510594221024","Block Group 4, Census Tract 4221.02, Fairfax County, Virginia","1768","602"
"1500000US510594920001","Block Group 1, Census Tract 4920, Fairfax County, Virginia","2577","438"
"1500000US510594211033","Block Group 3, Census Tract 4211.03, Fairfax County, Virginia","1003","214"
"1500000US510594211034","Block Group 4, Census Tract 4211.03, Fairfax County, Virginia","1293","293"
