"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US51059416300","Census Tract 4163, Fairfax County, Virginia","1969","128","1764","157","91","68","0","12","65","64","6","12","0","12","43","40","0","12","43","40"
"1400000US51059421300","Census Tract 4213, Fairfax County, Virginia","3982","217","2867","230","477","128","9","15","348","109","0","12","135","106","146","74","0","12","146","74"
"1400000US51059421500","Census Tract 4215, Fairfax County, Virginia","7340","823","4298","914","1642","656","0","17","391","328","0","17","844","493","165","151","12","19","153","152"
"1400000US51059451900","Census Tract 4519, Fairfax County, Virginia","5399","680","3194","567","800","307","19","31","923","392","16","22","212","274","235","137","22","35","213","130"
"1400000US51059421900","Census Tract 4219, Fairfax County, Virginia","3066","320","1822","306","603","224","11","18","169","123","43","45","88","72","330","153","49","51","281","145"
"1400000US51059430400","Census Tract 4304, Fairfax County, Virginia","7309","470","4811","365","289","177","0","17","1700","520","54","86","148","186","307","203","15","24","292","203"
"1400000US51059460300","Census Tract 4603, Fairfax County, Virginia","2961","125","2478","137","32","45","0","12","325","48","0","12","29","42","97","50","5","7","92","48"
"1400000US51059452000","Census Tract 4520, Fairfax County, Virginia","3085","154","1592","192","466","90","46","61","751","174","0","12","56","38","174","111","21","23","153","103"
"1400000US51059481000","Census Tract 4810, Fairfax County, Virginia","6725","524","3184","715","965","315","10","17","1211","292","0","17","1196","596","159","111","28","27","131","101"
