"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US51059416300","Census Tract 4163, Fairfax County, Virginia","1969","128"
"1400000US51059421300","Census Tract 4213, Fairfax County, Virginia","3982","217"
"1400000US51059421500","Census Tract 4215, Fairfax County, Virginia","7340","823"
"1400000US51059451900","Census Tract 4519, Fairfax County, Virginia","5399","680"
"1400000US51059421900","Census Tract 4219, Fairfax County, Virginia","3066","320"
"1400000US51059430400","Census Tract 4304, Fairfax County, Virginia","7309","470"
"1400000US51059460300","Census Tract 4603, Fairfax County, Virginia","2961","125"
"1400000US51059452000","Census Tract 4520, Fairfax County, Virginia","3085","154"
"1400000US51059481000","Census Tract 4810, Fairfax County, Virginia","6725","524"
"1400000US51059481900","Census Tract 4819, Fairfax County, Virginia","6285","469"
"1400000US51059415200","Census Tract 4152, Fairfax County, Virginia","3135","276"
"1400000US51059415600","Census Tract 4156, Fairfax County, Virginia","2784","143"
"1400000US51059416200","Census Tract 4162, Fairfax County, Virginia","5353","397"
"1400000US51059450400","Census Tract 4504, Fairfax County, Virginia","2783","207"
"1400000US51059416000","Census Tract 4160, Fairfax County, Virginia","5986","642"
"1400000US51059421600","Census Tract 4216, Fairfax County, Virginia","6538","620"
"1400000US51059432300","Census Tract 4323, Fairfax County, Virginia","5385","383"
"1400000US51059440300","Census Tract 4403, Fairfax County, Virginia","2629","118"
"1400000US51059420700","Census Tract 4207, Fairfax County, Virginia","4662","348"
"1400000US51059451300","Census Tract 4513, Fairfax County, Virginia","2510","160"
"1400000US51059422000","Census Tract 4220, Fairfax County, Virginia","3661","257"
"1400000US51059432600","Census Tract 4326, Fairfax County, Virginia","4844","324"
"1400000US51059451400","Census Tract 4514, Fairfax County, Virginia","3249","368"
"1400000US51059460400","Census Tract 4604, Fairfax County, Virginia","5181","349"
"1400000US51059480100","Census Tract 4801, Fairfax County, Virginia","4060","274"
"1400000US51059492300","Census Tract 4923, Fairfax County, Virginia","3436","218"
"1400000US51059481600","Census Tract 4816, Fairfax County, Virginia","3282","202"
"1400000US51059430600","Census Tract 4306, Fairfax County, Virginia","7468","802"
"1400000US51059431500","Census Tract 4315, Fairfax County, Virginia","5481","305"
"1400000US51059431600","Census Tract 4316, Fairfax County, Virginia","8483","518"
"1400000US51059450800","Census Tract 4508, Fairfax County, Virginia","3447","215"
"1400000US51059450900","Census Tract 4509, Fairfax County, Virginia","1701","140"
"1400000US51059451000","Census Tract 4510, Fairfax County, Virginia","2658","263"
"1400000US51059451200","Census Tract 4512, Fairfax County, Virginia","1644","96"
"1400000US51059451800","Census Tract 4518, Fairfax County, Virginia","3683","248"
"1400000US51059460200","Census Tract 4602, Fairfax County, Virginia","4158","298"
"1400000US51059461000","Census Tract 4610, Fairfax County, Virginia","2586","163"
"1400000US51059461100","Census Tract 4611, Fairfax County, Virginia","7189","523"
"1400000US51059481500","Census Tract 4815, Fairfax County, Virginia","2253","92"
"1400000US51059482400","Census Tract 4824, Fairfax County, Virginia","2292","93"
"1400000US51059415900","Census Tract 4159, Fairfax County, Virginia","3310","166"
"1400000US51059416100","Census Tract 4161, Fairfax County, Virginia","3623","234"
"1400000US51059420100","Census Tract 4201, Fairfax County, Virginia","4254","388"
"1400000US51059420300","Census Tract 4203, Fairfax County, Virginia","6186","403"
"1400000US51059421400","Census Tract 4214, Fairfax County, Virginia","9151","877"
"1400000US51059421800","Census Tract 4218, Fairfax County, Virginia","6623","818"
"1400000US51059430500","Census Tract 4305, Fairfax County, Virginia","1792","101"
"1400000US51059431900","Census Tract 4319, Fairfax County, Virginia","3174","200"
"1400000US51059432500","Census Tract 4325, Fairfax County, Virginia","5696","236"
"1400000US51059491000","Census Tract 4910, Fairfax County, Virginia","1815","232"
"1400000US51059470500","Census Tract 4705, Fairfax County, Virginia","5351","405"
"1400000US51059460900","Census Tract 4609, Fairfax County, Virginia","2521","115"
"1400000US51059415401","Census Tract 4154.01, Fairfax County, Virginia","4968","720"
"1400000US51059415402","Census Tract 4154.02, Fairfax County, Virginia","2966","184"
"1400000US51059420201","Census Tract 4202.01, Fairfax County, Virginia","4165","264"
"1400000US51059420202","Census Tract 4202.02, Fairfax County, Virginia","1990","161"
"1400000US51059420203","Census Tract 4202.03, Fairfax County, Virginia","2844","127"
"1400000US51059421001","Census Tract 4210.01, Fairfax County, Virginia","2710","232"
"1400000US51059420501","Census Tract 4205.01, Fairfax County, Virginia","1795","172"
"1400000US51059420502","Census Tract 4205.02, Fairfax County, Virginia","1832","151"
"1400000US51059420503","Census Tract 4205.03, Fairfax County, Virginia","3442","371"
"1400000US51059421002","Census Tract 4210.02, Fairfax County, Virginia","4870","324"
"1400000US51059421101","Census Tract 4211.01, Fairfax County, Virginia","6296","562"
"1400000US51059421102","Census Tract 4211.02, Fairfax County, Virginia","3643","212"
"1400000US51059421103","Census Tract 4211.03, Fairfax County, Virginia","5496","271"
"1400000US51059421701","Census Tract 4217.01, Fairfax County, Virginia","5227","644"
"1400000US51059421702","Census Tract 4217.02, Fairfax County, Virginia","5018","484"
"1400000US51059422101","Census Tract 4221.01, Fairfax County, Virginia","7612","634"
"1400000US51059422102","Census Tract 4221.02, Fairfax County, Virginia","7332","666"
"1400000US51059422201","Census Tract 4222.01, Fairfax County, Virginia","3352","201"
"1400000US51059422202","Census Tract 4222.02, Fairfax County, Virginia","6608","845"
"1400000US51059422301","Census Tract 4223.01, Fairfax County, Virginia","3246","283"
"1400000US51059422302","Census Tract 4223.02, Fairfax County, Virginia","5906","638"
"1400000US51059422401","Census Tract 4224.01, Fairfax County, Virginia","2715","208"
