PPSORT,CMA,AGE,SEX,RACE
359002,933,m,a60_64,naao
718549,933,f,a70_74,eo_bio_Irish
556933,933,m,a45_49,eo_bio_Scottish
155043,933,f,a40_44,naao
125653,933,f,a15_19,naao
90993,933,f,a0_4,eo_bio_English
260215,933,m,a55_59,onao_Canadian
373339,933,m,a60_64,onao_Canadian
428185,933,f,a40_44,eo_fo
878907,933,m,a35_39,eo_bio_English
181442,933,f,a40_44,naao
623049,933,m,a25_29,eo_bio_Scottish
175126,933,f,a60_64,eo_bio_Irish
829364,933,f,a40_44,onao_Canadian
85071,933,m,a45_49,onao_Canadian
396811,933,f,a45_49,eo_bio_English
464446,933,f,a75_79,onao_Canadian
682514,933,m,a55_59,onao_Canadian
557859,933,f,a30_34,ao_wcameo
802543,933,m,a5_9,onao_Canadian
342545,933,m,a30_34,onao_Canadian
430921,933,m,a75_79,eo_weo_German
365301,933,f,a15_19,naao
704618,933,m,a45_49,eo_bio_English
318740,933,m,a0_4,eo_seo_Spanish
847778,933,f,a10_14,onao_Canadian
881135,933,f,a30_34,eo_bio_Irish
772261,933,m,a15_19,onao_Canadian
633401,933,m,a25_29,eo_bio_Scottish
697314,933,f,a15_19,eo_bio_Irish
560479,933,f,a25_29,onao_Canadian
163552,933,f,a20_24,naao
668097,933,m,a65_69,naao
6426,933,f,a55_59,lcsao
883785,933,m,a20_24,onao_Canadian
647003,933,f,a45_49,onao_Canadian
532137,933,m,a45_49,eo_bio_Scottish
334403,933,m,a75_79,eo_bio_Irish
807730,933,f,a20_24,onao_Canadian
587576,933,m,a20_24,eo_bio_Irish
462142,933,m,a65_69,eo_obio
107584,933,m,a15_19,eo_bio_Scottish
188363,933,m,a70_74,eo_seo_Spanish
497112,933,f,a50_54,onao_Canadian
450913,933,m,a50_54,onao_Canadian
316704,933,m,a55_59,eo_bio_English
804962,933,m,a50_54,eo_fo
345497,933,f,a5_9,eo_fo
446368,933,m,a35_39,eo_fo
300158,933,m,a25_29,eo_bio_Irish
179862,933,m,a75_79,onao_Canadian
861817,933,m,a50_54,eo_bio_Irish
200980,933,f,a5_9,eo_fo
351882,933,m,a10_14,eo_eeo_Polish
217532,933,f,a35_39,onao_Canadian
779142,933,m,a45_49,eo_bio_Irish
804686,933,f,a45_49,eo_bio_Irish
25756,933,m,a15_19,onao_Canadian
16355,933,f,a10_14,onao_Canadian
828141,933,m,a45_49,eo_bio_Scottish
734098,933,m,a10_14,eo_fo
686521,933,m,a75_79,eo_bio_English
17850,933,m,a55_59,eo_bio_Irish
77421,933,m,a20_24,eo_fo
451735,933,m,a40_44,eo_bio_Scottish
884090,933,f,a5_9,eo_obio
390505,933,m,a65_69,onao_Canadian
770820,933,f,a45_49,onao_Canadian
214684,933,m,a45_49,ao_wcameo
651560,933,m,a0_4,onao_Canadian
6552,933,m,a20_24,eo_bio_Irish
259467,933,f,a60_64,eo_bio_Irish
781175,933,m,a50_54,onao_Canadian
864385,933,f,a40_44,onao
348030,933,f,a50_54,onao_Canadian
375515,933,f,a80_84,onao_Canadian
268137,933,m,a10_14,eo_bio_Irish
