PPSORT,CMA,AGE,SEX,RACE
684533,933,a25_29,f,onao_Canadian
589868,933,a65_69,f,ao_esao_Chinese
823789,933,a15_19,f,ao_esao_Filipino
256767,933,a35_39,f,ao_oesao
712702,933,a5_9,f,ao_esao_Chinese
182666,933,a55_59,f,eo_oeo
711637,933,a15_19,f,eo_oseo
858445,933,a10_14,m,ao_oesao
694395,933,a60_64,f,eo_eeo_Polish
297846,933,a20_24,f,ao_esao_Filipino
403995,933,a75_79,m,ao_sao_ei
294011,933,a10_14,m,ao_esao_Filipino
121086,933,a20_24,f,eo_eeo_Ukrainian
276144,933,a10_14,f,onao_Canadian
315289,933,a75_79,m,ao_esao_Chinese
815957,933,a30_34,f,ao_esao_Chinese
783432,933,a70_74,m,onao_Canadian
345018,933,a80_84,f,ao_oesao
71996,933,a35_39,f,onao_Canadian
627394,933,a65_69,m,eo_bio_English
444069,933,a55_59,m,ao_oesao
408980,933,a45_49,m,ao_esao_Chinese
767272,933,a15_19,m,ao_sao_ei
919660,933,a60_64,m,eo_bio_English
818239,933,a10_14,m,onao
717770,933,a5_9,m,ao_osao
348314,933,a70_74,f,eo_eeo_Polish
524004,933,a65_69,f,onao_Canadian
200062,933,a65_69,f,ao_esao_Chinese
531620,933,a10_14,f,ao_esao_Chinese
660732,933,a70_74,m,eo_weo_Dutch
374293,933,a0_4,m,ao_esao_Filipino
18388,933,a35_39,m,onao_Canadian
192436,933,a60_64,f,ao_esao_Chinese
719419,933,a45_49,m,ao_esao_Chinese
494142,933,a40_44,m,eo_fo
699386,933,a65_69,f,naao
124555,933,a50_54,f,ao_sao_ei
191551,933,a75_79,m,onao_Canadian
452044,933,a15_19,f,eo_weo_German
920230,933,a50_54,m,ao_esao_Chinese
400982,933,a45_49,m,ao_esao_Chinese
97841,933,a40_44,f,ao_esao_Filipino
68843,933,a10_14,m,ao_esao_Chinese
831804,933,a50_54,m,ao_esao_Chinese
107585,933,a55_59,f,ao_wcameo
599557,933,a60_64,m,eo_neo
583494,933,a25_29,m,eo_weo_Dutch
483671,933,a15_19,f,eo_eeo_Russian
398742,933,a15_19,f,onao_Canadian
500767,933,a30_34,m,ao_sao_ei
299126,933,a35_39,f,eo_bio_English
259003,933,a0_4,f,ao_esao_Filipino
275318,933,a75_79,m,eo_bio_Scottish
123493,933,a45_49,m,ao_esao_Chinese
39697,933,a65_69,f,ao_esao_Chinese
236097,933,a10_14,f,ao_sao_ei
394387,933,a80_84,f,ao_esao_Chinese
449333,933,a80_84,f,ao_esao_Chinese
300102,933,a40_44,m,ao_esao_Filipino
575782,933,a55_59,f,onao_Canadian
132349,933,a60_64,m,ao_esao_Chinese
783630,933,a20_24,f,ao_sao_ei
310531,933,a45_49,m,ao_wcameo
424596,933,a55_59,f,eo_bio_English
181575,933,a65_69,m,ao_sao_ei
835835,933,a40_44,f,eo_fo
759441,933,a40_44,f,eo_bio_Scottish
873478,933,a20_24,m,ao_esao_Chinese
761469,933,a60_64,m,ao_esao_Chinese
325916,933,a50_54,f,ao_esao_Chinese
818836,933,a5_9,m,ao_sao_ei
571010,933,a5_9,f,ao_esao_Chinese
89556,933,a60_64,m,onao_Canadian
662660,933,a60_64,f,ao_esao_Chinese
344828,933,a15_19,f,ao_esao_Chinese
696031,933,a65_69,m,eo_bio_English
678083,933,a60_64,m,onao_Canadian
201705,933,a30_34,f,ao_wcameo
345621,933,a10_14,f,ao_osao
13222,933,a50_54,f,ao_wcameo
34063,933,a85_,f,eo_neo
490463,933,a40_44,f,ao_esao_Chinese
834858,933,a30_34,m,eo_bio_English
929257,933,a5_9,f,ao_esao_Chinese
821985,933,a10_14,f,onao_Canadian
716054,933,a65_69,m,ao_esao_Chinese
371552,933,a40_44,m,ao_sao_ei
212345,933,a50_54,m,eo_neo
604750,933,a40_44,m,ao_esao_Filipino
2734,933,a35_39,f,onao_Canadian
654392,933,a15_19,m,ao_esao_Chinese
652339,933,a40_44,f,ao_esao_Chinese
130316,933,a60_64,m,ao_oesao
706414,933,a40_44,f,ao_esao_Chinese
273374,933,a30_34,f,eo_weo_Dutch
304564,933,a50_54,f,eo_seo_Italian
579664,933,a45_49,m,ao_sao_ei
808147,933,a55_59,m,ao_esao_Chinese
777728,933,a0_4,f,ao_sao_ei
438549,933,a45_49,f,ao_esao_Chinese
408193,933,a15_19,m,onao_Canadian
684389,933,a35_39,m,ao_sao_ei
849932,933,a50_54,m,ao
110537,933,a15_19,m,onao_Canadian
360835,933,a35_39,f,ao_sao_ei
457517,933,a15_19,f,ao_esao_Chinese
288838,933,a15_19,m,ao_wcameo
724450,933,a65_69,m,eo_weo_Dutch
859130,933,a5_9,m,onao_Canadian
160096,933,a60_64,m,eo_bio_Scottish
824765,933,a55_59,f,eo_weo_German
767781,933,a15_19,m,onao_Canadian
175121,933,a40_44,m,eo_bio_Irish
695946,933,a15_19,f,ao_esao_Chinese
618324,933,a30_34,m,ao_esao_Chinese
790067,933,a70_74,m,eo_bio_Scottish
503240,933,a50_54,m,ao_esao_Chinese
170455,933,a60_64,m,ao_esao_Filipino
717646,933,a10_14,f,onao_Canadian
375202,933,a45_49,m,ao_sao_ei
415814,933,a15_19,m,eo_seo_Greek
790067,933,a70_74,m,eo_bio_Scottish
111224,933,a55_59,f,lcsao
587026,933,a25_29,m,ao_esao_Chinese
805026,933,a55_59,m,ao_wcameo
303308,933,a65_69,m,eo_bio_Scottish
450914,933,a50_54,f,ao_esao_Chinese
743848,933,a55_59,m,onao_Canadian
546061,933,a25_29,f,eo_bio_English
816597,933,a30_34,f,eo_bio_Irish
825770,933,a40_44,f,ao_sao_ei
337412,933,a0_4,m,ao_wcameo
200716,933,a65_69,m,ao_sao_ei
560249,933,a45_49,f,eo_bio_English
597470,933,a55_59,f,ao_esao_Chinese
179146,933,a15_19,m,ao_oesao
602205,933,a35_39,f,eo_oeo
869274,933,a65_69,m,ao_esao_Chinese
901725,933,a10_14,f,ao_esao_Chinese
88959,933,a55_59,m,ao_oesao
145957,933,a0_4,m,onao_Canadian
27135,933,a10_14,m,ao_oesao
709700,933,a60_64,m,ao_esao_Chinese
654122,933,a25_29,f,eo_weo_Dutch
739290,933,a55_59,m,ao_esao_Chinese
6501,933,a55_59,m,eo_weo_Dutch
714172,933,a20_24,f,eo_weo_Dutch
382088,933,a0_4,f,onao_Canadian
902948,933,a5_9,m,ao_sao_ei
549865,933,a55_59,f,ao_esao_Chinese
170169,933,a45_49,f,eo_eeo_Russian
769271,933,a50_54,f,ao_esao_Chinese
13366,933,a70_74,f,eo_bio_Irish
620281,933,a75_79,m,eo_weo_Dutch
87740,933,a70_74,m,eo_bio_Scottish
738258,933,a25_29,f,lcsao
154718,933,a65_69,m,onao_Canadian
652552,933,a50_54,m,onao_Canadian
480143,933,a15_19,m,onao_Canadian
587048,933,a30_34,f,eo_seo_Italian
67370,933,a10_14,f,ao_esao_Chinese
564420,933,a65_69,f,ao_esao_Chinese
468273,933,a30_34,m,ao_oesao
93814,933,a35_39,f,ao_esao_Filipino
371277,933,a55_59,m,ao_esao_Filipino
773506,933,a0_4,m,ao_sao_ei
242686,933,a40_44,m,ao_esao_Chinese
756287,933,a40_44,f,ao_wcameo
695196,933,a15_19,m,ao_esao_Chinese
7344,933,a10_14,f,ao_sao_ei
717761,933,a70_74,m,ao_osao
109020,933,a15_19,f,ao
860351,933,a15_19,m,onao_Canadian
280240,933,a10_14,f,ao_wcameo
752613,933,a5_9,f,ao_esao_Filipino
663472,933,a65_69,m,eo_bio_Irish
654113,933,a45_49,m,ao_wcameo
154816,933,a20_24,m,eo_bio_English
395799,933,a10_14,m,ao_esao_Chinese
14417,933,a45_49,f,eo_oseo
813400,933,a55_59,m,ao_sao_ei
42679,933,a20_24,m,onao_Canadian
762999,933,a45_49,m,ao_esao_Chinese
614551,933,a20_24,f,ao_esao_Chinese
699481,933,a75_79,m,ao_wcameo
820346,933,a60_64,f,ao_esao_Chinese
474343,933,a80_84,m,eo_seo_Italian
899729,933,a55_59,m,ao_esao_Chinese
738032,933,a85_,f,ao_esao_Chinese
543435,933,a60_64,f,ao_esao_Chinese
34041,933,a50_54,f,ao_esao_Chinese
392678,933,a35_39,m,eo_oweo
109145,933,a45_49,f,ao_esao_Chinese
925585,933,a25_29,f,ao_esao_Chinese
87268,933,a10_14,m,ao
196836,933,a45_49,f,ao_wcameo
622840,933,a55_59,f,ao_esao_Chinese
4354,933,a65_69,f,ao_oesao
3471,933,a35_39,m,ao_wcameo
644346,933,a20_24,m,ao_esao_Chinese
292582,933,a50_54,f,onao_Canadian
661444,933,a70_74,f,ao_esao_Chinese
925329,933,a80_84,m,ao_esao_Chinese
442148,933,a25_29,f,ao_esao_Chinese
849431,933,a20_24,m,ao_esao_Chinese
625556,933,a45_49,m,ao_esao_Chinese
647592,933,a25_29,f,ao_esao_Chinese
673257,933,a75_79,f,onao_Canadian
917933,933,a20_24,f,ao_esao_Chinese
609482,933,a40_44,m,onao_Canadian
386665,933,a50_54,m,eo_eeo_Polish
442230,933,a45_49,m,ao_esao_Chinese
585239,933,a25_29,m,ao_esao_Chinese
242871,933,a0_4,f,ao_esao_Filipino
633006,933,a10_14,f,ao_esao_Chinese
793191,933,a45_49,m,eo_bio_Irish
315884,933,a50_54,f,eo_seo_Greek
410021,933,a5_9,m,lcsao
525423,933,a40_44,m,eo_eeo_Ukrainian
767757,933,a40_44,f,eo_bio_English
765230,933,a65_69,f,eo_weo_German
230359,933,a65_69,f,ao_esao_Filipino
612542,933,a15_19,f,ao
874896,933,a30_34,f,naao
116189,933,a60_64,m,ao_wcameo
646393,933,a60_64,f,ao_sao_ei
500967,933,a55_59,f,ao_oesao
300761,933,a20_24,f,lcsao
467900,933,a45_49,m,ao_esao_Filipino
749204,933,a30_34,f,eo_bio_English
287425,933,a60_64,f,ao_sao_ei
258425,933,a35_39,f,ao_sao_ei
193581,933,a65_69,m,ao_esao_Chinese
36429,933,a60_64,m,ao_esao_Chinese
658325,933,a55_59,m,ao_sao_ei
742868,933,a10_14,m,onao_Canadian
889903,933,a30_34,m,ao_oesao
117993,933,a5_9,m,onao_Canadian
763179,933,a45_49,m,ao_sao_ei
173196,933,a35_39,f,ao_sao_ei
922922,933,a25_29,m,eo_eeo_Polish
714630,933,a65_69,f,eo_eeo_Ukrainian
512232,933,a5_9,f,ao_wcameo
489034,933,a45_49,m,ao_esao_Chinese
439630,933,a65_69,f,onao_Canadian
176081,933,a60_64,m,ao_esao_Filipino
184002,933,a15_19,f,onao_Canadian
279494,933,a70_74,f,eo_bio_English
896539,933,a20_24,f,ao_sao_ei
373152,933,a10_14,m,ao_esao_Chinese
645287,933,a20_24,f,ao_esao_Chinese
201383,933,a50_54,f,ao_oesao
570316,933,a75_79,m,eo_bio_English
906714,933,a30_34,m,ao_esao_Chinese
422941,933,a60_64,m,eo_seo_Italian
807915,933,a15_19,f,eo_oeeo
775528,933,a0_4,m,ao_sao_ei
764918,933,a65_69,m,onao_Canadian
506956,933,a55_59,m,ao_oesao
558329,933,a50_54,m,ao_esao_Chinese
842035,933,a35_39,f,ao_esao_Filipino
640671,933,a55_59,m,eo_oeeo
238301,933,a15_19,m,ao_esao_Chinese
122597,933,a15_19,f,onao_Canadian
78562,933,a10_14,m,onao_Canadian
641143,933,a65_69,f,eo_seo_Spanish
497341,933,a25_29,m,ao_esao_Chinese
341245,933,a30_34,m,ao
18939,933,a60_64,m,eo_bio_English
84430,933,a60_64,m,ao_esao_Chinese
912614,933,a35_39,f,ao_sao_ei
402136,933,a50_54,f,ao_esao_Chinese
170006,933,a20_24,f,ao_esao_Filipino
179974,933,a0_4,f,ao_sao_ei
557800,933,a10_14,m,ao_esao_Filipino
209766,933,a10_14,m,ao_oesao
423073,933,a20_24,m,ao_esao_Chinese
484425,933,a45_49,f,ao_esao_Chinese
529146,933,a55_59,m,eo_weo_German
161655,933,a0_4,m,eo_oseo
664921,933,a35_39,m,onao_Canadian
320452,933,a50_54,f,eo_seo_Italian
216625,933,a55_59,f,ao_esao_Chinese
885816,933,a50_54,m,ao_oesao
615728,933,a40_44,m,eo_bio_English
8827,933,a55_59,m,eo_bio_English
835798,933,a25_29,f,ao_esao_Chinese
618101,933,a0_4,f,ao_wcameo
614714,933,a50_54,m,eo_weo_German
585777,933,a45_49,m,ao_oesao
145596,933,a15_19,m,ao_sao_ei
392501,933,a45_49,m,ao_esao_Chinese
90912,933,a20_24,m,ao_osao
198428,933,a70_74,m,eo_bio_English
738265,933,a55_59,f,ao_esao_Chinese
213730,933,a60_64,f,eo_obio
676369,933,a45_49,m,ao_esao_Chinese
358954,933,a5_9,m,eo_oseo
826964,933,a30_34,m,ao_sao_ei
831354,933,a0_4,f,ao_sao_ei
75199,933,a25_29,f,ao_sao_ei
72963,933,a50_54,f,ao_wcameo
387195,933,a70_74,m,eo_obio
616719,933,a45_49,f,ao_oesao
569515,933,a35_39,m,ao_esao_Chinese
880093,933,a25_29,f,ao_esao_Filipino
837385,933,a10_14,m,ao_sao_ei
123416,933,a85_,f,eo_bio_English
127473,933,a35_39,f,ao_esao_Chinese
19278,933,a45_49,f,eo_neo
15659,933,a80_84,f,onao_Canadian
482755,933,a55_59,f,ao_esao_Filipino
143676,933,a80_84,m,ao_esao_Chinese
213222,933,a10_14,f,oo
904709,933,a50_54,m,onao_Canadian
786148,933,a0_4,f,ao_osao
113198,933,a30_34,m,eo_bio_Irish
600013,933,a60_64,m,ao_esao_Chinese
635712,933,a60_64,f,lcsao
589429,933,a80_84,f,eo_seo_Greek
285015,933,a15_19,m,eo_eeo_Ukrainian
214046,933,a65_69,m,ao_sao_ei
887151,933,a55_59,m,eo_obio
682063,933,a40_44,f,ao_esao_Filipino
706282,933,a55_59,f,eo_bio_English
110718,933,a55_59,m,ao_esao_Chinese
116771,933,a60_64,m,eo_bio_Scottish
717894,933,a80_84,m,ao_esao_Chinese
684450,933,a80_84,f,eo_oweo
723284,933,a30_34,f,ao_esao_Chinese
413986,933,a85_,m,eo_weo_Dutch
540981,933,a0_4,f,ao_oesao
310192,933,a5_9,m,ao_sao_ei
584631,933,a20_24,f,ao_esao_Chinese
502288,933,a45_49,f,ao_esao_Chinese
52594,933,a20_24,f,onao_Canadian
663631,933,a30_34,m,onao_Canadian
48995,933,a75_79,m,eo_fo
280088,933,a25_29,m,ao_oesao
638426,933,a40_44,f,ao_oesao
901046,933,a60_64,m,eo_weo_Dutch
848826,933,a55_59,m,ao_oesao
626496,933,a35_39,m,ao_wcameo
278024,933,a0_4,f,ao_sao_ei
404515,933,a15_19,m,ao_sao_ei
910591,933,a70_74,m,eo_bio_Scottish
848775,933,a40_44,f,ao_esao_Chinese
351885,933,a40_44,f,ao_esao_Filipino
653531,933,a70_74,f,ao_sao_ei
695092,933,a0_4,m,onao_Canadian
220584,933,a65_69,m,ao_wcameo
14346,933,a40_44,m,ao_osao
804027,933,a0_4,m,ao_sao_ei
875848,933,a40_44,f,ao_esao_Chinese
615768,933,a5_9,m,ao_sao_ei
654776,933,a20_24,m,ao_oesao
170875,933,a75_79,f,eo_seo_Italian
746621,933,a60_64,m,eo_bio_English
324530,933,a70_74,f,ao_esao_Chinese
758873,933,a60_64,m,ao_sao_ei
504998,933,a30_34,f,ao_wcameo
466488,933,a80_84,f,eo_bio_Scottish
635185,933,a40_44,m,eo_weo_Dutch
734089,933,a85_,f,eo_bio_Irish
74972,933,a75_79,m,ao_esao_Chinese
278778,933,a55_59,f,ao_oesao
532676,933,a75_79,f,eo_bio_Scottish
849858,933,a75_79,f,eo_eeo_Ukrainian
468375,933,a20_24,f,ao_esao_Chinese
821943,933,a25_29,m,ao_esao_Chinese
899591,933,a80_84,f,ao_esao_Chinese
