PPSORT,CMA,AGE,SEX,RACE
622265,933,a20_24,f,ao_esao_Chinese
490767,933,a40_44,f,ao_esao_Filipino
286754,933,a55_59,f,ao_esao_Chinese
238141,933,a10_14,f,ao
407965,933,a65_69,m,ao_sao_ei
286666,933,a45_49,f,ao_esao_Filipino
345098,933,a15_19,f,ao_wcameo
1213,933,a45_49,m,ao_esao_Chinese
840286,933,a50_54,f,ao_sao_ei
778250,933,a40_44,m,eo_eeo_Ukrainian
350723,933,a60_64,f,eo_bio_English
729625,933,a25_29,f,ao_oesao
668121,933,a35_39,m,lcsao
165856,933,a45_49,m,eo_bio_English
62701,933,a55_59,m,eo_oweo
18864,933,a30_34,m,ao_oesao
630025,933,a50_54,f,ao_wcameo
829389,933,a20_24,f,ao_sao_ei
692369,933,a30_34,m,ao_sao_ei
412826,933,a40_44,m,ao_sao_ei
183394,933,a20_24,m,ao_esao_Chinese
802008,933,a50_54,m,onao_Canadian
749362,933,a35_39,m,ao_osao
743519,933,a15_19,m,eo_bio_English
536992,933,a50_54,m,ao_esao_Filipino
613378,933,a35_39,f,eo_oeeo
750990,933,a15_19,f,ao_esao_Chinese
907062,933,a35_39,f,ao_sao_ei
778315,933,a45_49,f,ao_esao_Chinese
381310,933,a75_79,f,ao_sao_ei
639221,933,a65_69,m,ao_oesao
815920,933,a55_59,m,ao_esao_Chinese
285673,933,a0_4,f,eo_bio_English
582426,933,a10_14,f,ao_esao_Filipino
688631,933,a45_49,f,ao_sao_ei
879458,933,a60_64,f,ao_esao_Chinese
876715,933,a35_39,m,ao_sao_ei
38035,933,a45_49,m,ao_esao_Chinese
334852,933,a85_,f,eo_bio_English
60035,933,a55_59,m,ao_sao_ei
789341,933,a20_24,f,ao_sao_ei
734640,933,a30_34,f,eo_weo_German
156712,933,a50_54,m,ao_esao_Filipino
147429,933,a0_4,m,ao_oesao
156937,933,a40_44,f,ao_esao_Filipino
707680,933,a55_59,f,ao_esao_Chinese
379888,933,a55_59,f,ao_esao_Chinese
16629,933,a25_29,f,ao_sao_ei
80729,933,a25_29,f,ao_sao_ei
51027,933,a60_64,f,eo_weo_Dutch
396860,933,a65_69,m,ao_esao_Chinese
202917,933,a65_69,m,ao_sao_ei
79280,933,a40_44,f,ao_oesao
778248,933,a5_9,f,ao_esao_Chinese
245394,933,a65_69,f,eo_seo_Italian
576032,933,a75_79,f,eo_oeeo
402235,933,a55_59,f,ao_sao_ei
825533,933,a35_39,m,ao_esao_Chinese
204550,933,a45_49,f,ao_sao_ei
812432,933,a40_44,m,eo_oseo
168673,933,a70_74,f,ao_esao_Chinese
750368,933,a55_59,m,ao_esao_Chinese
95959,933,a50_54,m,ao_esao_Chinese
145701,933,a65_69,m,ao_sao_ei
339834,933,a60_64,m,onao_Canadian
731896,933,a15_19,m,lcsao
582344,933,a65_69,m,eo_bio_English
821763,933,a55_59,f,eo_eeo_Hungarian
453339,933,a45_49,f,ao_esao_Chinese
447025,933,a5_9,m,ao_esao_Chinese
