PPSORT,CMA,AGE,SEX,RACE
395192,933,a10_14,m,ao_esao_Filipino
306844,933,a55_59,f,eo_bio_Scottish
378691,933,a85_,m,eo_fo
254423,933,a55_59,m,eo_neo
158799,933,a85_,f,eo_bio_English
179093,933,a25_29,f,onao_Canadian
531660,933,a30_34,f,onao_Canadian
869542,933,a45_49,m,ao_oesao
652091,933,a45_49,f,ao_esao_Chinese
627658,933,a80_84,f,ao_esao_Chinese
831732,933,a30_34,f,ao_sao_ei
444395,933,a60_64,f,ao_sao_ei
558705,933,a5_9,f,ao_oesao
315187,933,a15_19,f,eo_bio_Irish
534890,933,a10_14,f,ao
582640,933,a75_79,m,eo_weo_Dutch
218309,933,a20_24,m,onao_Canadian
174056,933,a25_29,m,ao_esao_Filipino
269217,933,a35_39,m,onao_Canadian
904906,933,a30_34,f,ao_esao_Chinese
505817,933,a15_19,f,naao
328597,933,a30_34,f,onao_Canadian
88412,933,a35_39,f,onao_Canadian
788844,933,a55_59,m,ao_esao_Chinese
39333,933,a35_39,f,ao_esao_Chinese
679088,933,a5_9,m,onao_Canadian
59902,933,a40_44,f,eo_fo
796099,933,a60_64,m,onao_Canadian
62424,933,a35_39,f,ao_sao_ei
551734,933,a15_19,m,ao_esao_Chinese
646335,933,a65_69,f,onao_Canadian
203537,933,a65_69,f,eo_fo
833569,933,a50_54,f,onao_Canadian
104815,933,a25_29,f,ao_esao_Chinese
682913,933,a65_69,f,ao_esao_Filipino
346355,933,a75_79,f,eo_obio
927833,933,a55_59,m,ao_esao_Chinese
437706,933,a75_79,m,eo_oeeo
643708,933,a60_64,f,eo_fo
874990,933,a15_19,f,onao_Canadian
848216,933,a60_64,f,ao_sao_ei
790064,933,a30_34,m,eo_fo
381248,933,a65_69,f,onao_Canadian
511266,933,a65_69,m,onao_Canadian
437098,933,a80_84,f,eo_weo_Dutch
654067,933,a65_69,m,onao_Canadian
264741,933,a65_69,m,onao_Canadian
447178,933,a70_74,f,ao_esao_Chinese
861877,933,a80_84,f,eo_seo_Italian
287582,933,a50_54,m,ao_sao_ei
99155,933,a65_69,f,onao_Canadian
527306,933,a55_59,f,onao_Canadian
713299,933,a75_79,f,eo_eeo_Polish
900365,933,a65_69,f,ao_sao_ei
235200,933,a55_59,m,eo_weo_German
454967,933,a45_49,m,onao_Canadian
419986,933,a40_44,m,eo_weo_German
185105,933,a35_39,f,onao_Canadian
427229,933,a55_59,m,eo_fo
210395,933,a10_14,f,onao_Canadian
467617,933,a65_69,m,eo_fo
46036,933,a70_74,f,ao_esao_Filipino
642149,933,a5_9,f,onao_Canadian
212447,933,a50_54,m,eo_weo_German
514100,933,a60_64,f,ao_esao_Filipino
374410,933,a25_29,m,onao_Canadian
203949,933,a10_14,m,onao
564575,933,a70_74,f,ao_sao_ei
788300,933,a30_34,m,ao_esao_Chinese
275413,933,a50_54,f,onao_Canadian
265558,933,a50_54,m,eo_bio_English
735693,933,a40_44,m,ao_sao_ei
854731,933,a75_79,m,onao_Canadian
44411,933,a30_34,m,ao_sao_ei
80109,933,a65_69,m,eo_eeo_Ukrainian
443782,933,a40_44,m,ao_oesao
863582,933,a75_79,f,ao_esao_Chinese
556133,933,a65_69,m,eo_oweo
917179,933,a65_69,m,onao_Canadian
908946,933,a50_54,f,onao_Canadian
382196,933,a35_39,f,ao_esao_Chinese
214393,933,a30_34,f,ao_oesao
364218,933,a30_34,m,ao_esao_Filipino
319172,933,a10_14,f,onao_Canadian
640324,933,a50_54,f,ao_esao_Filipino
503646,933,a20_24,m,ao_oesao
665911,933,a70_74,f,eo_weo_German
679773,933,a45_49,f,ao_oesao
420285,933,a55_59,m,ao_esao_Chinese
626442,933,a5_9,f,onao_Canadian
639264,933,a25_29,f,onao_Canadian
213546,933,a15_19,f,ao_sao_ei
486073,933,a75_79,m,ao_esao_Filipino
665363,933,a45_49,m,onao_Canadian
467335,933,a70_74,m,eo_seo_Italian
527692,933,a55_59,m,eo_seo_Italian
40390,933,a50_54,m,onao_Canadian
546026,933,a30_34,m,ao_esao_Filipino
603673,933,a10_14,m,onao_Canadian
850079,933,a25_29,m,onao_Canadian
498428,933,a20_24,m,ao_esao_Chinese
861622,933,a55_59,m,lcsao
836886,933,a10_14,m,ao_sao_ei
760433,933,a65_69,m,ao_esao_Chinese
235251,933,a45_49,m,onao_Canadian
503198,933,a10_14,m,ao_oesao
826635,933,a30_34,m,ao_esao_Chinese
657619,933,a25_29,f,ao_sao_ei
901549,933,a75_79,m,ao_sao_ei
600757,933,a40_44,f,onao_Canadian
923386,933,a10_14,m,onao_Canadian
407765,933,a25_29,m,onao_Canadian
279754,933,a60_64,f,ao_esao_Chinese
801400,933,a40_44,f,onao_Canadian
249194,933,a60_64,f,eo_seo_Italian
884143,933,a75_79,m,onao_Canadian
184927,933,a45_49,f,onao_Canadian
764918,933,a65_69,m,onao_Canadian
557485,933,a60_64,f,ao_sao_ei
303477,933,a40_44,f,eo_seo_Italian
445244,933,a30_34,m,onao_Canadian
382428,933,a80_84,m,ao_esao_Chinese
107815,933,a5_9,m,onao_Canadian
125494,933,a65_69,f,ao_osao
165742,933,a50_54,m,onao_Canadian
703281,933,a10_14,f,onao_Canadian
657567,933,a30_34,f,ao_esao_Filipino
864136,933,a25_29,f,ao_sao_ei
250648,933,a55_59,f,onao_Canadian
114723,933,a40_44,m,onao_Canadian
551001,933,a55_59,m,eo_bio_English
133038,933,a85_,f,ao_esao_Chinese
482092,933,a55_59,m,ao_oesao
