"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
6290,252,318,385,404,409,247,258,296,407,472,568,543,487,406,261,233,151,193,2805,3485,162,4163,68,839,618,161,40,0,0,174,0,0,0,0,0,0,0,0,0,0,0,37,0,0,28,0,0,0,0,0,0,0,0,0
5460,322,316,265,265,296,291,393,416,414,470,424,369,334,272,162,149,138,164,2518,2942,231,1542,89,1249,1047,350,90,209,34,94,3,19,28,8,10,45,6,0,29,39,14,0,5,0,27,0,60,149,11,23,22,18,9,0
6150,291,271,293,282,371,390,430,478,403,482,562,477,465,330,161,170,157,137,2883,3267,193,2134,121,1387,1225,286,109,179,39,44,0,22,0,0,14,12,8,0,18,49,10,0,0,0,18,21,21,62,12,0,41,51,74,0
4075,162,176,183,239,307,319,276,228,246,272,353,350,296,271,151,78,97,71,2025,2050,194,1665,71,819,521,178,79,129,7,56,3,57,0,8,8,8,11,8,0,7,27,0,10,0,1,8,114,28,0,9,19,22,0,8
4505,222,204,171,242,226,254,246,315,316,328,311,337,326,302,179,188,119,219,2050,2455,215,1919,78,773,570,146,51,109,14,66,7,28,9,14,7,15,6,0,18,9,4,0,17,13,0,27,67,90,36,24,152,13,8,0
3715,199,213,204,278,296,295,259,312,303,244,233,200,209,171,113,73,68,45,1776,1939,149,1263,132,831,667,267,71,123,16,39,0,23,0,0,0,21,0,0,7,7,0,0,8,0,0,0,30,0,20,0,0,41,0,0
4615,211,198,256,329,379,382,340,269,251,365,317,316,239,200,144,141,120,158,2255,2360,172,1591,85,873,729,240,127,228,28,73,0,28,13,26,10,7,0,0,20,40,14,14,0,0,21,0,101,12,19,43,86,0,11,4
4925,175,139,201,274,413,453,410,290,302,341,404,314,266,273,165,178,112,215,2368,2557,284,1523,137,937,733,190,54,232,0,146,16,73,17,34,18,34,20,0,37,6,22,54,35,27,0,47,35,106,0,0,55,15,24,14
5650,219,273,352,413,428,441,399,372,402,390,394,357,291,282,168,162,135,172,2692,2958,287,1206,237,1008,912,369,190,317,82,177,29,121,17,61,48,34,30,12,35,13,54,29,30,0,56,47,46,55,8,14,44,0,60,22
7305,256,197,186,252,570,799,670,668,623,682,663,558,456,362,148,106,61,48,3578,3727,240,2221,90,1442,1302,367,93,470,69,209,0,94,15,26,14,28,35,0,48,0,24,18,0,0,0,0,62,259,0,33,56,0,43,47
4700,174,219,192,290,401,352,246,242,277,363,461,383,325,259,184,148,90,94,2223,2477,162,1134,84,908,986,364,192,384,95,97,0,95,0,0,0,0,0,0,0,118,0,0,3,0,0,0,0,0,0,76,0,0,0,2
5235,219,209,188,359,407,395,332,292,291,490,458,367,338,311,203,120,103,153,2581,2654,76,1048,401,1080,786,420,78,241,52,185,38,145,14,43,19,43,0,0,53,35,30,0,13,44,20,28,130,80,0,48,26,8,16,35
5540,186,292,317,395,473,388,276,239,351,422,504,394,315,393,232,189,96,78,2639,2901,200,1583,200,919,888,284,109,271,19,141,42,18,11,41,38,27,9,0,18,0,23,15,32,0,19,20,181,160,13,32,131,43,40,13
