"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
6296,193,322,386,405,442,233,237,353,411,453,518,522,507,399,312,245,161,197,2882,3414,148,3944,68,907,658,225,57,0,0,212,0,0,0,0,0,0,0,0,0,0,0,36,0,0,30,0,0,0,0,0,0,0,0,11
5465,305,272,241,253,302,309,411,386,396,409,407,393,349,325,178,172,152,205,2550,2915,208,1476,96,1146,1021,333,92,188,54,145,10,25,45,11,26,49,12,0,22,39,16,0,13,0,25,0,83,181,21,37,30,36,18,7
6155,266,262,285,273,336,406,420,435,389,467,508,501,507,363,221,190,183,143,2930,3225,187,1941,119,1298,1193,327,139,198,46,59,0,39,0,0,15,24,7,0,22,57,21,0,6,0,26,36,37,91,21,0,53,69,124,0
4075,166,151,179,219,276,326,282,214,248,260,318,337,354,287,157,120,88,93,2030,2045,177,1534,59,801,571,187,77,138,12,102,7,44,0,9,11,12,12,8,0,12,28,0,12,0,7,14,128,37,0,7,32,29,0,8
4509,191,196,186,218,234,251,258,297,299,302,324,349,324,331,192,200,117,240,2100,2409,188,1651,80,767,600,203,61,103,20,94,9,34,15,18,20,11,5,0,41,9,7,0,31,11,0,21,72,133,28,32,225,14,5,1
3719,183,194,206,240,267,286,250,305,267,273,272,227,211,203,129,82,71,53,1846,1873,140,1235,125,799,648,281,75,140,14,61,0,33,0,0,0,34,0,0,9,5,0,2,13,0,0,0,37,0,11,0,0,54,0,3
4620,185,196,248,288,345,343,327,298,259,361,336,352,276,197,163,156,135,155,2244,2376,167,1495,79,857,683,224,140,214,43,109,0,36,23,47,19,9,8,0,26,41,11,26,0,0,24,0,121,10,23,64,102,0,17,2
4925,155,148,193,275,404,438,383,258,274,333,374,317,325,302,179,193,154,220,2344,2581,262,1447,131,860,739,223,74,215,0,155,24,75,18,52,38,35,25,0,56,15,16,52,51,32,0,52,46,113,0,0,47,15,35,22
5650,222,271,288,376,410,427,379,358,428,418,404,372,286,307,228,173,152,151,2728,2922,242,1167,261,920,910,334,175,340,92,186,25,139,15,91,57,38,44,14,40,28,63,37,26,0,51,54,53,70,11,23,50,0,73,21
7313,214,195,202,251,581,800,668,627,607,652,652,571,464,355,199,132,77,66,3707,3606,224,2111,96,1278,1280,332,74,511,107,254,0,113,18,50,29,29,52,0,70,0,21,32,4,0,0,0,80,302,0,55,75,0,60,56
4700,164,184,189,280,377,352,282,243,266,387,431,379,329,282,209,135,103,108,2165,2535,167,1202,72,915,914,353,172,371,105,108,0,106,0,0,0,0,0,0,0,113,0,0,7,0,0,0,0,0,0,95,0,0,0,0
5235,230,185,224,382,397,388,331,301,273,449,428,373,364,334,182,138,109,147,2597,2638,69,1051,383,1030,753,388,117,221,47,214,47,102,18,52,36,69,0,0,54,39,38,0,20,39,24,44,123,93,0,49,23,23,25,44
5540,218,241,303,351,404,348,324,287,367,432,502,386,348,345,258,204,122,100,2704,2836,178,1451,176,926,832,283,101,224,26,192,35,14,22,68,33,36,21,0,14,0,27,19,39,0,16,31,199,196,12,28,167,68,79,27
3455,117,165,245,272,266,222,145,134,181,311,323,275,208,194,163,107,63,64,1643,1812,147,812,118,509,415,197,66,128,19,120,12,67,13,0,16,12,29,7,44,18,16,0,25,35,0,75,162,51,86,120,99,0,21,16
1657,84,104,108,115,105,101,94,87,97,104,162,109,98,111,68,42,45,23,803,854,45,336,53,306,232,84,51,78,25,99,9,28,0,8,7,8,23,4,39,0,7,9,2,0,0,8,24,30,40,16,71,0,10,5
4205,129,237,284,272,296,224,144,133,219,365,379,367,279,299,220,152,117,89,2035,2170,124,1129,120,835,729,281,79,161,59,137,10,34,0,53,19,22,51,11,56,0,16,43,12,0,0,29,100,68,0,14,0,0,12,1
7113,211,255,337,548,636,497,325,334,402,631,581,492,477,416,338,248,214,171,3260,3853,216,2118,99,1441,1214,365,76,276,68,203,26,95,19,43,8,28,31,11,106,0,0,0,0,14,32,67,197,108,65,51,55,76,0,5
5355,211,183,259,289,386,450,329,299,269,372,420,334,336,379,263,209,186,181,2452,2903,180,1381,121,1069,824,313,110,192,22,94,24,27,0,37,0,32,21,0,30,19,21,0,12,52,0,0,103,164,67,111,175,117,37,0
4751,173,182,227,292,385,343,262,225,265,370,402,334,297,285,168,176,145,220,2224,2527,124,1262,108,935,662,235,103,165,17,98,28,40,0,17,9,29,28,13,29,21,37,22,11,0,12,58,96,81,152,101,134,104,15,5
6615,260,294,300,506,533,530,440,453,412,434,446,451,369,343,257,213,185,189,3236,3379,241,1771,123,1348,1127,308,136,261,40,210,28,97,0,33,15,22,6,24,33,25,29,0,20,0,9,53,23,152,113,90,239,39,0,0
8095,362,392,384,528,683,701,507,550,522,619,623,469,489,423,262,208,201,172,3892,4203,322,3108,85,1372,1037,398,141,256,74,180,23,96,24,18,0,17,12,0,61,31,25,41,0,20,0,23,102,177,188,90,96,0,46,32
6492,273,299,329,465,464,480,417,403,426,492,501,408,368,359,234,222,186,166,3167,3325,371,1914,90,1257,815,305,116,297,93,147,0,55,10,33,21,11,7,0,12,29,8,0,71,0,48,46,215,122,159,51,157,32,0,0
4990,215,209,254,352,401,387,298,324,326,344,389,332,257,283,204,187,127,101,2454,2536,280,1692,82,1124,893,204,74,213,0,86,0,85,0,5,7,15,12,0,11,20,25,0,8,9,9,11,43,18,0,0,40,0,19,5
3635,159,157,177,201,265,280,278,204,217,255,289,256,227,187,123,116,130,114,1802,1833,158,1368,43,768,700,154,77,121,5,61,12,17,5,18,5,11,13,0,5,11,5,6,6,6,7,0,14,5,13,6,15,0,0,0
3090,120,127,161,167,186,227,220,181,178,199,234,239,211,213,106,119,110,92,1449,1641,45,1430,11,636,623,111,20,29,11,67,12,0,0,0,0,0,9,0,0,6,0,7,22,0,9,0,0,24,0,0,0,3,6,9
5987,201,213,236,374,429,426,340,373,368,444,486,437,396,430,220,263,184,167,2806,3181,168,2887,50,1141,1048,251,77,160,0,81,0,17,0,31,17,0,10,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,0,13
5485,257,206,255,378,464,379,358,286,344,330,404,446,343,374,228,166,146,121,2690,2795,129,2303,60,902,1376,240,45,85,0,69,0,0,0,0,0,0,49,0,19,14,17,23,21,12,0,20,0,0,63,0,0,0,37,1
6252,192,223,264,447,526,392,313,336,375,414,456,455,457,332,242,249,238,341,2971,3281,236,2183,95,1400,1114,349,104,176,37,160,25,125,0,0,0,0,0,0,0,25,34,23,0,0,0,0,0,48,0,0,47,61,10,0
5265,203,243,275,332,375,370,345,330,354,397,422,433,346,263,194,152,120,111,2571,2694,176,1519,81,1191,1091,218,115,212,28,95,13,57,7,28,26,36,10,16,15,25,9,28,0,0,0,0,23,44,76,12,75,0,32,7
7375,286,301,285,453,637,712,571,477,512,549,605,502,439,358,241,182,152,113,3591,3784,266,3022,72,1516,1073,261,146,314,52,130,32,42,0,0,0,0,31,31,53,30,0,0,0,33,19,30,18,30,61,18,51,39,0,5
