"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
6290,261,275,325,376,438,400,457,412,417,496,496,443,398,371,253,201,145,126,3176,3114,46,491,6,327,82,95,56,37,61,145,10,75,16,56,41,50,85,22,117,37,21,68,23,5,6,79,63,270,909,134,1853,443,534,27
5460,190,252,258,305,362,373,417,376,392,415,460,393,362,290,215,164,123,113,2778,2682,39,385,9,258,74,106,46,48,72,133,8,47,24,63,42,44,73,20,107,30,17,63,18,5,9,72,62,225,748,129,1623,396,442,23
6150,228,289,290,361,386,384,430,433,434,453,503,437,421,371,250,218,152,110,3188,2962,60,479,12,324,89,115,64,54,66,148,12,53,10,62,35,64,75,18,127,32,22,69,32,3,6,100,62,233,876,133,1779,431,486,19
4075,171,167,208,240,269,265,290,291,321,340,289,288,274,230,137,109,109,77,2111,1964,31,306,6,205,44,82,26,44,50,95,7,30,12,37,22,42,46,22,86,25,12,42,12,2,3,70,45,164,610,101,1217,276,296,7
4505,154,204,219,264,297,305,331,311,326,364,368,311,254,227,200,158,107,105,2286,2219,33,347,7,231,65,92,37,30,63,97,8,37,13,48,35,56,42,7,80,23,14,48,13,4,6,71,45,195,624,128,1329,277,382,18
3715,125,186,172,217,229,258,266,264,282,298,311,249,208,231,158,106,83,72,1925,1790,25,303,2,214,40,59,38,28,35,85,8,30,15,42,30,33,37,10,73,22,15,38,7,2,4,49,36,150,525,113,1076,266,284,21
4615,208,206,221,267,310,341,317,309,327,357,347,341,305,232,184,132,109,102,2423,2192,36,354,6,253,47,91,39,40,58,96,9,43,15,48,40,46,38,17,70,18,19,59,17,1,3,63,53,185,658,127,1378,297,370,21
4925,192,227,242,293,338,336,347,330,359,399,427,341,336,247,174,146,99,92,2491,2434,38,341,3,259,53,95,41,48,55,118,11,42,18,48,35,63,61,8,82,28,16,51,21,0,3,71,47,180,706,134,1450,370,410,19
5650,199,226,317,365,351,374,381,412,403,410,495,390,348,305,245,187,135,107,2844,2806,42,401,4,322,63,99,44,40,69,125,13,46,24,52,36,48,68,22,113,38,19,68,24,1,10,75,55,259,821,143,1648,386,450,22
7305,258,289,351,452,474,493,530,489,547,539,613,526,487,425,278,235,202,117,3717,3588,53,499,6,396,81,130,62,51,92,163,18,65,26,83,68,78,81,27,144,48,22,82,27,2,6,100,72,321,996,180,2181,504,606,35
4700,182,210,216,272,303,317,348,305,352,377,420,298,303,225,210,162,110,90,2373,2327,52,402,7,239,55,92,36,33,49,112,10,43,21,45,44,48,54,19,87,27,9,39,12,4,7,59,57,172,688,115,1321,314,406,22
5235,228,235,233,301,361,330,371,395,350,423,458,387,292,284,189,184,132,82,2644,2591,49,401,5,289,74,100,50,47,62,116,12,48,20,53,28,42,60,25,109,22,15,58,25,0,7,83,62,201,718,109,1550,352,425,18
5540,223,249,247,320,359,406,391,365,412,430,435,404,351,321,233,165,129,100,2840,2700,37,411,6,316,65,111,41,32,62,140,13,54,27,63,25,63,65,23,95,27,22,58,24,3,9,84,65,222,831,123,1553,375,472,23
3455,154,159,149,206,254,231,261,226,266,243,269,237,244,179,131,116,79,51,1756,1699,27,235,2,186,38,73,27,34,35,82,10,33,11,25,19,28,44,21,61,23,12,32,7,0,2,51,28,130,477,96,1070,251,269,16
1655,72,72,80,99,108,120,110,116,114,127,130,114,118,76,66,65,38,30,819,836,17,121,1,85,12,23,14,13,19,38,2,16,5,12,12,16,18,3,19,11,9,9,4,0,3,21,20,62,262,38,521,128,113,8
4205,181,198,193,220,289,294,321,277,291,308,327,315,242,258,169,121,117,84,2132,2073,37,306,0,216,50,74,30,37,51,94,10,34,10,38,25,32,52,13,75,27,16,40,17,0,3,65,36,176,624,109,1229,298,362,19
7105,266,314,366,400,455,467,541,493,506,562,590,483,428,396,298,230,181,129,3625,3480,54,519,6,363,77,147,57,52,80,168,20,58,22,68,37,68,83,28,143,45,21,71,25,2,11,106,91,255,1002,181,2132,505,566,42
5355,184,256,302,285,375,371,360,372,405,443,450,361,322,298,177,166,121,107,2715,2640,44,391,5,290,76,91,51,44,58,135,9,53,22,47,44,48,61,22,88,25,17,51,18,1,1,73,61,200,748,135,1575,367,476,28
4745,184,210,229,263,334,319,353,354,338,336,372,379,280,253,188,148,106,99,2391,2354,34,345,6,255,54,93,39,39,63,111,21,38,14,47,22,54,55,20,81,26,18,45,17,1,5,71,52,207,658,105,1380,349,400,20
6615,255,306,304,407,443,458,498,458,497,531,544,431,391,332,244,224,155,137,3471,3144,56,502,7,364,92,122,62,42,67,162,13,58,22,66,42,53,66,29,126,32,28,77,24,4,5,86,66,269,955,164,1903,485,542,24
8095,329,343,394,485,526,583,582,567,585,622,661,513,512,477,313,255,194,154,4097,3998,85,582,7,428,106,163,68,76,99,188,19,74,25,98,55,83,105,24,171,43,16,76,27,7,8,112,103,330,1137,215,2317,574,642,32
6485,283,266,329,380,426,448,466,439,448,537,503,479,406,367,254,186,143,125,3331,3154,45,466,8,369,93,122,50,55,63,135,13,49,24,66,43,55,67,29,116,40,22,80,14,5,8,74,74,267,971,150,1870,465,543,34
4985,193,217,262,278,324,340,338,331,343,426,432,337,322,283,201,150,115,93,2595,2390,39,353,3,275,54,93,43,31,44,120,12,47,21,45,37,47,59,20,102,35,25,49,21,3,5,74,57,228,755,118,1435,335,383,17
3635,138,163,163,200,260,262,258,229,262,284,306,261,219,222,129,113,84,82,1826,1809,26,281,3,208,53,62,30,27,36,63,14,21,9,35,24,34,45,9,73,20,17,38,13,3,7,44,34,132,493,92,1103,269,307,10
3090,142,152,133,184,209,208,237,207,215,231,223,232,186,181,118,105,61,66,1627,1463,23,213,1,172,36,60,27,21,38,67,5,29,10,30,18,25,23,16,66,21,15,34,9,0,7,53,26,116,450,85,902,226,254,12
5980,231,285,271,363,403,417,446,413,439,483,488,395,357,297,216,206,144,126,3147,2833,48,458,6,328,85,115,52,36,58,147,13,51,21,59,39,41,59,25,109,27,26,68,22,4,5,82,56,246,863,146,1718,448,495,24
5485,232,237,273,317,346,352,387,380,377,439,470,381,380,299,209,150,151,105,2792,2693,45,408,3,269,78,108,44,43,68,137,16,40,24,43,31,54,51,20,112,21,29,45,17,2,9,76,58,193,815,142,1608,382,469,25
6245,263,261,287,323,415,392,442,430,456,487,525,473,412,334,251,203,161,130,3193,3052,45,418,3,354,77,114,57,50,73,131,27,59,20,57,49,60,74,22,123,37,19,71,27,2,10,107,70,272,850,148,1872,411,508,28
5260,222,224,240,293,361,338,385,379,389,407,414,386,321,320,211,149,115,106,2752,2508,50,372,2,293,68,96,52,36,53,111,9,38,12,43,25,48,64,22,108,29,18,59,20,3,6,81,45,225,759,141,1562,355,433,22
7375,281,321,334,411,498,491,540,483,526,620,616,508,512,415,280,205,193,141,3729,3646,64,574,0,390,87,139,64,65,97,136,12,67,33,74,44,67,84,27,150,39,21,75,21,1,6,95,68,299,1083,165,2219,500,584,25
4765,206,228,212,246,289,341,350,355,322,358,369,368,304,268,185,152,109,103,2438,2327,41,382,4,226,78,98,48,35,55,128,10,38,19,37,30,52,60,18,84,27,10,50,27,4,12,65,53,201,664,127,1361,328,372,21
4890,191,216,259,270,316,334,331,326,335,418,426,333,315,278,194,145,113,90,2544,2346,37,347,3,268,52,92,43,31,44,116,12,45,20,42,37,46,57,20,100,35,25,49,20,3,5,74,56,223,742,113,1408,333,375,17
7535,264,334,371,427,500,509,572,497,527,586,647,539,470,422,300,245,183,142,3865,3670,66,548,3,410,91,134,54,54,85,169,12,66,28,87,44,70,78,32,130,32,26,74,29,5,12,112,82,281,1077,188,2287,519,622,28
6630,255,309,338,375,450,484,454,435,462,533,519,460,426,366,264,210,193,97,3457,3173,62,498,6,336,76,112,51,42,72,149,16,72,21,55,40,59,86,29,121,28,17,71,31,3,11,84,79,258,981,161,1959,445,569,30
6935,268,298,333,370,434,487,455,514,544,532,554,518,454,355,263,225,177,154,3562,3373,51,535,6,357,82,128,77,53,106,158,12,55,28,56,35,70,68,28,136,43,33,81,16,5,7,97,73,274,995,170,2043,449,576,32
6960,280,314,341,400,469,454,478,492,493,566,539,500,458,408,256,227,155,130,3585,3375,68,506,6,354,82,122,64,52,75,154,16,52,37,66,54,68,54,21,129,42,27,75,25,2,7,108,82,263,1015,179,2029,507,585,34
4880,174,216,236,274,303,327,351,344,380,391,376,338,307,262,222,148,128,103,2488,2392,47,345,2,253,54,92,50,33,53,127,13,41,26,41,41,40,54,14,88,25,16,49,21,3,5,71,56,211,685,127,1443,327,406,21
2700,100,107,139,157,192,168,209,196,184,208,234,195,187,132,92,86,62,52,1376,1324,23,193,1,143,34,47,18,19,33,57,6,21,13,21,12,25,37,7,47,7,8,33,9,2,5,29,29,90,384,66,839,205,225,12
3680,139,176,173,221,247,265,248,259,233,274,305,268,233,202,159,124,85,69,1895,1785,33,257,1,187,47,68,32,24,48,85,6,38,16,40,26,45,40,16,68,12,14,40,9,3,4,43,40,149,520,71,1130,250,300,18
3060,115,135,148,163,199,212,214,206,226,262,255,206,192,176,123,95,77,56,1614,1446,27,230,4,160,35,57,24,17,43,81,7,20,10,20,18,20,45,9,52,10,7,36,12,2,0,41,29,110,444,80,890,247,260,13
4230,167,182,215,224,282,314,311,308,307,344,359,296,221,240,162,120,101,77,2135,2095,42,319,2,194,56,70,37,30,48,101,13,29,14,43,22,36,52,14,84,28,14,44,14,1,4,53,55,164,609,98,1272,286,365,17
5785,253,277,305,331,366,392,371,398,420,449,471,447,361,308,239,181,129,87,2937,2848,47,464,1,321,65,120,63,39,58,109,22,43,24,50,41,52,67,25,126,30,24,61,18,3,6,89,51,237,848,137,1610,460,446,28
