"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
370,2,14,19,22,28,5,18,17,8,34,29,31,43,42,32,13,5,8,178,192,12,68,0,49,10,30,15,16,12,26,3,10,0,6,4,3,5,0,12,0,6,0,1,0,0,9,19,10,0,0,25,0,6,13
500,26,29,36,35,30,17,8,32,25,64,43,43,51,16,21,19,1,4,252,248,20,79,14,68,30,55,9,20,11,31,9,22,7,5,14,23,22,0,0,0,0,4,5,0,0,0,0,0,0,0,36,0,6,10
430,14,34,32,34,16,9,2,13,29,47,39,26,38,36,18,17,13,13,197,233,0,103,16,54,37,41,7,13,5,8,12,27,0,9,6,7,12,0,2,2,1,0,0,0,0,0,7,9,7,0,27,2,16,0
545,3,30,29,37,31,10,16,14,18,44,49,58,46,53,38,36,21,12,259,286,0,48,15,111,43,67,9,25,9,42,3,54,14,9,10,0,7,0,14,0,0,0,5,0,0,0,4,30,0,0,26,0,0,0
595,8,59,52,32,30,13,8,7,21,56,64,57,54,42,38,29,19,6,289,306,0,59,29,99,33,44,19,21,21,23,23,36,5,23,31,0,3,0,20,0,0,2,10,0,0,0,21,10,14,0,33,0,9,7
400,10,24,24,56,26,9,7,11,25,19,52,33,32,27,25,5,9,6,173,227,0,93,12,48,24,40,13,9,10,16,0,7,0,7,9,6,5,0,9,8,10,0,0,0,0,26,0,0,5,3,32,0,0,8
830,33,25,83,75,39,20,9,20,45,74,88,68,74,67,49,21,16,24,394,436,8,137,7,176,64,67,29,45,26,31,22,30,5,15,8,11,1,19,0,0,0,0,8,0,0,9,0,18,0,0,42,16,26,10
510,30,25,31,36,33,11,19,10,24,35,44,49,42,45,38,29,7,2,246,264,0,50,11,53,19,29,7,3,5,25,0,16,0,1,18,9,6,15,18,0,6,0,2,0,0,0,20,46,7,0,66,14,51,13
360,3,25,35,43,15,9,6,22,16,30,25,31,39,21,20,9,4,7,159,201,0,67,5,26,12,19,9,26,13,31,0,17,0,0,7,9,8,0,0,0,0,0,0,0,0,0,13,35,0,0,49,0,0,14
1070,19,51,58,90,51,30,29,31,50,98,101,85,70,92,78,75,32,30,509,561,10,140,17,87,42,39,21,16,20,36,25,60,8,20,25,13,0,11,16,9,0,26,7,7,0,11,10,188,19,3,104,19,51,10
495,29,31,37,40,28,7,5,18,43,41,55,36,23,28,35,17,11,11,242,253,0,98,0,57,39,26,17,24,6,52,7,22,0,13,3,11,0,0,23,0,9,0,10,0,0,0,0,20,0,0,45,13,0,0
410,17,52,51,23,8,12,3,11,33,52,24,40,27,20,14,7,8,8,198,212,0,59,0,51,12,37,15,0,0,29,9,16,0,11,0,21,7,6,20,0,0,0,0,0,0,13,0,16,7,0,60,0,14,7
300,10,24,22,27,16,23,3,7,13,23,29,32,22,12,20,16,1,0,142,158,0,42,12,48,16,31,18,11,0,15,0,14,4,4,0,6,0,0,0,0,0,0,0,0,0,16,12,9,0,0,23,0,19,0
540,14,28,30,52,27,12,0,17,11,40,69,52,32,57,50,25,12,12,253,287,21,83,18,71,20,43,6,20,17,33,0,10,0,16,0,17,11,13,15,12,0,12,0,0,0,0,0,21,11,0,33,4,18,15
595,24,55,59,31,24,3,12,16,59,73,37,32,51,32,41,28,12,6,270,325,5,66,31,86,48,65,30,0,22,29,17,55,10,8,12,14,8,0,30,4,0,9,10,0,0,0,23,0,0,0,2,0,0,11
390,19,29,24,31,19,11,0,23,23,51,44,26,25,14,19,23,6,3,202,188,9,49,0,34,17,15,24,7,10,20,4,19,0,6,0,4,0,0,0,0,0,0,0,0,0,0,19,16,0,0,136,0,0,1
290,8,14,29,28,22,10,9,12,11,16,27,32,23,19,12,5,12,1,156,134,8,40,0,54,32,14,8,24,0,29,0,17,0,10,6,7,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
295,15,34,36,34,19,7,4,9,20,28,12,16,18,13,16,10,4,0,134,161,0,26,6,39,13,16,3,13,0,22,13,1,0,4,0,0,8,2,14,0,5,2,0,0,0,14,20,18,0,0,43,0,0,13
550,18,36,48,63,37,16,11,12,38,56,56,42,25,29,35,19,4,5,285,265,9,87,0,64,28,46,6,24,0,53,0,30,0,9,12,10,5,0,8,8,0,11,1,0,0,0,0,15,0,0,99,0,25,0
340,18,16,22,26,20,5,11,11,13,19,30,18,28,23,22,31,9,18,167,173,7,54,0,63,31,42,8,13,3,14,9,10,0,13,9,0,6,0,9,0,0,0,0,0,0,0,6,0,6,0,21,8,8,0
610,32,39,30,48,32,22,17,20,39,35,35,65,54,50,31,22,9,30,297,313,13,78,14,54,38,75,3,18,11,60,17,50,0,27,26,18,1,2,14,0,0,0,6,0,0,0,14,35,0,0,35,0,0,1
570,0,4,16,8,14,13,5,11,12,18,14,34,36,78,61,86,63,97,243,327,8,80,18,99,30,92,20,19,18,42,8,28,11,0,10,0,8,3,4,6,4,0,0,0,0,0,4,11,4,4,30,0,7,2
440,14,12,21,26,30,7,17,16,12,17,32,27,41,31,35,42,26,34,170,270,0,51,16,46,27,42,7,13,6,18,0,31,10,16,0,20,0,0,3,0,0,10,5,0,0,10,0,36,26,0,30,0,14,3
425,16,31,23,35,22,11,22,15,29,32,28,29,34,42,15,14,14,13,219,206,0,24,9,83,21,41,10,15,0,34,0,34,0,7,0,6,3,0,0,0,0,5,0,0,0,0,8,62,15,4,17,5,22,0
510,20,23,24,51,23,8,14,17,19,66,45,57,31,24,34,21,7,26,228,282,0,41,30,75,15,40,15,10,0,20,19,15,0,1,2,0,10,3,20,0,0,3,0,0,18,0,0,78,10,0,77,0,0,8
680,14,29,63,66,52,27,26,17,38,52,43,52,47,43,34,38,24,15,315,365,22,68,8,53,40,23,4,7,21,35,5,0,1,9,18,5,10,0,14,8,9,0,0,0,0,21,20,140,33,0,79,16,10,1
