"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
370,5,10,16,21,26,10,21,16,10,31,31,36,47,36,31,10,5,8,185,185,11,57,0,48,16,22,12,9,10,26,3,7,1,5,5,5,5,0,17,1,3,0,1,0,0,8,10,11,21,2,30,10,9,5
500,20,28,34,36,25,15,15,25,29,59,44,54,39,24,20,20,6,7,252,248,12,70,1,70,19,31,13,7,12,36,4,7,5,7,9,10,13,0,3,1,1,7,5,0,0,1,5,8,29,8,73,15,12,6
430,10,30,25,25,15,15,5,10,30,49,40,35,44,30,25,15,15,12,205,225,1,84,3,72,25,32,4,15,5,10,2,11,2,7,7,7,7,1,3,3,3,3,1,0,0,2,10,10,28,5,43,6,15,3
545,5,25,29,34,39,15,10,10,29,44,44,54,49,49,44,39,15,11,265,280,3,59,3,103,24,43,10,18,10,37,2,22,10,7,7,1,6,0,22,3,0,3,6,0,0,0,10,19,27,6,52,9,22,1
595,9,46,45,41,31,12,10,5,25,56,56,61,56,51,41,25,20,5,300,295,1,50,7,87,32,42,20,8,20,28,7,24,4,20,19,1,5,1,17,2,3,6,7,0,0,0,23,11,35,9,72,15,13,6
400,10,30,20,48,35,10,5,20,20,20,45,35,30,35,15,7,10,5,187,213,2,71,0,46,20,21,14,9,9,26,0,7,0,7,5,7,8,0,7,6,3,3,0,0,0,17,2,2,26,6,43,10,17,6
830,25,25,71,81,46,20,15,25,41,66,97,66,71,65,51,31,16,18,410,420,9,135,3,122,25,39,26,17,23,41,3,20,5,13,7,8,6,17,10,0,1,4,9,0,0,9,6,18,56,11,119,23,36,9
510,20,30,29,44,30,15,20,15,29,35,35,54,45,40,35,25,5,4,248,262,0,55,2,44,18,30,8,9,7,24,0,18,2,4,16,9,5,13,16,1,5,3,1,0,0,4,17,47,18,2,64,12,45,11
360,5,20,25,30,25,15,10,15,20,35,30,35,30,20,25,10,5,5,182,178,3,60,1,31,13,23,9,5,11,23,0,9,0,0,4,9,6,0,1,1,2,1,0,0,0,1,12,30,23,2,49,9,17,5
1070,20,40,55,80,55,40,35,30,60,90,90,90,85,90,90,55,30,35,520,550,8,123,4,78,42,43,23,15,23,34,6,26,5,23,19,15,7,7,17,5,3,21,9,0,0,12,10,109,81,18,174,39,59,12
495,20,30,45,51,30,10,5,20,40,40,45,40,25,25,30,15,10,14,235,260,2,90,2,55,27,28,15,6,5,35,4,8,0,15,6,13,1,2,24,0,7,3,8,1,0,6,2,24,25,6,47,16,11,1
410,20,44,46,30,10,10,5,20,35,51,25,40,25,20,11,5,6,7,190,220,1,56,0,41,11,30,14,0,0,24,1,7,0,14,0,14,8,5,25,0,5,0,0,0,1,15,0,19,23,2,63,10,12,9
300,10,18,20,23,14,15,5,10,20,20,30,34,25,20,15,15,5,1,145,155,0,42,1,49,11,34,14,10,0,14,0,14,6,6,1,6,0,1,1,0,0,0,0,0,0,16,8,11,5,1,30,1,18,0
540,10,28,29,43,33,10,4,15,15,44,63,49,34,53,49,29,15,17,255,285,17,77,8,71,16,45,7,15,16,31,0,9,1,14,0,14,20,10,18,8,1,9,0,0,0,2,1,29,16,5,40,11,20,9
595,20,46,56,36,31,6,10,20,51,65,46,31,46,36,46,25,15,9,285,310,10,61,2,97,18,34,9,0,25,33,5,13,6,6,13,13,6,2,39,6,2,8,7,0,1,2,25,8,32,7,55,19,23,8
390,21,26,24,31,20,16,2,21,26,47,42,31,26,10,16,21,5,5,190,200,9,59,0,29,3,18,11,7,9,14,0,10,0,4,3,5,2,2,0,2,1,2,1,0,0,4,12,17,18,4,123,12,7,2
290,10,20,20,24,29,10,6,10,15,20,25,29,20,20,15,10,5,2,145,145,8,36,0,32,6,13,4,6,1,10,0,6,1,6,4,8,13,1,7,3,0,0,0,0,0,1,1,4,18,6,61,13,19,2
295,20,25,26,32,15,9,5,10,25,29,20,15,15,20,10,10,5,4,150,145,3,26,0,35,12,20,4,2,1,15,4,4,0,3,0,0,5,3,10,2,4,1,0,0,0,14,9,15,24,7,43,17,4,8
550,15,35,37,58,40,20,21,16,50,44,50,45,35,30,25,15,7,7,282,268,9,82,0,56,12,22,8,5,4,19,1,8,0,7,9,13,7,0,13,8,1,6,1,0,0,4,5,13,52,11,112,37,24,1
340,13,14,19,23,23,7,9,14,14,19,28,28,33,22,28,23,9,14,168,172,5,48,0,39,12,28,8,5,5,19,0,4,0,8,6,1,8,1,9,0,0,2,2,0,0,4,7,3,28,5,54,17,12,0
610,23,34,29,48,38,16,15,19,34,43,34,62,58,53,38,29,14,23,300,310,10,74,3,62,14,22,5,14,13,34,1,10,2,14,13,11,5,6,19,5,0,1,6,0,0,2,15,31,43,12,109,25,28,1
570,6,5,10,5,15,10,15,10,10,15,17,40,45,74,64,79,68,82,235,335,8,66,2,126,31,78,17,14,13,39,13,27,9,1,9,2,6,4,8,4,2,1,0,0,0,2,7,16,11,6,31,4,11,2
440,15,15,15,25,30,10,15,15,15,25,25,30,35,30,35,40,35,30,180,260,1,46,3,49,28,35,8,13,6,23,1,19,8,18,0,18,2,2,6,2,0,7,6,0,0,9,0,34,27,4,45,7,11,2
425,15,31,31,31,26,15,15,20,26,31,31,31,31,36,15,15,15,10,212,213,2,24,2,69,15,31,9,13,3,34,1,16,0,8,2,10,5,0,0,0,0,6,0,0,0,1,17,65,13,8,43,9,17,2
510,15,20,36,46,31,15,10,20,20,46,41,46,36,31,36,20,10,31,242,268,3,39,1,70,15,38,13,13,1,19,3,13,1,2,2,1,9,4,23,0,1,5,1,0,4,2,2,83,25,10,77,15,6,9
680,15,34,54,59,44,30,25,20,39,54,54,54,49,39,39,30,20,21,333,347,8,66,0,34,21,28,6,9,16,36,5,8,4,7,11,8,8,2,15,8,7,4,1,1,0,13,20,65,60,10,133,23,42,1
400,15,24,35,40,25,10,15,10,25,40,35,30,30,20,20,6,5,15,202,198,4,33,2,40,13,20,7,5,4,19,3,12,2,1,9,10,11,3,17,0,2,5,2,0,0,3,4,31,35,7,63,15,18,0
475,29,41,44,29,28,10,10,33,39,44,34,29,29,24,20,10,10,12,227,248,8,45,0,53,8,22,6,7,1,26,0,4,0,11,6,14,17,4,20,0,0,7,1,0,0,3,19,15,48,10,72,19,27,2
435,19,23,48,43,14,6,10,10,33,53,38,33,19,24,19,19,10,14,203,232,1,42,0,43,14,24,8,15,4,14,2,13,2,11,2,11,11,0,22,1,4,9,2,0,1,1,17,8,30,13,68,16,26,0
885,25,39,47,74,39,39,30,44,79,74,93,74,64,49,54,30,20,11,435,450,9,85,1,46,26,28,6,10,7,20,2,10,6,6,5,14,8,3,10,4,6,3,2,0,0,9,11,78,100,10,262,44,53,1
575,15,20,35,54,30,20,21,18,25,40,50,40,35,40,35,15,25,57,250,325,15,68,3,56,36,29,12,17,6,6,3,18,0,14,7,12,8,0,1,0,0,1,1,1,0,9,10,45,28,3,130,18,18,0
450,15,30,40,35,30,15,10,25,30,35,45,35,25,30,20,15,5,10,207,243,2,80,1,52,16,16,1,8,2,6,4,8,0,6,0,6,3,0,8,4,0,3,0,0,0,3,1,61,20,5,92,15,26,1
415,15,24,38,40,30,14,10,20,30,35,25,25,30,30,20,15,9,5,200,215,0,56,4,42,21,25,11,11,3,25,1,12,1,8,1,12,0,7,25,1,1,5,4,0,0,2,1,21,19,5,54,11,15,11
380,14,30,36,35,15,9,15,15,15,44,35,30,20,20,20,10,10,7,190,190,3,66,0,37,5,14,10,6,12,13,0,6,1,8,5,0,7,1,9,4,1,3,1,0,0,2,0,30,25,5,76,15,12,3
405,5,5,10,10,5,9,5,6,10,10,8,10,11,30,76,66,66,63,120,285,0,39,0,66,34,49,6,14,15,30,8,8,8,16,0,20,0,0,16,1,0,1,1,0,0,9,10,17,7,3,13,2,12,0
455,15,31,41,56,20,10,20,26,20,46,51,36,36,15,15,10,5,2,217,238,1,43,1,45,18,26,7,9,10,26,3,0,2,16,11,5,21,1,5,3,0,3,1,0,0,3,26,31,22,2,84,9,13,8
385,10,26,30,36,26,6,10,16,26,26,36,31,26,31,16,10,10,13,172,213,8,57,1,37,11,23,12,4,6,22,0,9,0,8,0,4,7,1,6,1,1,11,0,0,0,3,3,42,24,6,51,13,9,5
535,7,15,9,19,15,12,13,21,15,25,45,35,50,54,59,50,45,46,215,320,0,76,0,80,23,42,9,7,7,39,7,23,0,15,10,15,6,0,4,1,4,4,0,0,0,9,9,45,20,3,50,8,12,7
490,10,10,30,35,15,20,20,25,35,51,35,40,35,35,40,25,10,19,240,250,9,35,0,47,16,28,10,10,5,15,4,1,1,12,6,4,6,4,7,2,6,2,0,0,0,22,2,70,27,5,84,12,37,1
605,10,10,15,25,20,25,20,20,30,25,40,35,45,50,60,74,45,56,245,360,1,81,0,67,40,63,5,23,6,28,6,14,8,6,1,13,4,0,12,6,9,6,0,0,0,8,8,69,19,4,47,28,20,3
460,10,15,20,20,21,15,16,25,25,35,30,23,20,35,40,38,30,42,205,255,0,38,1,56,17,37,13,11,7,11,8,16,3,14,9,9,6,6,6,3,4,2,2,0,1,2,2,49,24,3,65,12,18,5
425,10,10,6,20,19,10,10,12,15,20,30,40,34,46,35,46,30,32,167,258,0,22,3,43,13,28,10,11,3,32,5,11,2,5,11,5,3,5,8,1,5,5,2,1,0,9,2,44,26,3,76,10,20,1
425,19,29,34,24,39,14,10,24,24,34,34,43,24,19,14,14,10,16,208,217,2,40,1,52,25,27,17,6,3,38,0,7,7,3,2,16,6,0,5,0,0,6,1,2,0,1,20,9,22,2,70,18,15,2
505,20,20,54,54,20,25,15,15,34,49,54,34,34,34,29,5,5,4,232,273,4,31,1,50,11,27,12,16,7,17,3,4,0,13,4,4,20,0,2,1,0,0,7,0,0,9,18,60,28,3,114,17,21,1
495,20,26,51,51,20,10,15,26,31,61,41,31,26,31,15,15,15,10,237,258,13,53,0,17,10,20,9,6,1,4,6,13,0,6,4,9,11,0,1,1,3,1,4,0,0,3,4,39,20,4,193,8,32,0
465,20,25,30,40,35,15,15,15,35,35,35,35,45,35,20,15,10,5,213,252,1,42,1,35,11,21,7,8,4,17,4,8,1,4,0,11,14,1,24,1,2,15,0,0,0,13,3,58,30,8,78,15,28,0
590,15,15,25,35,25,32,27,30,30,41,40,35,35,26,23,25,59,72,243,347,3,70,4,45,35,35,22,18,15,27,1,31,3,14,7,18,7,1,10,1,0,4,0,0,0,1,0,74,24,10,68,14,15,13
575,20,30,39,35,40,30,20,15,30,50,59,40,64,25,30,20,20,8,270,305,5,69,0,51,10,34,1,14,15,6,1,10,0,4,8,1,11,3,12,1,0,16,0,0,0,4,9,45,38,6,155,18,27,1
555,15,26,41,31,26,30,21,15,36,41,51,57,41,31,41,31,21,0,257,298,9,38,0,58,17,20,12,7,2,27,4,10,6,12,0,0,1,1,14,0,0,7,1,0,0,19,0,74,16,5,162,10,22,1
550,10,20,35,40,35,15,15,10,30,30,65,60,45,35,50,20,20,15,262,288,2,45,1,94,21,33,11,14,13,18,2,10,5,5,9,5,9,1,12,0,3,6,0,0,0,9,9,82,21,3,65,21,21,0
535,10,20,20,25,15,10,15,35,30,45,45,45,35,40,40,35,35,35,242,293,9,35,0,78,27,37,5,13,5,27,5,16,0,11,7,7,6,1,8,1,1,13,0,0,1,3,2,67,18,7,64,13,46,2
1180,23,38,40,60,55,51,46,59,54,68,76,71,75,80,60,95,105,124,473,707,10,87,3,120,52,90,15,14,10,34,7,37,16,23,7,26,27,7,17,7,10,2,13,0,6,34,19,203,38,9,138,19,79,1
1045,30,30,30,35,49,54,69,69,74,84,74,84,89,69,49,69,35,52,485,560,3,55,1,60,26,42,14,13,8,24,12,27,11,8,6,6,19,13,20,6,1,6,3,0,1,15,7,177,111,12,233,46,56,3
435,15,20,30,10,25,40,30,20,15,35,35,46,35,30,15,15,10,9,210,225,2,26,1,24,20,16,14,9,8,17,6,10,7,10,2,4,7,2,8,12,3,2,0,0,0,15,3,71,24,2,60,35,15,0
390,20,25,19,25,20,10,20,25,35,30,35,49,20,25,10,15,5,2,180,210,23,65,3,34,25,36,14,18,4,23,5,6,0,1,1,6,5,4,4,1,0,0,0,0,0,1,14,30,16,5,21,12,6,7
425,24,19,24,19,19,39,24,29,34,43,39,29,29,24,10,10,5,5,220,205,4,54,0,27,5,22,11,2,7,19,0,9,0,2,10,15,1,1,3,0,0,4,7,1,0,1,2,77,23,9,39,63,7,0
575,24,39,14,29,24,34,53,34,43,53,24,34,43,39,24,24,19,21,265,310,0,45,2,48,25,32,11,11,21,23,2,15,2,12,4,8,5,1,14,0,5,5,6,3,2,5,2,87,39,24,64,20,31,1
435,20,25,30,30,25,20,15,20,34,35,45,30,34,20,20,15,10,7,225,210,16,53,0,50,9,31,7,13,10,24,2,9,2,14,0,6,14,4,16,0,0,5,5,1,1,2,16,8,25,6,51,13,20,2
470,15,25,20,25,20,15,20,25,30,20,40,51,45,45,30,15,15,14,230,240,16,70,0,70,11,34,3,8,9,24,3,16,4,21,1,5,5,1,16,4,0,3,6,0,2,16,0,14,29,7,43,10,17,2
1025,48,60,60,58,40,90,100,90,70,75,65,65,50,55,35,24,20,20,495,530,15,111,0,66,23,27,10,10,18,36,3,14,2,13,15,15,20,1,11,4,2,8,5,0,1,20,20,82,100,21,198,59,87,8
1005,60,64,62,50,50,56,80,65,97,85,80,85,60,35,28,16,15,17,500,505,15,126,1,83,20,41,11,11,11,22,4,14,6,5,14,15,11,6,20,8,6,9,0,0,1,20,9,77,92,14,207,56,69,1
