"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
370,5,10,19,18,23,12,14,17,14,22,32,42,44,41,28,10,7,12,191,179,10,55,0,42,19,20,14,15,10,27,4,15,0,5,4,9,6,0,19,0,4,0,1,0,0,8,19,17,0,0,28,0,7,12
500,19,35,38,36,25,14,14,23,27,60,51,48,39,28,18,12,8,5,260,240,7,78,5,71,31,58,10,20,13,34,9,19,13,5,19,14,30,0,0,0,0,11,7,0,0,0,0,0,0,0,27,0,10,9
432,7,29,25,22,18,17,5,6,32,39,41,39,51,36,29,10,15,11,203,229,0,71,5,88,30,40,4,16,3,15,16,30,0,9,8,5,6,0,1,1,2,0,0,0,0,0,11,15,12,0,15,7,22,0
546,4,26,27,26,39,18,4,8,28,50,40,57,45,51,49,40,16,18,267,279,0,52,9,107,49,85,7,17,13,33,4,48,9,7,9,0,4,0,26,0,0,0,9,0,0,0,6,17,0,0,35,0,0,0
595,13,50,53,47,39,8,14,5,22,56,45,64,59,55,29,17,13,6,291,304,0,54,15,94,38,40,20,29,18,26,20,42,2,25,34,0,3,0,12,0,0,6,6,0,0,0,22,12,25,0,34,0,9,9
400,8,29,23,46,38,6,7,17,24,17,45,38,29,43,9,6,12,3,198,202,0,73,11,60,20,34,17,9,10,21,0,7,0,6,12,2,9,0,9,9,10,0,0,0,0,29,0,0,8,7,28,0,0,9
830,20,23,76,80,36,29,15,26,47,61,98,66,80,69,42,36,6,20,405,425,11,136,9,167,59,69,31,42,25,34,14,29,3,14,4,8,7,27,0,0,0,0,7,0,0,16,0,19,0,0,47,21,27,4
510,14,29,31,38,32,15,17,22,33,32,44,46,42,40,48,19,6,2,267,243,0,54,14,44,21,30,8,6,5,29,0,12,0,6,15,12,3,11,13,0,8,0,1,0,0,0,16,50,13,0,70,12,48,9
360,9,18,31,24,27,7,12,18,16,38,27,35,28,21,29,11,3,6,176,184,0,68,5,41,13,24,8,24,14,39,0,20,0,0,6,8,5,0,0,0,0,0,0,0,0,0,11,19,0,0,44,0,0,11
1070,16,44,48,93,66,40,37,23,55,86,96,79,82,103,82,54,31,35,489,581,7,114,10,97,47,39,26,10,18,44,12,53,3,23,27,17,0,11,7,9,0,21,16,16,0,15,9,185,15,13,122,16,53,15
495,15,27,48,51,38,7,7,18,41,41,47,46,17,30,23,17,8,14,229,266,0,98,0,49,31,30,13,20,4,55,3,33,0,11,9,14,0,0,21,0,7,0,5,0,0,0,0,23,0,0,48,21,0,0
411,14,51,44,33,8,10,9,21,40,49,17,36,29,17,10,4,8,11,178,233,0,49,0,49,6,46,7,0,0,34,7,21,0,12,0,9,6,6,22,0,8,0,0,0,0,13,0,22,6,0,64,0,11,13
300,15,17,15,21,11,20,8,11,22,17,29,32,30,16,12,22,2,0,143,157,0,44,9,48,9,41,14,9,0,12,0,15,5,4,0,4,0,0,0,0,0,0,0,0,0,16,5,11,0,0,32,0,22,0
540,9,35,31,41,47,7,0,13,21,47,57,50,35,37,42,31,19,18,252,288,13,94,18,71,15,30,7,18,20,34,0,6,0,11,0,17,20,7,18,5,0,9,0,0,0,0,0,29,12,0,47,10,16,13
595,15,48,56,45,23,3,8,20,48,75,51,27,45,35,44,23,20,9,306,289,10,65,28,106,38,71,18,0,27,30,11,35,10,10,12,8,9,0,37,6,0,9,6,0,0,0,26,0,0,0,9,0,0,14
390,18,24,26,37,21,18,0,21,24,70,37,25,27,8,10,18,4,2,167,223,6,64,0,37,18,16,15,13,5,15,4,15,0,2,0,3,0,0,0,0,0,0,0,0,0,0,29,15,0,0,129,0,0,4
291,5,23,17,25,30,6,2,7,15,18,28,32,20,30,12,15,5,1,141,150,11,35,0,60,24,25,6,11,0,35,0,17,0,16,6,13,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
295,20,33,24,25,17,4,7,7,28,28,21,20,5,24,16,10,6,0,145,150,0,17,3,47,9,19,6,8,0,24,20,6,0,8,0,0,8,4,11,0,1,1,0,0,0,16,24,9,0,0,44,0,0,10
551,14,37,43,60,47,22,9,13,52,47,46,35,39,32,28,11,11,5,289,262,9,93,0,53,43,48,9,26,0,60,0,23,0,9,8,10,4,0,6,8,0,5,2,0,0,0,0,10,0,0,99,0,26,0
343,11,14,17,32,21,8,13,17,12,17,26,24,34,21,34,23,5,14,175,168,6,54,0,67,22,32,12,11,5,20,9,8,0,12,15,0,11,0,11,0,0,0,0,0,0,0,3,0,7,0,18,8,12,0
610,29,22,45,52,42,19,13,19,27,50,23,59,48,52,40,33,12,25,292,318,14,78,10,70,27,66,3,24,14,50,19,35,0,20,25,26,4,7,24,0,0,0,3,0,0,0,24,32,0,0,35,0,0,0
571,0,7,16,6,13,6,4,9,8,21,16,28,38,65,69,99,67,99,234,337,7,65,19,122,28,83,18,19,8,36,10,29,10,0,11,0,7,2,4,5,3,0,0,0,0,0,12,16,6,6,37,0,7,1
440,18,12,15,20,28,13,13,14,21,30,29,33,39,22,39,39,26,29,170,270,0,46,13,56,23,38,8,8,8,25,0,31,7,21,0,16,0,0,8,0,0,8,3,0,0,10,0,32,30,0,37,0,11,1
425,13,32,28,36,24,10,17,21,21,40,34,31,22,40,16,14,16,10,209,216,0,29,9,66,21,43,9,13,0,40,0,36,0,4,0,8,5,0,0,0,0,4,0,0,0,0,17,59,10,9,21,7,14,1
510,15,19,38,44,27,16,12,21,26,48,37,37,47,29,31,22,11,30,235,275,0,32,21,75,22,37,17,12,0,24,14,7,0,4,3,0,14,5,21,0,0,3,3,0,14,0,0,81,10,0,80,0,0,11
680,14,31,60,55,49,29,47,16,38,50,41,57,47,40,37,26,22,21,345,335,18,84,6,34,24,27,2,12,17,35,7,0,3,4,13,11,10,0,18,14,10,0,0,0,0,18,32,125,36,0,88,21,10,1
400,12,34,29,27,27,23,20,15,19,48,34,25,25,16,24,3,3,16,216,184,0,39,0,49,35,19,12,17,5,19,9,27,0,0,19,20,13,5,16,0,0,5,0,0,0,0,0,37,0,0,44,10,0,0
475,40,45,45,23,32,10,0,37,37,44,37,31,24,19,25,9,9,8,211,264,8,42,0,60,28,23,18,22,0,27,5,14,0,15,3,20,20,0,39,0,0,5,0,15,0,0,20,15,27,0,26,9,13,1
436,19,23,38,34,14,6,11,13,36,59,44,34,20,27,18,12,16,12,209,227,0,44,0,48,32,23,7,18,2,22,20,24,0,22,0,14,12,0,24,0,10,12,0,0,0,0,14,0,0,8,72,0,8,0
886,21,41,53,61,36,40,29,44,87,58,110,71,66,46,53,35,24,11,453,433,12,88,10,56,31,30,1,25,4,19,0,6,7,7,0,16,0,0,7,0,5,0,1,0,0,14,0,208,12,0,276,26,23,2
578,14,16,32,60,30,17,14,13,27,40,41,59,35,31,39,10,24,76,237,341,15,70,16,59,50,29,12,17,11,5,7,16,0,13,7,17,9,0,0,0,0,0,0,0,0,7,9,49,0,0,136,5,19,0
453,13,34,41,42,31,5,9,26,29,33,45,30,23,33,21,21,6,11,201,252,0,78,0,51,22,37,0,6,0,0,4,17,0,3,0,7,0,0,7,12,0,0,0,0,0,0,0,65,17,0,97,9,21,0
415,11,22,32,35,24,18,9,30,27,32,26,23,34,29,25,23,10,5,189,226,0,52,5,43,40,39,13,18,2,27,13,19,0,7,0,15,0,4,30,0,0,5,4,0,0,0,0,26,0,0,33,4,3,13
380,16,34,40,30,19,6,15,20,20,39,35,21,16,17,26,10,10,6,173,207,0,51,0,42,21,16,7,24,10,20,0,5,0,7,0,0,9,0,22,5,0,0,1,0,0,0,0,27,0,0,90,0,13,10
405,0,6,7,13,4,0,0,0,10,10,5,4,6,23,87,69,68,93,136,269,0,35,0,80,52,48,8,8,7,30,9,10,8,18,0,29,0,0,17,0,0,0,0,0,0,9,4,22,0,0,0,0,11,0
455,19,24,44,50,21,4,14,33,31,41,50,44,39,10,15,11,3,2,215,240,0,42,0,46,33,28,10,8,10,21,2,0,0,16,15,5,27,0,4,2,0,3,0,0,0,0,20,26,11,0,93,10,14,9
385,10,27,32,27,17,4,6,20,20,23,47,47,29,30,19,4,10,13,185,200,13,58,7,40,14,22,14,2,10,34,0,11,0,11,0,21,19,0,0,0,0,10,0,0,0,0,0,50,10,0,25,0,6,8
535,6,10,14,27,21,9,15,14,19,25,34,27,46,59,64,49,46,50,215,320,0,79,0,72,40,35,24,12,7,36,10,25,0,23,10,23,7,0,0,0,5,9,0,0,0,14,10,39,0,0,41,0,0,14
491,17,9,17,30,7,18,20,20,36,61,27,44,35,40,47,31,12,20,263,228,6,33,0,44,16,18,11,15,4,14,5,0,0,15,9,0,2,7,7,0,9,0,0,0,0,16,0,134,0,0,90,0,36,0
606,10,6,14,27,25,26,17,20,26,26,43,41,39,43,59,76,50,58,244,362,0,87,0,72,60,70,7,22,4,26,7,16,6,11,0,6,0,0,15,6,18,6,1,0,0,1,7,64,15,0,31,28,18,2
