"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
370,5,10,16,21,26,10,21,16,10,31,31,36,47,36,31,10,5,8,185,185,11,57,0,48,16,24,7,13,10,27,4,11,0,5,5,5,5,0,17,0,0,0,1,0,0,8,13,11,12,4,36,6,9,5
500,20,29,34,39,25,15,15,25,29,59,44,54,39,25,20,20,5,3,252,248,12,70,2,70,20,29,13,10,12,31,5,19,7,7,16,14,28,2,3,1,0,7,7,0,0,0,3,3,26,2,53,7,13,8
430,10,29,25,25,15,15,6,10,30,49,40,35,44,30,25,15,15,12,205,225,1,84,3,63,9,21,4,12,5,10,5,13,1,6,5,7,7,2,3,3,2,2,0,0,1,7,10,10,29,5,65,13,21,1
545,4,25,27,34,37,15,16,10,29,44,44,54,49,49,44,38,15,11,265,280,4,59,1,70,15,34,10,13,10,35,6,16,6,7,7,4,7,2,21,0,0,4,3,1,0,4,10,19,36,6,97,17,21,0
595,10,45,46,41,31,10,10,6,25,56,56,61,56,51,41,25,20,5,300,295,2,50,3,87,17,36,19,9,20,28,4,22,5,14,11,3,5,1,17,1,1,5,5,2,1,5,23,13,43,7,83,22,25,6
400,10,30,20,50,35,10,5,20,20,20,45,35,30,35,15,5,10,5,187,213,0,71,1,57,15,33,20,10,10,26,0,7,0,7,7,7,8,0,7,6,7,0,0,0,0,22,2,1,20,6,36,6,2,6
830,25,25,71,81,46,20,15,25,41,66,97,66,71,66,51,31,15,18,410,420,9,135,7,143,31,57,24,10,27,41,5,22,5,13,8,8,6,11,6,4,2,2,8,0,0,9,4,18,39,7,104,24,32,9
510,20,30,30,45,30,15,20,15,30,35,35,54,45,40,35,25,5,1,248,262,1,55,2,44,18,30,8,9,7,24,0,22,1,4,16,7,5,13,16,2,7,1,1,0,0,0,17,47,21,5,64,12,45,6
360,5,20,25,30,25,15,10,15,20,35,30,35,30,20,25,10,5,5,182,178,0,60,1,31,13,26,9,7,11,36,0,10,0,1,4,9,6,0,3,0,2,2,0,0,0,1,12,30,13,1,49,5,8,10
1070,21,40,55,79,55,46,44,30,60,90,89,90,85,90,83,55,29,29,520,550,8,123,0,78,30,44,17,15,16,35,4,14,6,23,15,15,10,4,17,5,1,21,7,0,2,12,9,73,118,17,210,49,63,9
