PPSORT,CMA,AGE,SEX,RACE,KOL,WORKLANG,MARST,DWEL,MOBL
875368,933,a0_4,m,ao_esao_Chinese,no.official_lang,work.no.official_lang,no.married,single.detached.house,non.movers
818983,933,a55_59,m,onao_Canadian,official_lang,work.official_lang,married,other.attached,non.movers
229031,933,a75_79,m,onao_Canadian,official_lang,work.no.official_lang,married,other.attached,non.movers
181534,933,a50_54,m,eo_weo_German,official_lang,work.official_lang,married,single.detached.house,non.movers
617707,933,a25_29,m,eo_weo_German,official_lang,work.official_lang,no.married,apartment,non.movers
689734,933,a50_54,f,ao_sao_ei,official_lang,work.no.official_lang,married,apartment,non.movers
100427,933,a25_29,f,ao_sao_ei,official_lang,work.official_lang,married,apartment,nonmigrants.movers
330645,933,a5_9,f,onao_Canadian,official_lang,work.no.official_lang,no.married,single.detached.house,non.movers
642475,933,a40_44,m,ao_sao_ei,official_lang,work.official_lang,married,single.detached.house,non.movers
461019,933,a10_14,m,ao_sao_ei,official_lang,work.no.official_lang,no.married,apartment,non.movers
177268,933,a20_24,f,ao_esao_Chinese,official_lang,work.official_lang,married,single.detached.house,nonmigrants.movers
458890,933,a75_79,m,ao_sao_ei,no.official_lang,work.no.official_lang,married,single.detached.house,non.movers
351301,933,a35_39,f,ao_sao_ei,official_lang,work.official_lang,married,single.detached.house,non.movers
696375,933,a45_49,m,onao_Canadian,official_lang,work.official_lang,married,other.attached,non.movers
219519,933,a25_29,m,ao_sao_ei,official_lang,work.official_lang,no.married,apartment,non.movers
293778,933,a20_24,m,ao_esao_Chinese,official_lang,work.official_lang,no.married,other.attached,non.movers
96498,933,a0_4,m,ao_sao_ei,no.official_lang,work.no.official_lang,no.married,apartment,other.movers
915045,933,a75_79,f,ao_sao_ei,official_lang,work.no.official_lang,married,other.attached,non.movers
906054,933,a20_24,m,ao_wcameo,official_lang,work.no.official_lang,no.married,other.attached,non.movers
822106,933,a50_54,f,ao_esao_Filipino,official_lang,work.no.official_lang,no.married,apartment,nonmigrants.movers
796888,933,a5_9,m,ao_osao,official_lang,work.no.official_lang,no.married,single.detached.house,non.movers
168202,933,a60_64,f,ao_sao_ei,no.official_lang,work.no.official_lang,married,single.detached.house,non.movers
383326,933,a45_49,m,ao_oesao,official_lang,work.no.official_lang,married,other.attached,non.movers
654719,933,a0_4,f,ao_sao_ei,official_lang,work.no.official_lang,no.married,apartment,non.movers
187575,933,a0_4,f,onao_Canadian,official_lang,work.no.official_lang,no.married,single.detached.house,non.movers
437194,933,a5_9,m,onao_Canadian,official_lang,work.no.official_lang,no.married,apartment,non.movers
558670,933,a25_29,m,ao_sao_ei,official_lang,work.official_lang,living.common.law,apartment,nonmigrants.movers
142999,933,a60_64,m,ao_sao_ei,no.official_lang,work.no.official_lang,married,apartment,non.movers
596885,933,a65_69,f,ao_sao_ei,no.official_lang,work.no.official_lang,married,single.detached.house,non.movers
488414,933,a35_39,f,ao_sao_ei,official_lang,work.official_lang,married,other.attached,non.movers
868108,933,a40_44,m,ao_esao_Chinese,official_lang,work.official_lang,married,other.attached,non.movers
3376,933,a25_29,f,ao_oesao,official_lang,work.no.official_lang,no.married,single.detached.house,nonmigrants.movers
57999,933,a15_19,f,ao_esao_Chinese,official_lang,work.official_lang,no.married,other.attached,non.movers
673931,933,a60_64,m,eo_eeo_Hungarian,official_lang,work.official_lang,married,apartment,non.movers
789653,933,a65_69,m,ao_sao_ei,official_lang,work.no.official_lang,married,apartment,non.movers
884790,933,a30_34,m,onao_Canadian,official_lang,work.official_lang,married,other.attached,non.movers
246713,933,a70_74,m,onao_Canadian,official_lang,work.no.official_lang,married,single.detached.house,non.movers
539745,933,a15_19,m,eo_weo_Dutch,official_lang,work.official_lang,no.married,other.attached,non.movers
700869,933,a40_44,f,eo_neo,official_lang,work.no.official_lang,married,single.detached.house,non.movers
512745,933,a60_64,f,onao_Canadian,official_lang,work.official_lang,married,other.attached,non.movers
929072,933,a10_14,m,ao,official_lang,work.no.official_lang,no.married,other.attached,non.movers
380145,933,a70_74,m,eo_weo_German,official_lang,work.no.official_lang,married,other.attached,non.movers
736665,933,a40_44,f,eo_bio_English,official_lang,work.official_lang,married,single.detached.house,non.movers
279580,933,a10_14,f,ao_osao,official_lang,work.no.official_lang,no.married,single.detached.house,non.movers
579379,933,a50_54,f,eo_bio_English,official_lang,work.official_lang,married,single.detached.house,non.movers
19870,933,a60_64,m,ao_esao_Filipino,official_lang,work.official_lang,married,apartment,non.movers
20771,933,a10_14,f,eo_bio_English,official_lang,work.no.official_lang,no.married,other.attached,non.movers
96315,933,a55_59,m,naao,official_lang,work.official_lang,married,other.attached,non.movers
585033,933,a40_44,f,ao_sao_ei,official_lang,work.no.official_lang,married,single.detached.house,non.movers
220059,933,a10_14,f,onao_Canadian,official_lang,work.no.official_lang,no.married,other.attached,non.movers
