"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo","official_lang","no.official_lang","work.official_lang","work.no.official_lang","no.married","married","living.common.law","separated","divorced","widowed","single.detached.house","apartment","other.attached","non.movers","nonmigrants.movers","interprovincial.movers","external.movers","other.movers"
370,2,14,19,22,28,5,18,17,8,34,29,31,43,42,32,13,5,8,178,192,12,68,0,49,10,30,15,16,12,26,3,10,0,6,4,3,5,0,12,0,6,0,1,0,0,9,19,10,0,0,25,0,6,13,368,2,265,105,128,187,16,1,25,13,85,0,285,313,31,0,0,26
500,26,29,36,35,30,17,8,32,25,64,43,43,51,16,21,19,1,4,252,248,20,79,14,68,30,55,9,20,11,31,9,22,7,5,14,23,22,0,0,0,0,4,5,0,0,0,0,0,0,0,36,0,6,10,500,0,330,170,193,204,34,12,36,21,75,0,425,463,11,0,0,26
430,14,34,32,34,16,9,2,13,29,47,39,26,38,36,18,17,13,13,197,233,0,103,16,54,37,41,7,13,5,8,12,27,0,9,6,7,12,0,2,2,1,0,0,0,0,0,7,9,7,0,27,2,16,0,425,5,229,201,158,188,25,6,34,19,135,38,257,389,0,18,0,23
545,3,30,29,37,31,10,16,14,18,44,49,58,46,53,38,36,21,12,259,286,0,48,15,111,43,67,9,25,9,42,3,54,14,9,10,0,7,0,14,0,0,0,5,0,0,0,4,30,0,0,26,0,0,0,540,5,358,187,157,300,26,9,35,18,197,0,348,515,7,0,0,23
595,8,59,52,32,30,13,8,7,21,56,64,57,54,42,38,29,19,6,289,306,0,59,29,99,33,44,19,21,21,23,23,36,5,23,31,0,3,0,20,0,0,2,10,0,0,0,21,10,14,0,33,0,9,7,585,10,316,279,193,336,20,6,21,19,203,0,392,550,45,0,0,0
400,10,24,24,56,26,9,7,11,25,19,52,33,32,27,25,5,9,6,173,227,0,93,12,48,24,40,13,9,10,16,0,7,0,7,9,6,5,0,9,8,10,0,0,0,0,26,0,0,5,3,32,0,0,8,388,12,214,186,158,195,14,0,16,17,127,0,273,378,22,0,0,0
830,33,25,83,75,39,20,9,20,45,74,88,68,74,67,49,21,16,24,394,436,8,137,7,176,64,67,29,45,26,31,22,30,5,15,8,11,1,19,0,0,0,0,8,0,0,9,0,18,0,0,42,16,26,10,820,10,448,382,291,438,32,14,23,32,296,0,534,665,15,7,0,143
510,30,25,31,36,33,11,19,10,24,35,44,49,42,45,38,29,7,2,246,264,0,50,11,53,19,29,7,3,5,25,0,16,0,1,18,9,6,15,18,0,6,0,2,0,0,0,20,46,7,0,66,14,51,13,484,26,201,309,176,288,27,0,2,17,153,0,357,400,33,6,14,57
360,3,25,35,43,15,9,6,22,16,30,25,31,39,21,20,9,4,7,159,201,0,67,5,26,12,19,9,26,13,31,0,17,0,0,7,9,8,0,0,0,0,0,0,0,0,0,13,35,0,0,49,0,0,14,348,12,227,133,127,202,12,0,13,6,104,0,256,321,29,0,10,0
1070,19,51,58,90,51,30,29,31,50,98,101,85,70,92,78,75,32,30,509,561,10,140,17,87,42,39,21,16,20,36,25,60,8,20,25,13,0,11,16,9,0,26,7,7,0,11,10,188,19,3,104,19,51,10,1010,60,572,498,322,619,41,15,34,39,141,153,776,911,112,16,13,18
495,29,31,37,40,28,7,5,18,43,41,55,36,23,28,35,17,11,11,242,253,0,98,0,57,39,26,17,24,6,52,7,22,0,13,3,11,0,0,23,0,9,0,10,0,0,0,0,20,0,0,45,13,0,0,479,16,265,230,195,264,9,0,12,15,172,0,323,472,23,0,0,0
410,17,52,51,23,8,12,3,11,33,52,24,40,27,20,14,7,8,8,198,212,0,59,0,51,12,37,15,0,0,29,9,16,0,11,0,21,7,6,20,0,0,0,0,0,0,13,0,16,7,0,60,0,14,7,386,24,171,239,178,187,16,2,7,20,135,0,275,362,26,0,20,2
300,10,24,22,27,16,23,3,7,13,23,29,32,22,12,20,16,1,0,142,158,0,42,12,48,16,31,18,11,0,15,0,14,4,4,0,6,0,0,0,0,0,0,0,0,0,16,12,9,0,0,23,0,19,0,292,8,132,168,111,151,14,4,10,10,106,0,194,218,35,0,24,23
540,14,28,30,52,27,12,0,17,11,40,69,52,32,57,50,25,12,12,253,287,21,83,18,71,20,43,6,20,17,33,0,10,0,16,0,17,11,13,15,12,0,12,0,0,0,0,0,21,11,0,33,4,18,15,524,16,235,305,180,301,11,8,24,16,177,0,363,492,19,0,0,29
595,24,55,59,31,24,3,12,16,59,73,37,32,51,32,41,28,12,6,270,325,5,66,31,86,48,65,30,0,22,29,17,55,10,8,12,14,8,0,30,4,0,9,10,0,0,0,23,0,0,0,2,0,0,11,564,31,230,365,214,324,28,9,6,14,188,0,407,453,28,0,0,114
390,19,29,24,31,19,11,0,23,23,51,44,26,25,14,19,23,6,3,202,188,9,49,0,34,17,15,24,7,10,20,4,19,0,6,0,4,0,0,0,0,0,0,0,0,0,0,19,16,0,0,136,0,0,1,362,28,142,248,151,205,13,0,8,13,100,0,290,293,22,0,34,41
290,8,14,29,28,22,10,9,12,11,16,27,32,23,19,12,5,12,1,156,134,8,40,0,54,32,14,8,24,0,29,0,17,0,10,6,7,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,285,5,191,99,132,116,13,5,12,12,83,0,207,217,49,0,0,24
295,15,34,36,34,19,7,4,9,20,28,12,16,18,13,16,10,4,0,134,161,0,26,6,39,13,16,3,13,0,22,13,1,0,4,0,0,8,2,14,0,5,2,0,0,0,14,20,18,0,0,43,0,0,13,277,18,109,186,138,140,5,0,10,2,77,0,218,262,20,0,13,0
550,18,36,48,63,37,16,11,12,38,56,56,42,25,29,35,19,4,5,285,265,9,87,0,64,28,46,6,24,0,53,0,30,0,9,12,10,5,0,8,8,0,11,1,0,0,0,0,15,0,0,99,0,25,0,529,21,225,325,235,275,17,2,9,12,163,0,387,475,0,15,22,38
340,18,16,22,26,20,5,11,11,13,19,30,18,28,23,22,31,9,18,167,173,7,54,0,63,31,42,8,13,3,14,9,10,0,13,9,0,6,0,9,0,0,0,0,0,0,0,6,0,6,0,21,8,8,0,340,0,207,133,101,198,10,5,6,20,97,0,243,298,37,0,5,0
610,32,39,30,48,32,22,17,20,39,35,35,65,54,50,31,22,9,30,297,313,13,78,14,54,38,75,3,18,11,60,17,50,0,27,26,18,1,2,14,0,0,0,6,0,0,0,14,35,0,0,35,0,0,1,598,12,361,249,209,310,35,1,19,36,202,0,408,552,23,0,16,19
570,0,4,16,8,14,13,5,11,12,18,14,34,36,78,61,86,63,97,243,327,8,80,18,99,30,92,20,19,18,42,8,28,11,0,10,0,8,3,4,6,4,0,0,0,0,0,4,11,4,4,30,0,7,2,563,7,227,343,83,262,44,19,59,103,34,297,239,488,62,20,0,0
440,14,12,21,26,30,7,17,16,12,17,32,27,41,31,35,42,26,34,170,270,0,51,16,46,27,42,7,13,6,18,0,31,10,16,0,20,0,0,3,0,0,10,5,0,0,10,0,36,26,0,30,0,14,3,433,7,235,205,129,201,19,12,28,51,61,0,379,392,48,0,0,0
425,16,31,23,35,22,11,22,15,29,32,28,29,34,42,15,14,14,13,219,206,0,24,9,83,21,41,10,15,0,34,0,34,0,7,0,6,3,0,0,0,0,5,0,0,0,0,8,62,15,4,17,5,22,0,396,29,187,238,160,222,9,9,20,5,108,0,317,331,49,10,13,22
510,20,23,24,51,23,8,14,17,19,66,45,57,31,24,34,21,7,26,228,282,0,41,30,75,15,40,15,10,0,20,19,15,0,1,2,0,10,3,20,0,0,3,0,0,18,0,0,78,10,0,77,0,0,8,498,12,265,245,179,297,2,6,21,5,117,0,393,429,61,12,8,0
680,14,29,63,66,52,27,26,17,38,52,43,52,47,43,34,38,24,15,315,365,22,68,8,53,40,23,4,7,21,35,5,0,1,9,18,5,10,0,14,8,9,0,0,0,0,21,20,140,33,0,79,16,10,1,668,12,241,439,272,342,26,0,24,16,220,0,460,587,26,19,13,35
400,16,28,46,37,25,2,20,8,31,34,26,35,30,17,14,7,6,18,204,196,0,34,0,45,36,13,15,23,4,23,12,31,0,0,9,9,11,11,26,0,0,6,0,0,0,0,0,29,0,0,49,14,0,0,381,19,185,215,164,183,8,5,17,23,109,0,291,314,55,0,15,16
475,32,50,43,34,24,6,0,41,46,51,32,26,21,21,26,4,9,9,220,255,11,52,0,47,14,34,15,29,0,22,8,13,0,19,5,21,19,0,30,0,0,12,0,14,0,0,33,6,24,0,26,10,10,1,450,25,207,268,205,238,15,4,8,5,136,0,339,431,18,0,0,26
435,13,24,52,60,8,5,9,9,36,50,36,31,22,25,19,17,7,12,204,231,0,38,0,56,45,24,9,19,3,16,32,22,0,15,0,16,9,0,19,0,7,10,0,0,0,0,23,0,0,9,55,0,8,0,416,19,210,225,194,181,15,13,18,14,123,0,312,411,8,0,16,0
885,31,43,45,86,36,28,28,47,86,86,95,64,58,44,45,36,18,9,408,477,8,93,9,57,21,29,8,20,0,15,0,12,8,7,0,14,0,0,7,0,5,0,0,0,0,11,0,244,16,0,262,23,16,0,813,72,329,556,318,444,27,16,63,17,148,0,737,685,124,24,48,4
575,20,21,34,60,20,17,25,9,29,47,49,42,35,25,30,20,25,67,247,328,11,77,14,56,61,27,18,19,9,7,4,16,0,15,10,20,6,0,0,0,0,0,0,0,0,5,11,49,0,0,124,6,10,0,462,113,242,333,198,266,13,9,24,65,148,0,427,401,38,0,9,127
450,15,32,43,28,29,15,11,26,30,39,57,36,15,30,20,9,7,8,205,245,0,80,0,45,16,37,0,9,0,0,11,8,0,10,0,4,0,0,11,15,0,0,0,0,0,0,0,66,12,0,97,8,21,0,420,30,92,358,156,253,10,5,10,16,129,0,321,312,22,0,0,116
415,19,30,38,36,24,12,9,19,41,36,38,22,25,24,14,21,3,4,193,222,0,66,8,38,24,28,19,15,2,29,14,19,0,11,0,19,0,2,22,0,0,4,5,0,0,0,0,23,0,0,38,9,7,13,401,14,232,183,154,209,5,3,20,24,96,0,319,344,71,0,0,0
380,11,37,45,26,17,7,18,14,10,40,41,24,25,25,16,8,11,5,194,186,0,63,0,46,11,25,12,17,12,18,0,4,0,6,0,0,5,0,18,7,0,0,0,0,0,0,0,28,0,0,84,0,13,11,371,9,172,208,130,209,4,7,15,15,97,0,283,347,33,0,0,0
405,0,4,14,8,6,0,0,0,12,10,9,6,14,24,83,75,66,74,114,291,0,42,0,58,59,54,7,13,14,27,9,10,10,16,0,14,0,0,15,0,0,0,1,0,0,15,10,19,0,0,0,0,12,0,405,0,57,348,82,82,15,20,106,100,31,0,374,336,14,0,0,55
455,21,28,48,58,21,12,21,30,18,44,40,32,36,16,8,16,6,0,200,255,0,48,0,42,33,25,5,11,9,26,4,0,0,18,10,6,18,0,7,4,0,5,0,0,0,0,32,25,13,0,81,8,15,10,431,24,189,266,194,219,8,3,14,17,123,0,332,362,49,0,15,29
385,10,24,31,33,18,8,10,16,41,23,37,31,25,13,20,21,15,9,174,211,7,56,7,37,16,29,18,1,15,18,0,9,0,11,0,28,13,0,0,0,0,14,0,0,0,0,0,53,9,0,30,0,3,11,373,12,200,185,153,194,9,4,16,9,103,0,282,309,37,0,9,30
535,8,14,11,8,21,15,14,7,15,32,45,42,40,60,68,43,40,52,223,312,0,80,0,79,30,50,27,9,12,45,6,25,0,18,21,20,3,0,0,0,8,6,0,0,0,10,12,33,0,0,28,0,0,13,530,5,223,312,145,191,32,18,85,64,5,298,232,428,28,10,14,55
490,12,8,31,46,21,18,19,25,36,36,44,39,38,37,31,20,13,16,236,254,7,33,0,55,13,25,4,8,6,15,6,0,0,10,6,0,4,5,6,0,7,0,0,0,0,15,0,132,0,0,88,0,44,1,476,14,230,260,171,152,30,17,88,32,0,263,227,316,123,10,37,4
605,13,12,18,23,14,27,18,17,33,22,43,40,46,43,68,71,52,45,236,369,0,82,0,78,45,75,7,38,6,37,4,11,5,6,0,11,0,0,9,1,9,4,0,0,0,9,8,61,15,0,32,28,20,4,594,11,232,373,171,242,22,20,83,67,5,342,258,514,59,0,32,0
460,10,20,16,21,16,17,10,23,20,31,31,21,23,43,29,49,36,44,209,251,0,36,0,50,27,38,12,28,0,6,10,19,0,15,18,10,3,8,6,0,2,0,0,0,0,0,0,81,0,0,64,7,13,7,456,4,154,306,128,169,31,10,78,44,0,143,317,342,22,13,47,36
425,14,10,6,24,21,8,7,12,9,24,29,41,35,47,41,39,30,28,158,267,0,24,8,48,16,20,25,31,0,34,4,12,0,1,20,3,0,7,5,0,1,5,0,0,0,9,0,75,0,0,54,0,23,0,392,33,133,292,129,126,19,18,97,36,40,206,179,386,39,0,0,0
425,22,28,29,18,39,17,9,19,20,38,36,53,22,21,12,20,9,13,220,205,0,51,12,51,32,19,16,8,0,55,0,25,14,0,0,21,6,0,6,0,0,5,0,10,0,0,29,8,0,0,56,0,0,1,404,21,199,226,176,206,14,15,7,7,114,0,311,396,10,0,10,9
505,32,20,45,56,10,29,12,18,34,47,74,27,35,27,28,1,7,3,233,272,0,35,0,66,15,22,12,16,5,26,6,8,0,14,2,3,12,0,0,0,0,0,10,0,0,11,19,82,0,0,104,11,25,1,469,36,275,230,189,263,13,3,25,12,111,0,394,441,22,5,7,30
495,16,33,50,43,19,9,13,33,33,58,48,38,35,28,7,16,8,8,236,259,8,59,0,19,12,24,5,7,0,4,9,11,0,8,4,10,8,0,0,0,4,0,6,0,0,0,0,51,12,0,200,7,27,0,468,27,217,278,189,257,7,11,13,18,127,0,368,425,49,0,21,0
465,17,24,34,45,36,12,12,10,41,31,43,33,47,35,12,9,18,6,216,249,0,45,9,42,25,32,5,14,0,17,9,11,0,5,0,10,11,0,26,0,0,23,0,0,0,18,0,70,0,0,64,0,29,0,451,14,235,230,174,228,27,5,8,23,133,0,332,442,0,11,12,0
590,14,9,17,36,26,12,22,11,22,48,42,26,43,25,14,20,54,149,248,342,0,63,11,42,30,45,67,26,13,25,0,45,0,13,11,14,3,0,5,0,0,0,0,0,0,0,0,75,21,0,67,0,0,14,361,229,222,368,144,221,22,5,57,141,105,0,485,342,14,0,0,234
575,24,30,40,28,24,29,19,28,31,55,64,33,67,35,31,11,21,5,269,306,0,66,18,43,35,24,0,39,31,2,0,20,0,2,12,0,10,0,14,0,0,20,0,0,0,0,8,40,0,0,163,0,28,0,543,32,211,364,211,310,13,5,20,16,168,0,407,453,0,0,27,95
555,20,15,46,23,22,37,19,17,35,32,54,70,41,25,44,25,30,0,240,315,4,36,0,57,17,18,14,6,0,42,11,11,5,10,0,0,0,0,15,0,0,7,0,0,0,14,0,104,7,0,152,0,25,0,535,20,210,345,189,295,29,2,16,24,106,91,358,418,22,12,67,36
