"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo","official_lang","no.official_lang","work.official_lang","work.no.official_lang","no.married","married","living.common.law","separated","divorced","widowed","single.detached.house","apartment","other.attached","non.movers","nonmigrants.movers","interprovincial.movers","external.movers","other.movers"
370,4,9,15,19,26,11,21,16,20,31,31,36,47,36,26,10,5,7,185,185,5,57,0,49,7,18,7,8,10,26,4,10,0,2,5,5,4,0,12,1,0,3,2,0,0,8,19,11,15,2,44,23,9,4,365,5,271,99,110,195,20,5,25,15,96,120,154,315,29,2,2,22
500,15,26,22,39,25,24,27,25,31,60,44,54,37,25,20,16,6,4,252,248,5,70,2,51,16,22,6,8,8,27,1,10,3,6,3,12,10,1,8,0,1,7,3,0,2,6,1,21,46,8,84,33,19,0,496,4,340,160,201,200,35,15,29,20,157,200,143,459,15,0,2,24
430,11,28,24,25,14,21,18,16,30,48,39,34,33,28,23,15,12,11,205,225,3,60,0,56,7,15,5,11,5,13,2,5,2,8,7,6,7,1,10,4,1,4,0,0,0,7,7,10,40,5,85,24,20,0,425,5,244,186,144,200,20,4,40,22,141,183,106,394,11,4,5,16
545,5,21,15,34,39,23,26,22,31,43,44,54,51,38,35,39,15,10,265,280,0,59,3,43,14,21,10,6,12,28,8,9,1,7,7,6,6,1,23,1,3,11,3,0,1,1,10,19,50,8,115,28,30,1,530,15,355,190,154,311,29,5,25,21,196,221,128,498,18,2,3,24
595,10,33,38,34,30,22,21,17,25,56,56,59,56,49,39,25,19,6,299,296,3,50,0,64,13,17,13,6,20,17,0,10,4,9,4,5,5,2,18,9,0,6,6,0,0,5,14,18,71,10,121,31,40,4,585,10,320,275,190,330,25,5,20,25,213,229,153,546,40,0,2,7
400,10,23,20,34,34,14,16,22,22,20,45,35,30,35,15,9,10,6,187,213,3,51,1,27,10,12,12,3,8,21,0,2,0,5,7,7,5,1,8,3,1,6,0,0,0,11,1,16,43,10,81,23,19,3,390,10,220,180,150,199,19,1,15,16,129,172,99,369,11,6,3,11
830,27,27,34,74,46,41,35,43,51,66,83,65,69,66,50,24,12,17,411,419,9,90,0,79,18,13,14,12,17,21,4,14,5,8,8,8,9,3,6,11,4,4,5,0,2,10,2,24,97,14,196,50,66,7,784,46,448,382,279,445,41,14,25,26,287,374,169,692,61,12,19,46
510,19,30,30,31,30,24,23,30,29,35,35,41,39,40,34,25,9,6,248,262,3,56,0,37,6,15,3,2,6,22,0,2,2,5,3,9,6,3,16,2,3,7,1,0,0,4,6,41,49,11,110,27,49,4,485,25,210,300,180,278,23,4,10,15,177,196,137,400,44,10,19,37
360,5,18,25,30,25,18,13,15,20,35,30,35,30,20,20,10,6,5,182,178,3,55,0,31,7,10,7,3,10,16,0,5,0,0,3,8,6,2,4,2,0,1,0,1,0,4,10,30,39,4,66,13,17,3,345,15,214,146,135,192,10,8,10,5,108,149,103,325,25,0,5,5
1070,20,39,57,69,55,40,56,63,61,90,93,89,85,90,56,52,31,24,520,550,8,123,1,78,19,26,13,11,23,34,5,17,8,22,16,15,13,5,12,6,5,21,3,0,1,12,8,62,108,24,235,65,64,7,1019,51,565,505,315,624,45,14,31,41,353,450,267,894,111,13,20,32
495,20,29,31,50,29,10,23,20,40,40,45,40,25,25,30,15,10,13,235,260,4,71,0,48,6,16,8,1,5,25,1,4,1,7,6,9,4,1,23,0,3,4,2,0,0,1,5,22,49,10,104,24,29,2,485,10,255,240,200,256,10,4,10,15,162,184,149,452,30,2,4,7
410,16,34,37,30,10,11,12,20,35,51,25,40,25,19,14,9,12,10,190,220,2,53,0,27,11,10,6,1,3,16,0,8,1,8,1,8,8,1,10,2,4,1,1,0,0,12,4,19,44,7,87,26,28,1,385,25,190,220,160,205,15,5,10,15,132,153,125,359,25,1,17,8
300,10,19,19,23,15,14,13,10,19,20,28,33,19,20,15,16,5,2,145,155,1,42,1,20,6,12,6,4,1,14,1,6,4,3,2,6,4,0,7,2,0,2,0,1,0,6,8,12,27,8,62,11,20,1,290,10,130,170,105,150,20,5,10,10,100,95,105,230,29,0,21,20
540,11,29,29,34,33,11,13,15,27,44,64,49,35,54,34,28,14,16,255,285,6,63,2,68,6,29,3,5,15,26,2,9,1,14,0,10,17,5,15,8,1,6,0,1,0,5,4,28,35,10,96,19,27,4,530,10,250,290,174,299,13,9,30,15,190,198,152,494,25,0,3,18
595,23,46,40,36,27,15,18,20,48,66,46,31,48,36,46,25,15,9,285,310,8,61,4,57,17,21,14,3,11,19,7,7,4,4,10,11,6,3,19,4,1,9,5,1,0,10,7,17,61,6,126,34,24,4,570,25,235,360,213,304,38,10,15,15,195,212,188,490,39,3,7,56
390,21,26,25,31,21,16,7,21,25,37,42,30,26,13,16,21,7,5,190,200,4,44,1,29,4,11,4,7,3,14,1,8,1,5,0,4,3,2,2,3,0,4,2,0,0,6,11,17,31,6,123,20,18,2,360,30,146,244,150,204,10,3,9,14,120,154,116,298,25,3,26,38
290,10,20,10,25,29,13,17,9,15,20,25,26,20,20,15,10,5,1,145,145,7,36,0,43,6,15,7,4,2,10,0,4,0,5,5,6,7,1,17,0,1,2,0,0,0,2,4,9,23,0,40,15,17,2,280,10,184,106,124,125,15,7,9,10,91,115,84,216,46,1,2,25
295,19,25,25,30,15,6,9,11,25,28,20,15,15,20,11,10,5,6,149,146,0,26,0,24,4,9,4,2,2,14,2,4,0,5,4,2,5,2,10,2,4,1,0,0,1,10,6,15,30,5,63,19,14,6,275,20,115,180,133,145,7,1,4,5,81,109,105,260,25,0,10,0
550,14,38,45,56,37,20,9,15,50,45,50,45,36,29,24,15,14,8,282,268,9,82,2,58,19,30,8,11,4,20,0,14,1,8,10,13,5,0,8,3,1,6,2,0,1,4,8,14,33,5,112,26,31,2,535,15,235,315,225,282,14,5,14,10,165,157,228,471,19,7,19,34
340,14,13,8,23,22,8,9,21,18,21,28,28,33,23,28,24,11,8,168,172,5,48,0,43,10,16,10,7,5,16,3,9,2,10,10,2,9,0,8,2,0,1,1,0,0,2,7,6,20,2,58,14,13,1,335,5,195,145,100,201,9,4,11,15,105,122,113,285,37,1,13,4
610,24,34,29,48,38,16,17,22,34,43,34,63,58,53,38,29,13,17,299,311,5,77,4,68,23,38,4,14,14,45,3,15,2,13,15,15,4,5,19,1,1,2,6,0,0,3,20,31,24,9,80,19,29,2,600,10,365,245,204,315,35,5,20,31,210,152,248,549,30,2,12,17
570,10,16,10,14,15,23,17,15,23,41,38,41,44,74,64,49,47,29,235,335,7,65,0,69,16,36,18,13,16,37,8,13,6,5,7,5,6,4,11,4,4,3,1,0,1,4,8,17,33,9,92,23,28,1,549,21,225,345,104,285,41,15,61,64,141,299,130,476,70,6,2,16
440,13,14,15,24,30,21,23,16,24,25,32,30,35,29,33,38,23,15,180,260,4,46,1,49,14,24,8,11,7,23,2,11,5,9,4,9,5,0,6,0,1,7,1,0,0,8,3,34,31,4,58,25,26,4,430,10,230,210,130,200,26,10,30,44,123,174,143,399,35,0,3,3
425,15,31,28,30,26,14,18,21,26,31,32,31,31,36,15,15,15,10,212,213,4,24,0,46,10,20,9,10,3,16,2,8,0,7,0,10,6,2,4,1,2,4,1,0,0,5,12,34,42,12,82,19,29,1,400,25,200,225,164,215,11,7,20,8,125,154,146,317,55,9,15,29
510,15,20,35,46,31,15,15,20,23,46,43,46,36,30,36,20,10,23,242,268,2,39,3,70,17,38,11,13,3,19,5,13,0,2,2,3,9,4,23,0,2,5,2,1,2,3,4,55,24,3,78,29,19,7,495,15,285,225,180,285,8,5,17,15,137,161,212,430,55,10,10,5
680,15,34,54,59,44,30,25,20,39,54,54,54,49,39,39,30,20,21,333,347,12,66,0,34,18,28,5,8,16,36,5,2,4,7,11,9,8,1,15,10,7,2,2,0,2,17,20,68,52,10,143,31,29,2,655,25,260,420,258,340,29,3,30,20,220,231,229,580,36,10,14,40
400,15,24,33,36,25,10,15,10,25,40,35,30,30,20,21,9,7,15,202,198,0,33,0,40,19,22,9,5,4,24,0,6,0,0,12,13,12,3,20,0,2,5,0,0,0,3,4,31,28,1,60,21,23,0,385,15,180,220,160,195,10,5,15,15,105,101,194,300,69,1,10,20
475,25,49,44,29,29,10,4,34,39,44,34,29,29,24,20,10,10,12,227,248,4,45,0,54,13,22,11,8,1,19,2,7,1,9,6,12,15,0,29,0,1,7,1,0,0,8,24,15,35,6,82,14,22,2,450,25,220,255,200,235,20,5,10,5,135,125,215,423,24,0,3,25
435,18,25,41,43,15,7,12,12,33,53,38,32,19,24,20,19,10,14,203,232,5,42,0,47,10,20,8,4,4,19,4,5,0,11,2,6,11,2,20,0,4,8,1,0,1,6,17,12,31,13,74,27,20,1,415,20,210,225,175,200,15,10,20,15,124,139,172,408,10,1,12,4
885,30,39,49,72,39,39,36,44,75,74,94,73,64,49,47,30,20,11,434,451,9,85,1,46,17,27,12,13,12,15,2,9,3,6,1,18,7,0,12,2,1,4,4,1,2,12,15,66,81,13,262,58,65,4,812,73,340,545,315,440,26,19,60,25,260,377,248,689,114,20,39,23
575,20,20,35,55,30,20,15,14,26,41,51,40,36,40,35,15,25,57,250,325,13,68,2,55,16,25,8,11,6,6,6,13,1,14,7,11,9,1,2,1,1,6,0,0,2,10,10,44,44,10,131,21,21,0,470,105,230,345,190,260,19,10,20,76,151,197,227,436,42,4,17,76
450,20,29,40,35,25,15,9,25,30,35,45,35,26,30,20,14,5,12,207,243,2,80,0,51,11,28,2,6,3,2,1,12,1,5,4,6,1,0,5,6,0,0,1,0,0,5,4,53,25,4,92,13,26,1,420,30,115,335,171,235,10,5,15,14,141,110,199,339,31,3,7,70
415,15,22,32,36,30,15,21,21,30,36,26,25,30,30,19,15,6,6,201,214,0,56,0,42,10,22,7,6,3,16,2,7,2,8,1,12,2,7,25,3,0,5,4,0,0,4,3,21,26,11,66,20,18,6,405,10,245,170,165,200,11,6,15,18,119,134,162,335,69,0,2,9
380,15,30,31,30,15,5,15,16,17,45,36,31,20,20,20,14,10,10,190,190,0,66,0,43,11,15,10,5,11,18,0,5,0,10,0,3,7,1,16,8,0,0,1,0,0,6,4,29,5,2,76,10,12,6,370,10,175,205,130,215,5,5,10,15,106,68,206,350,27,0,0,3
405,15,7,10,11,14,2,5,3,9,10,12,10,14,30,76,64,62,51,121,284,2,39,0,65,23,35,6,9,15,29,2,7,7,12,3,20,2,2,16,0,0,0,1,0,0,10,10,17,5,4,41,11,11,1,399,6,50,355,65,128,10,19,76,107,91,146,168,340,15,0,1,49
