"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo","official_lang","no.official_lang","work.official_lang","work.no.official_lang","no.married","married","living.common.law","separated","divorced","widowed","single.detached.house","apartment","other.attached","non.movers","nonmigrants.movers","interprovincial.movers","external.movers","other.movers"
370,3,13,11,21,28,6,22,21,17,40,29,37,45,26,28,9,7,7,180,190,8,73,0,47,19,27,13,11,9,32,3,11,0,3,4,5,5,0,10,0,3,0,0,0,0,9,21,14,0,0,27,0,11,5,367,3,282,88,117,187,19,5,27,15,98,0,272,327,20,0,0,23
500,26,26,39,38,24,19,18,27,26,66,38,45,29,28,24,22,4,1,253,247,18,80,8,72,37,56,15,16,17,31,9,14,9,3,10,16,27,0,0,0,0,5,5,0,0,0,0,0,0,0,35,0,7,10,500,0,319,181,200,199,38,13,27,23,60,0,440,450,22,0,0,28
430,19,33,21,19,13,13,2,9,29,51,44,35,40,36,30,13,14,9,200,230,0,83,10,73,29,40,6,8,8,14,16,29,0,9,8,3,3,0,4,5,2,0,0,0,0,0,8,11,17,0,20,8,16,0,425,5,236,194,138,208,17,8,39,20,145,39,246,405,0,13,0,12
545,10,20,31,28,45,15,11,10,33,43,42,53,48,44,43,39,21,9,281,264,0,56,7,108,54,71,10,17,13,40,7,47,5,6,8,0,6,0,21,0,0,0,4,0,0,0,13,19,0,0,33,0,0,0,542,3,346,199,161,298,39,5,24,18,197,0,348,502,6,0,0,37
595,11,43,38,45,33,9,13,4,24,60,57,56,58,41,47,26,23,7,282,313,0,54,27,77,40,43,19,23,17,31,26,39,3,22,30,0,6,0,14,0,0,1,8,0,0,0,24,14,17,0,44,0,11,5,581,14,323,272,186,345,22,4,18,20,216,0,379,545,50,0,0,0
400,15,37,23,47,24,8,4,21,18,14,45,31,39,33,19,3,16,3,173,227,0,65,13,67,24,32,18,8,8,27,0,11,0,5,9,8,7,0,11,5,5,0,0,0,0,22,0,0,11,6,32,0,0,6,391,9,194,206,148,203,20,0,14,15,134,0,266,381,19,0,0,0
830,23,23,71,80,37,20,15,30,36,75,108,53,70,75,50,32,16,16,402,428,12,149,9,155,59,69,30,34,26,38,18,23,6,20,8,9,5,31,0,0,0,0,8,0,0,9,0,14,0,0,41,32,19,6,820,10,445,385,262,451,47,14,27,29,301,0,529,675,22,6,0,127
510,20,31,37,44,29,12,17,21,28,37,38,54,52,32,24,27,5,2,238,272,0,51,11,35,20,36,10,7,10,29,0,20,0,2,14,9,5,15,14,0,6,0,1,0,0,0,17,44,11,0,64,12,56,11,480,30,215,295,187,286,23,0,5,9,158,0,352,382,48,7,16,57
360,1,18,31,35,23,13,16,17,21,31,30,29,31,17,23,11,7,6,177,183,0,78,4,27,9,35,6,20,8,28,0,23,0,0,3,8,8,0,0,0,0,0,0,0,0,0,11,25,0,0,54,0,0,13,347,13,211,149,144,188,15,0,7,6,101,0,259,324,25,0,11,0
1070,23,39,54,78,53,38,31,33,64,82,94,96,74,104,84,52,32,39,503,567,6,127,19,73,47,48,24,14,21,38,11,55,8,19,21,12,0,11,15,3,0,18,18,15,0,16,8,181,27,8,107,20,71,9,1030,40,564,506,307,630,47,13,24,49,175,144,751,893,127,14,20,16
495,16,30,44,59,33,14,2,19,34,40,39,39,27,27,27,20,12,13,242,253,0,81,0,79,40,33,19,19,2,38,6,28,0,19,3,15,0,0,15,0,6,0,8,0,0,0,0,20,0,0,50,14,0,0,487,8,252,243,204,254,12,0,8,17,171,0,324,471,24,0,0,0
410,25,30,52,30,7,9,2,20,34,59,29,32,29,24,8,6,5,9,202,208,0,50,0,39,10,30,12,0,0,30,7,21,0,23,0,19,6,9,17,0,4,0,0,0,0,17,0,17,7,0,70,0,12,10,377,33,188,222,151,214,14,3,7,21,142,0,268,370,17,0,15,8
300,12,12,22,25,16,17,8,6,18,13,27,38,30,22,19,12,3,0,139,161,0,28,12,48,16,38,10,10,0,12,0,17,3,8,0,6,0,0,0,0,0,0,0,0,0,17,7,11,0,0,43,0,14,0,287,13,135,165,100,156,18,3,7,16,107,0,193,222,27,0,29,22
540,9,35,22,48,41,2,0,11,12,42,69,49,38,55,52,25,8,22,264,276,21,78,13,71,21,38,6,19,19,28,0,9,0,15,0,12,23,7,19,4,0,14,0,0,0,0,0,28,12,0,46,4,23,10,531,9,251,289,177,308,8,8,28,11,187,0,353,496,28,0,0,16
595,22,40,52,29,28,6,11,25,56,62,53,31,43,42,47,23,18,7,287,308,12,67,28,109,39,60,23,0,18,36,9,37,7,7,10,18,7,0,42,6,0,10,7,0,0,0,23,0,0,0,8,0,0,12,568,27,234,361,201,313,48,12,7,14,195,0,400,456,30,0,0,109
390,29,21,33,22,14,17,0,24,28,41,46,37,25,12,14,22,3,2,178,212,6,60,0,32,18,27,15,10,8,17,2,16,0,4,0,5,1,0,0,0,0,0,0,0,0,0,27,19,0,0,121,0,0,2,352,38,146,244,151,212,12,0,4,11,126,0,264,293,20,0,39,38
290,3,17,24,25,30,12,4,10,14,19,24,34,17,22,14,8,8,5,149,141,7,35,0,64,24,23,6,20,0,35,0,16,0,11,8,8,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,282,8,197,93,120,125,18,4,11,12,95,0,195,228,45,0,0,17
295,22,29,36,31,16,4,7,4,28,29,14,17,12,18,15,9,4,0,155,140,0,28,4,40,10,32,3,6,0,23,10,7,0,5,0,0,5,2,9,0,7,1,0,0,0,13,19,17,0,0,43,0,0,11,277,18,119,176,144,141,2,0,3,5,91,0,204,264,25,0,6,0
550,12,39,43,54,41,28,8,25,47,45,54,40,39,32,20,16,3,4,282,268,8,85,0,60,31,42,12,29,0,51,0,19,0,8,16,17,4,0,7,13,0,6,0,0,0,0,0,15,0,0,110,0,17,0,533,17,258,292,218,294,16,3,8,11,179,0,371,481,0,16,22,31
340,10,12,20,21,18,3,8,20,13,24,38,21,28,26,35,19,10,14,170,170,4,48,0,78,25,29,23,16,5,21,5,6,0,13,14,0,6,0,9,0,0,0,0,0,0,0,4,0,4,0,15,7,8,0,340,0,189,151,90,213,10,2,9,16,103,0,237,291,34,0,15,0
610,21,35,33,51,38,19,17,17,39,33,38,59,53,52,38,27,12,28,304,306,18,69,11,69,23,60,2,20,14,58,23,38,0,27,22,20,4,9,24,0,0,0,9,0,0,0,23,34,0,0,32,0,0,1,595,15,350,260,209,310,35,5,19,32,225,0,385,549,29,0,19,13
570,0,3,9,9,19,12,2,10,9,17,22,32,43,84,69,68,69,93,245,325,13,70,15,127,34,81,17,18,18,36,6,25,9,0,7,0,4,4,8,6,1,0,0,0,0,0,6,16,6,3,30,0,7,3,564,6,225,345,72,288,36,15,64,95,23,326,221,467,78,25,0,0
