"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo","official_lang","no.official_lang","work.official_lang","work.no.official_lang","no.married","married","living.common.law","separated","divorced","widowed","single.detached.house","apartment","other.attached","non.movers","nonmigrants.movers","interprovincial.movers","external.movers","other.movers"
370,17,18,17,22,24,22,18,26,30,21,21,34,32,23,14,11,10,10,179,191,2,43,2,18,5,4,3,3,4,8,0,4,0,3,2,9,3,0,8,2,1,8,0,0,0,5,3,11,54,14,94,28,29,0,340,30,193,177,134,175,17,8,19,17,135,186,49,314,23,2,12,19
500,23,28,22,29,27,25,35,41,35,43,38,41,39,20,19,14,12,9,244,256,3,38,0,21,5,13,1,4,4,16,2,4,1,8,4,4,3,2,8,0,5,4,1,0,0,12,4,16,72,11,143,42,41,8,460,40,258,242,180,245,30,7,15,23,170,256,74,417,41,2,9,31
430,17,19,18,21,30,25,39,22,26,40,42,37,25,26,17,11,11,4,213,217,3,30,0,21,7,11,4,1,4,9,0,5,1,6,5,6,6,0,10,2,0,2,2,0,0,4,7,19,58,11,122,32,39,3,383,47,221,209,143,223,24,9,16,15,150,225,55,366,37,5,8,14
545,15,23,39,22,42,34,38,33,34,41,36,37,43,43,16,19,17,13,306,239,6,39,1,29,3,12,2,4,8,7,1,2,3,5,2,3,5,4,9,2,1,6,2,0,0,5,7,29,68,15,180,43,42,0,490,55,277,268,196,268,16,14,19,32,205,286,54,460,44,4,17,20
595,21,25,23,36,38,41,51,42,33,41,41,58,47,40,20,19,14,5,308,287,3,42,0,29,4,14,8,6,5,14,3,3,0,5,6,4,4,4,12,2,4,2,2,0,0,12,11,14,99,16,168,41,55,3,542,53,301,294,214,292,35,6,24,24,212,302,81,497,51,3,15,29
400,15,15,22,21,33,28,27,20,26,35,32,33,35,17,18,8,9,6,212,188,4,22,0,19,4,6,4,4,5,6,2,4,0,2,3,4,3,1,2,1,0,6,2,0,0,7,7,16,53,4,130,36,40,3,360,40,220,180,162,181,16,10,12,19,121,212,67,354,26,1,8,11
830,29,45,43,37,53,54,74,62,63,62,83,53,46,33,27,25,26,15,432,398,10,74,1,28,8,22,15,6,10,17,2,7,4,10,1,10,14,4,16,3,2,16,2,0,2,9,14,34,111,20,235,54,67,2,772,58,432,398,307,380,44,20,42,37,301,417,112,696,66,4,28,36
510,20,21,26,36,36,38,28,36,34,38,38,38,31,34,21,12,11,12,265,245,4,41,0,21,6,9,6,3,6,11,0,5,2,6,6,9,4,2,14,2,1,2,3,0,1,2,8,24,62,18,151,29,51,1,478,32,270,240,186,235,26,11,29,23,157,285,68,447,33,4,8,18
360,12,18,18,16,22,24,30,19,22,27,43,21,24,22,10,13,8,11,189,171,5,34,0,18,5,4,1,2,6,9,0,3,1,1,2,2,4,3,7,3,1,6,0,0,0,8,3,20,43,11,107,19,31,1,333,27,178,182,128,170,13,6,23,20,113,187,60,312,24,3,12,9
1070,47,52,50,51,82,73,79,68,84,89,88,76,49,59,36,38,26,23,575,495,7,83,0,52,5,23,10,9,9,26,1,6,4,10,11,12,11,4,24,5,5,14,3,1,4,18,7,43,155,24,311,81,89,3,992,78,562,508,418,490,47,15,53,47,377,559,134,895,96,9,32,38
