"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo","official_lang","no.official_lang","work.official_lang","work.no.official_lang","no.married","married","living.common.law","separated","divorced","widowed","single.detached.house","apartment","other.attached","non.movers","nonmigrants.movers","interprovincial.movers","external.movers","other.movers"
370,5,9,10,17,26,21,21,21,21,33,31,36,46,30,17,11,7,8,185,185,7,53,0,47,18,13,11,11,10,13,1,9,0,6,9,3,4,0,18,1,3,2,1,0,0,9,6,11,19,2,45,17,15,6,365,5,275,95,110,194,20,5,25,16,106,139,125,315,29,3,0,23
500,19,27,29,39,26,22,19,27,29,58,44,52,40,24,18,17,5,5,251,249,5,70,0,49,17,24,8,6,12,18,6,14,9,5,6,9,15,3,6,0,2,7,4,1,1,4,8,9,39,10,73,32,24,4,498,2,340,160,200,200,35,15,30,20,155,200,145,460,16,1,1,22
430,10,17,24,24,17,19,16,16,29,48,40,36,45,27,23,14,14,11,205,225,2,54,2,59,11,20,4,9,5,10,2,14,2,5,1,7,4,2,6,3,3,8,0,0,1,4,10,10,43,5,84,20,18,2,419,11,245,185,145,200,20,7,36,22,125,173,132,395,10,4,2,19
545,6,14,29,33,38,15,20,29,36,44,49,54,52,49,29,23,15,10,265,280,1,59,3,55,17,24,6,8,10,26,5,14,7,7,7,4,6,0,20,2,1,3,3,0,0,4,10,19,51,7,107,31,27,1,537,8,355,190,156,313,30,4,26,16,196,193,156,501,19,1,0,24
595,8,30,31,39,31,23,20,19,26,56,56,61,55,52,39,25,19,5,300,295,3,51,0,73,10,32,10,8,12,26,1,6,4,19,4,8,2,3,17,3,1,5,2,0,0,10,13,16,61,6,127,29,30,3,585,10,320,275,189,326,25,6,24,25,213,216,166,550,34,2,5,4
400,10,21,20,35,35,10,15,21,19,24,46,35,30,35,15,8,10,11,187,213,2,47,3,33,11,14,6,9,10,18,0,7,2,6,5,2,9,0,7,5,1,1,1,1,0,8,1,12,44,6,93,19,16,1,390,10,220,180,150,200,18,2,15,15,129,158,113,375,14,2,3,6
830,26,23,49,52,45,43,40,43,42,66,88,64,70,65,51,30,15,18,410,420,8,116,2,101,15,33,13,9,16,30,5,12,3,13,8,8,10,6,10,3,3,3,3,1,1,12,6,24,74,14,168,48,48,4,805,25,450,380,280,443,40,15,25,27,280,325,225,682,53,11,14,70
510,20,30,30,44,30,16,21,14,29,35,35,54,46,40,35,25,5,1,248,262,3,55,1,42,12,17,7,8,8,18,1,7,2,3,2,9,5,5,16,3,0,4,1,0,0,4,12,34,38,6,117,24,44,2,485,25,210,300,180,264,24,6,21,15,176,194,140,410,41,6,17,36
360,4,20,23,29,25,14,14,15,20,35,30,35,29,20,25,12,5,5,182,178,2,49,0,30,9,13,2,3,7,15,2,2,3,2,4,8,6,1,6,1,1,1,1,0,0,3,12,25,32,7,75,15,17,6,345,15,216,144,135,191,10,5,11,8,122,125,113,324,24,2,8,2
1070,21,40,56,63,54,44,57,58,67,90,92,91,79,90,65,44,30,29,520,550,7,108,1,79,27,36,17,9,23,35,2,23,7,16,11,15,9,2,13,5,1,14,5,1,0,12,8,56,124,31,237,55,76,5,1020,50,564,506,315,625,45,15,30,40,357,466,247,895,109,9,20,37
