SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,HISP,RACE,PWGTP1
2018HU1266283,5,4,59303,3,0_9,f,not.hisp.latino,white,69
2018HU0907468,5,3,59304,3,0_9,m,not.hisp.latino,white,62
2018HU0683039,5,1,59302,3,30_39,f,not.hisp.latino,white,221
2018HU0864770,5,2,59307,3,50_59,f,not.hisp.latino,asian,111
2018HU0641836,5,2,59302,3,50_59,m,not.hisp.latino,white,173
2018HU0368682,5,1,59307,3,60_69,m,not.hisp.latino,white,47
2018HU0919418,5,1,59301,3,50_59,m,not.hisp.latino,white,38
2018HU0287011,5,1,59308,3,30_39,f,not.hisp.latino,two.,189
2018HU0049341,5,4,59308,3,10_19,m,not.hisp.latino,two.,85
2018HU0851979,5,4,59307,3,10_19,f,hisp.latino,white,103
2018HU0275191,5,3,59304,3,10_19,m,not.hisp.latino,white,178
2018HU0695672,5,1,59307,3,20_29,m,not.hisp.latino,asian,56
2018HU1194943,5,3,59307,3,10_19,f,not.hisp.latino,white,77
2018HU1158566,5,3,59301,3,20_29,m,not.hisp.latino,asian,103
2018HU1258846,5,2,59306,3,30_39,m,not.hisp.latino,white,54
2018HU1271683,5,5,59303,3,60_69,m,not.hisp.latino,white,30
2018HU0494938,5,4,59306,3,0_9,m,not.hisp.latino,two.,149
2018HU0445561,5,2,59303,3,40_49,m,hisp.latino,white,86
2018HU0222554,5,6,59301,3,0_9,f,not.hisp.latino,two.,91
2018HU0389454,5,2,59309,3,40_49,f,not.hisp.latino,white,182
2018HU0593244,5,1,59307,3,40_49,f,not.hisp.latino,two.,93
2018HU0526982,5,1,59307,3,30_39,m,not.hisp.latino,two.,180
2018HU0647638,5,4,59302,3,10_19,m,not.hisp.latino,two.,171
2018HU1067929,5,1,59303,3,60_69,m,not.hisp.latino,white,129
2018HU0351993,5,2,59301,3,70_79,f,not.hisp.latino,white,56
2018HU0882258,5,1,59306,3,80_89,m,not.hisp.latino,white,153
2018HU0911599,5,3,59309,3,10_19,m,not.hisp.latino,two.,14
2018HU1042418,5,1,59305,3,60_69,m,not.hisp.latino,white,16
2018HU1241283,5,2,59306,3,10_19,f,hisp.latino,white,104
2018HU0340226,5,3,59307,3,80_89,f,not.hisp.latino,two.,104
2018HU1208824,5,5,59308,3,0_9,f,not.hisp.latino,white,32
2018HU1184522,5,1,59305,3,50_59,f,not.hisp.latino,white,77
