SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,HISP,RACE,PWGTP1
2018HU0009190,5,1,51097,3,50_59,m,not.hisp.latino,white,180
2018HU0315474,5,1,51110,3,30_39,m,not.hisp.latino,white,217
2018HU1271439,5,1,51255,3,50_59,f,not.hisp.latino,white,26
2018HU0089135,5,3,51096,3,20_29,f,not.hisp.latino,black.aa,124
2018HU0908783,5,1,59304,3,30_39,m,not.hisp.latino,two.,175
2018HU1344412,5,2,59305,3,10_19,m,hisp.latino,white,57
2018HU0234018,5,2,51225,3,50_59,f,not.hisp.latino,white,281
2018HU0823676,5,1,51165,3,20_29,m,hisp.latino,white,44
2018HU0053341,5,6,51110,3,20_29,f,hisp.latino,white,76
2018HU0052718,5,1,51096,3,20_29,m,not.hisp.latino,two.,137
2018HU1021931,5,2,51165,3,60_69,f,not.hisp.latino,white,36
2018HU0263330,5,1,51215,3,50_59,m,not.hisp.latino,white,130
2018HU0897346,5,1,51010,3,80_89,f,not.hisp.latino,white,2
2018HU0703019,5,2,51085,3,20_29,f,not.hisp.latino,white,151
2018HU0314825,5,2,51246,3,10_19,m,not.hisp.latino,white,135
2018HU0653960,5,2,51040,3,20_29,m,not.hisp.latino,white,56
2018HU0727703,5,2,51105,3,40_49,f,not.hisp.latino,white,16
2018HU0221722,5,3,51186,3,0_9,f,not.hisp.latino,two.,185
2018HU0446304,5,4,51087,3,0_9,m,not.hisp.latino,white,14
2018HU1286806,5,1,10703,3,40_49,f,not.hisp.latino,white,73
2018HU0123935,5,1,51164,3,30_39,m,not.hisp.latino,white,219
2018HU0476198,5,1,51044,3,20_29,f,not.hisp.latino,white,8
2018HU0265277,5,1,51096,3,40_49,m,not.hisp.latino,white,29
2018HU0099513,5,1,51085,3,50_59,m,not.hisp.latino,white,74
2018HU0699732,5,1,51105,3,50_59,m,not.hisp.latino,white,138
2018HU0797200,5,2,51105,3,50_59,f,not.hisp.latino,white,43
2018HU0215899,5,4,59307,3,0_9,m,not.hisp.latino,white,56
2018HU0825154,5,1,51010,3,40_49,f,not.hisp.latino,white,70
2018HU1110796,5,5,55001,3,0_9,m,not.hisp.latino,black.aa,199
2018HU0889422,5,1,51167,3,40_49,m,not.hisp.latino,white,59
2018HU1139088,5,2,51145,3,20_29,m,not.hisp.latino,white,19
2018HU0916710,5,2,59302,3,50_59,f,hisp.latino,other,149
2018HU1086030,5,3,59307,3,20_29,m,hisp.latino,white,821
2018HU0190718,5,1,55001,3,60_69,m,not.hisp.latino,black.aa,40
2018HU0832155,5,2,51097,3,40_49,m,not.hisp.latino,black.aa,149
2018HU1313405,5,2,51225,3,50_59,f,not.hisp.latino,white,165
2018HU0241386,5,2,10701,3,60_69,f,not.hisp.latino,white,58
2018HU1053222,5,1,51090,3,30_39,m,not.hisp.latino,white,20
2018HU0161704,5,2,10701,3,10_19,m,not.hisp.latino,two.,24
2018HU0101233,5,2,51040,3,30_39,m,not.hisp.latino,white,37
2018HU0471736,5,4,51105,3,10_19,m,not.hisp.latino,two.,17
2018HU0400181,5,1,51225,3,30_39,f,not.hisp.latino,white,60
2018HU0473224,5,1,51225,3,70_79,m,not.hisp.latino,white,125
2018HU0329539,5,3,51105,3,10_19,f,not.hisp.latino,two.,60
2018HU0538320,5,1,51235,3,30_39,f,not.hisp.latino,white,149
2018HU1214736,5,3,59303,3,30_39,m,hisp.latino,white,104
