SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,HISP,RACE,PWGTP1
2018HU0674631,5,2,59305,3,70_79,f,not.hisp.latino,white,12
2018HU0988470,5,1,59308,3,30_39,f,not.hisp.latino,two.,101
2018HU0563896,5,1,59309,3,50_59,m,not.hisp.latino,white,19
2018HU0580467,5,1,59308,3,50_59,m,not.hisp.latino,white,64
2018HU0780729,5,1,59307,3,60_69,f,not.hisp.latino,white,20
2018HU0026631,5,1,59307,3,50_59,f,not.hisp.latino,white,50
2018HU0213491,5,3,59305,3,0_9,m,not.hisp.latino,white,53
2018HU0750208,5,3,59305,3,0_9,m,not.hisp.latino,white,67
2018HU1119146,5,2,59306,3,30_39,m,not.hisp.latino,white,68
2018HU0593695,5,6,59306,3,40_49,f,not.hisp.latino,white,13
2018HU1073770,5,4,59305,3,0_9,m,not.hisp.latino,white,33
2018HU0777257,5,2,59309,3,50_59,m,not.hisp.latino,white,101
2018HU0964567,5,1,59309,3,50_59,m,not.hisp.latino,white,80
2018HU1004277,5,4,59302,3,0_9,m,not.hisp.latino,white,18
2018HU0843019,5,1,59301,3,50_59,f,not.hisp.latino,white,18
2018HU0191103,5,2,59309,3,50_59,m,not.hisp.latino,white,108
2018HU1208604,5,4,59305,3,10_19,m,not.hisp.latino,white,144
2018HU0465546,5,1,59307,3,30_39,f,not.hisp.latino,white,127
2018HU0920400,5,2,59304,3,50_59,m,not.hisp.latino,white,96
2018HU0433375,5,3,59303,3,10_19,f,not.hisp.latino,white,20
2018HU0084398,5,2,59305,3,20_29,f,not.hisp.latino,white,174
2018HU0748287,5,1,59303,3,50_59,m,not.hisp.latino,white,21
2018HU0593705,5,2,59308,3,40_49,f,not.hisp.latino,white,31
2018HU0158668,5,2,59308,3,40_49,f,not.hisp.latino,white,61
2018HU0136470,5,2,59307,3,10_19,m,not.hisp.latino,white,131
2018GQ0059632,5,1,59301,3,80_89,f,not.hisp.latino,white,48
2018HU1253198,5,4,59305,3,50_59,f,not.hisp.latino,white,45
2018HU0247375,5,2,59309,3,40_49,m,not.hisp.latino,white,110
2018HU1280659,5,3,59308,3,10_19,m,not.hisp.latino,white,79
