"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1674,189,233,143,293,210,251,257,72,26,794,880,1356,20,35,81,0,155,27,1133,541
1090,102,108,40,24,167,187,206,110,146,571,519,1044,1,0,33,0,0,12,1041,49
2688,365,346,425,325,358,426,205,177,61,1335,1353,1783,198,34,508,0,0,165,2514,174
725,124,102,51,10,122,170,111,35,0,394,331,693,0,0,32,0,0,0,648,77
583,109,13,125,126,95,18,82,15,0,281,302,482,41,0,42,0,18,0,534,49
1494,273,237,24,121,208,240,228,109,54,762,732,1208,17,0,262,0,0,7,1366,128
1038,125,76,253,97,109,179,126,24,49,503,535,915,52,0,3,0,54,14,871,167
2003,333,256,232,189,452,198,254,54,35,1132,871,697,0,0,1181,0,0,125,2003,0
1872,273,244,259,216,347,133,155,111,134,984,888,1033,243,0,456,0,0,140,1580,292
2534,370,485,185,331,351,320,321,109,62,1305,1229,1826,111,0,270,0,230,97,1921,613
1937,293,200,76,64,301,399,185,138,281,998,939,1793,1,0,143,0,0,0,1937,0
1004,118,100,81,140,112,139,134,140,40,505,499,670,33,0,147,0,109,45,887,117
3116,454,492,449,331,462,374,356,145,53,1575,1541,2071,94,11,595,0,85,260,2403,713
755,87,122,88,174,102,84,79,19,0,370,385,425,126,0,115,0,0,89,666,89
1396,206,113,334,279,222,130,53,26,33,1020,376,826,10,0,382,0,170,8,1200,196
3428,327,496,466,690,633,485,250,33,48,1568,1860,1642,216,0,1397,0,0,173,3236,192
2785,659,448,429,341,418,230,177,30,53,1370,1415,1424,95,0,434,0,776,56,1053,1732
1673,189,246,154,206,261,325,235,44,13,983,690,884,474,0,244,0,0,71,1523,150
1480,310,140,24,275,220,177,100,162,72,689,791,751,133,0,473,0,0,123,1355,125
2264,251,209,486,406,367,180,202,135,28,1013,1251,1547,170,0,418,0,24,105,1749,515
1365,123,89,79,320,192,158,188,130,86,668,697,1064,52,0,169,0,0,80,1344,21
1508,274,138,389,151,305,99,64,55,33,668,840,1040,211,0,109,0,0,148,1395,113
583,89,42,73,258,85,0,36,0,0,371,212,177,13,0,373,0,0,20,560,23
