"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1674,222,215,195,205,209,269,202,114,43,755,919,1337,47,11,99,1,143,36,1156,518
1090,115,153,107,133,146,167,156,79,34,553,537,1044,2,0,35,0,1,8,1047,43
2688,342,327,273,377,374,416,320,181,78,1275,1413,1776,193,5,528,5,21,160,2536,152
725,82,98,78,94,93,126,90,44,20,396,329,692,0,0,33,0,0,0,648,77
583,64,67,76,67,87,88,83,32,19,263,320,478,45,0,45,0,15,0,532,51
1494,160,197,170,201,187,228,205,108,38,739,755,1196,18,0,272,0,0,8,1383,111
1038,121,143,105,120,140,179,126,73,31,498,540,912,48,0,26,0,37,15,882,156
2003,253,288,202,281,281,291,243,103,61,1115,888,795,79,0,1005,1,6,117,1990,13
1872,225,259,203,264,297,246,226,109,43,946,926,1024,197,0,465,1,59,126,1579,293
2534,293,328,278,334,358,378,343,160,62,1275,1259,1805,108,4,317,4,189,107,1936,598
1937,209,221,148,244,290,324,268,172,61,995,942,1801,2,0,134,0,0,0,1937,0
1004,120,123,118,131,148,149,135,58,22,496,508,650,53,1,151,1,98,50,884,120
3116,402,420,347,440,424,453,358,211,61,1565,1551,2069,85,8,600,1,94,259,2436,680
755,107,105,76,108,95,107,86,54,17,362,393,414,116,0,130,0,15,80,678,77
1396,159,204,134,183,196,223,161,102,34,1023,373,804,60,0,381,3,106,42,1208,188
3428,384,436,347,463,552,518,420,226,82,1594,1834,1653,185,3,1331,2,52,202,3248,180
2785,405,387,338,383,359,381,297,180,55,1396,1389,1673,150,10,413,6,418,115,1683,1102
1673,192,234,158,238,268,231,213,101,38,960,713,881,446,2,256,2,28,58,1526,147
1480,189,210,147,212,200,220,181,87,34,674,806,751,120,1,460,1,22,125,1359,121
2264,261,318,265,314,301,336,288,123,58,1022,1242,1525,175,0,404,0,48,112,1761,503
1365,158,192,112,164,187,215,201,109,27,654,711,1029,63,0,191,0,1,81,1343,22
1508,181,217,147,215,229,213,172,97,37,688,820,1051,202,2,106,0,11,136,1408,100
583,63,74,58,80,96,72,74,43,23,360,223,181,11,0,374,0,2,15,564,19
2391,279,283,242,298,331,376,331,174,77,1167,1224,1528,376,13,320,2,43,109,2220,171
2867,340,357,289,378,388,453,368,212,82,1531,1336,2137,61,0,541,1,14,113,2735,132
1422,181,173,165,186,191,196,197,106,27,728,694,901,121,3,260,3,51,83,1255,167
1109,141,149,136,150,169,158,113,68,25,548,561,679,17,1,315,0,12,85,1025,84
3085,372,384,329,418,461,467,370,208,76,1390,1695,1592,460,11,751,4,93,174,2606,479
1433,167,194,156,182,167,215,185,105,62,669,764,1201,8,0,133,0,26,65,1309,124
650,64,83,68,71,92,104,91,57,20,302,348,641,9,0,0,0,0,0,629,21
1685,210,221,196,225,237,245,220,94,37,745,940,974,296,1,179,1,111,123,1413,272
1289,147,173,108,150,186,209,193,91,32,473,816,991,93,0,191,0,2,12,1128,161
1506,184,191,160,197,182,234,187,112,59,691,815,1333,35,0,114,0,1,23,1213,293
1469,195,209,147,171,188,234,193,101,31,675,794,958,94,2,258,0,44,113,1260,209
854,104,122,86,94,110,142,106,61,29,445,409,755,8,1,55,0,21,14,734,120
1771,211,214,194,259,253,258,227,110,45,724,1047,1089,151,3,414,0,47,67,1507,264
2787,351,356,325,420,416,403,299,156,61,1529,1258,1434,470,14,561,1,215,92,1975,812
3208,432,428,341,440,454,465,384,195,69,1503,1705,1733,372,3,659,2,134,305,2762,446
812,118,109,86,105,106,107,116,47,18,486,326,352,145,0,222,0,11,82,762,50
1276,168,176,126,180,192,170,145,96,23,699,577,533,67,0,507,1,26,142,1260,16
917,118,96,87,134,123,133,126,76,24,381,536,459,50,0,293,3,42,70,839,78
1999,204,237,224,261,275,336,240,175,47,1015,984,1396,36,5,515,0,17,30,1904,95
1680,195,192,194,236,258,249,191,113,52,784,896,784,363,0,486,1,21,25,1583,97
1170,126,158,134,157,166,168,146,74,41,747,423,642,99,2,378,2,13,34,1119,51
3221,417,426,344,456,453,435,397,219,74,1367,1854,1800,622,3,407,9,105,275,2749,472
1203,147,163,125,160,184,177,159,60,28,508,695,848,77,1,115,0,43,119,907,296
1744,190,209,174,220,239,271,251,136,54,792,952,1137,80,0,403,1,47,76,1609,135
2143,242,275,221,265,313,330,272,159,66,1095,1048,1604,122,0,350,0,1,66,1900,243
2032,270,295,278,306,265,261,209,105,43,1099,933,1097,78,6,362,3,350,136,1112,920
1189,167,149,128,150,183,169,131,86,26,567,622,439,114,0,506,0,3,127,1162,27
1996,222,269,193,254,313,338,222,137,48,966,1030,1259,17,2,548,0,29,141,1792,204
1883,232,250,203,239,254,286,241,129,49,1138,745,1346,189,0,215,4,28,101,1777,106
1214,124,140,127,150,169,202,180,90,32,652,562,1027,67,0,93,0,13,14,1170,44
1920,189,248,185,237,253,316,268,155,69,879,1041,1612,33,0,226,0,29,20,1757,163
1970,266,287,240,281,267,272,216,109,32,943,1027,1056,106,4,345,3,398,58,996,974
2107,241,272,218,283,333,342,242,119,57,1152,955,1303,12,4,576,1,187,24,1414,693
963,111,138,93,117,147,138,135,59,25,511,452,545,39,3,324,0,42,10,770,193
1760,210,201,186,243,256,260,227,131,46,914,846,1305,42,0,340,0,1,72,1638,122
2976,326,385,320,432,440,431,378,197,67,1488,1488,1598,526,4,634,1,106,107,2514,462
2596,335,375,305,373,336,404,276,144,48,1365,1231,1508,341,3,323,4,138,279,1672,924
1466,183,195,155,195,215,228,157,102,36,783,683,1059,151,2,183,1,57,13,1240,226
671,82,87,82,95,96,90,81,39,19,393,278,351,62,2,204,0,3,49,619,52
1439,188,199,158,178,185,230,181,91,29,816,623,1009,212,2,62,2,31,121,1287,152
1120,112,151,115,121,158,188,149,89,37,521,599,950,0,0,162,0,0,8,1101,19
824,88,101,68,143,106,130,114,51,23,380,444,776,24,0,5,0,5,14,755,69
3022,388,384,360,413,458,454,340,166,59,1490,1532,1884,167,18,411,9,413,120,1865,1157
2016,245,265,212,263,329,313,244,103,42,1087,929,1056,163,9,528,2,215,43,1309,707
1770,250,229,215,240,246,239,218,100,33,842,928,593,527,1,350,0,85,214,1489,281
1275,173,196,139,184,165,176,142,70,30,651,624,874,129,0,96,0,69,107,1115,160
2210,272,321,296,311,324,285,252,107,42,1082,1128,1057,128,5,476,3,399,142,1321,889
793,107,98,76,106,99,111,106,64,26,376,417,652,12,0,76,0,0,53,737,56
1579,185,224,177,189,201,256,207,97,43,805,774,1239,52,0,151,0,20,117,1444,135
1489,176,192,182,194,217,215,171,106,36,605,884,956,218,5,112,1,41,156,1223,266
1696,218,199,179,250,234,258,207,113,38,807,889,1065,354,1,123,1,67,85,1402,294
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,112,131,69,105,109,127,99,63,29,454,390,612,44,7,101,3,14,63,776,68
2452,275,329,228,310,406,394,299,158,53,1395,1057,1233,345,0,771,1,58,44,2388,64
1740,208,208,184,208,263,251,234,123,61,865,875,1457,15,1,171,1,13,82,1641,99
1281,194,211,142,155,175,172,119,81,32,682,599,703,154,10,154,2,98,160,1090,191
1289,159,146,135,199,201,171,157,90,31,531,758,468,397,2,376,6,16,24,1231,58
1694,191,191,158,221,222,309,217,132,53,786,908,1524,0,0,114,0,13,43,1584,110
1739,212,235,187,220,257,254,207,125,42,725,1014,855,172,0,624,0,14,74,1686,53
4793,649,655,576,643,655,689,554,281,91,2417,2376,2818,698,23,682,4,215,353,3722,1071
1374,175,157,136,184,191,208,179,96,48,627,747,599,173,4,526,1,5,66,1333,41
2062,231,261,206,256,289,351,290,131,47,1040,1022,1737,9,1,181,1,3,130,1960,102
2516,323,330,228,330,343,392,304,181,85,1251,1265,1899,203,3,183,2,106,120,2048,468
956,128,124,96,115,147,150,106,68,22,410,546,566,103,30,165,11,3,78,920,36
1768,225,229,201,255,232,274,234,93,25,855,913,587,1025,1,33,0,32,90,1553,215
2577,283,308,251,312,378,411,342,217,75,1196,1381,1921,94,1,372,2,32,155,2528,49
1003,116,119,98,139,131,169,134,73,24,470,533,782,80,0,79,0,9,53,944,59
1293,161,164,141,182,180,192,161,84,28,636,657,831,260,0,83,1,35,83,1124,169
999,104,132,97,125,145,145,154,74,23,580,419,380,11,0,567,0,5,36,954,45
2633,354,380,301,382,349,348,295,170,54,1431,1202,1290,421,3,372,2,222,323,2090,543
3661,480,466,417,531,502,510,445,228,82,1804,1857,1773,1053,6,459,6,205,159,3114,547
1763,196,224,178,227,258,272,229,138,41,896,867,1312,58,0,333,3,5,52,1548,215
2574,324,321,286,336,382,376,317,168,64,1330,1244,1544,43,3,689,1,144,150,2103,471
1991,230,230,232,284,264,321,243,125,62,1179,812,1653,255,2,25,0,26,30,1818,173
2793,379,341,308,375,412,442,324,154,58,1304,1489,1190,272,6,1047,2,101,175,2250,543
