"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1674,177,235,138,283,203,278,264,64,32,746,928,1345,20,30,82,0,162,35,1165,509
1090,125,120,38,24,156,172,205,106,144,556,534,1042,1,0,34,0,2,11,1056,34
2688,325,322,463,306,378,408,235,198,53,1270,1418,1764,192,20,553,0,1,158,2539,149
725,133,99,59,11,126,168,104,25,0,389,336,691,0,0,34,0,0,0,665,60
583,87,11,146,116,113,13,80,17,0,268,315,466,49,0,53,0,15,0,531,52
1494,242,221,24,112,210,256,257,125,47,730,764,1209,17,0,259,0,0,9,1379,115
1038,119,63,264,87,103,171,140,36,55,507,531,918,51,0,9,0,44,16,901,137
2003,318,258,214,187,428,223,255,68,52,1104,899,826,0,0,1059,0,0,118,2003,0
1872,269,273,212,218,347,139,165,117,132,923,949,1038,254,0,462,0,0,118,1610,262
2534,354,523,205,266,367,315,328,110,66,1280,1254,1827,101,0,257,0,238,111,1943,591
1937,283,227,84,77,297,336,224,118,291,1008,929,1809,2,0,126,0,0,0,1937,0
1004,119,104,60,139,122,114,171,144,31,513,491,648,40,0,162,0,112,42,865,139
3116,442,446,452,390,451,364,364,139,68,1532,1584,2100,74,9,600,0,68,265,2441,675
755,96,116,99,157,87,92,76,32,0,360,395,407,116,0,136,0,0,96,677,78
1396,191,110,322,271,212,161,55,24,50,1036,360,824,15,0,380,0,169,8,1213,183
3428,351,516,451,597,637,499,290,32,55,1607,1821,1793,172,0,1250,0,0,213,3252,176
2785,680,416,408,344,419,258,158,47,55,1397,1388,1511,105,0,462,0,664,43,1179,1606
1673,147,251,174,187,265,362,226,46,15,950,723,905,460,0,245,0,0,63,1504,169
1480,304,138,20,273,223,176,115,160,71,702,778,763,139,0,441,0,0,137,1346,134
2264,209,232,505,354,343,225,206,159,31,1045,1219,1547,167,0,409,0,15,126,1780,484
1365,98,84,90,322,213,127,216,148,67,660,705,1019,47,0,208,0,0,91,1338,27
1508,247,161,399,130,312,101,59,68,31,687,821,1056,199,0,116,0,0,137,1396,112
583,81,45,93,243,91,0,30,0,0,369,214,196,6,0,365,0,0,16,567,16
2391,370,332,206,281,481,313,248,149,11,1171,1220,1570,350,25,300,0,43,103,2220,171
2867,344,502,236,179,420,551,504,106,25,1531,1336,2143,57,0,519,0,18,130,2731,136
1422,141,108,248,180,255,199,183,89,19,730,692,916,113,0,232,0,70,91,1239,183
1109,148,220,31,111,226,178,114,57,24,543,566,689,12,0,314,0,0,94,1028,81
3085,389,241,470,406,328,442,318,213,278,1417,1668,1647,490,32,703,0,54,159,2623,462
1433,190,134,99,303,244,167,144,76,76,649,784,1187,4,0,133,0,35,74,1312,121
650,74,66,66,83,125,118,55,43,20,313,337,636,14,0,0,0,0,0,625,25
1685,326,89,355,316,412,165,0,0,22,759,926,1017,291,0,120,0,130,127,1438,247
1289,131,0,548,183,342,35,50,0,0,485,804,986,101,0,188,0,0,14,1127,162
1506,242,219,95,159,136,293,160,146,56,684,822,1326,34,0,119,0,0,27,1218,288
1469,187,271,133,92,211,249,187,80,59,674,795,984,84,0,238,0,41,122,1251,218
854,88,78,109,72,92,210,108,71,26,459,395,749,3,8,62,0,21,11,740,114
1771,298,41,352,455,76,195,199,64,91,723,1048,1094,202,0,412,0,0,63,1497,274
2787,534,240,546,561,485,241,138,12,30,1504,1283,1375,597,16,547,0,189,63,1820,967
3208,318,66,792,853,492,272,372,35,8,1490,1718,1792,397,0,599,0,113,307,2778,430
812,206,91,103,45,161,146,21,34,5,494,318,358,169,0,196,0,0,89,754,58
1276,128,231,118,58,234,331,92,70,14,710,566,545,69,0,494,0,22,146,1270,6
917,87,63,116,175,179,203,72,22,0,414,503,463,54,0,283,0,47,70,836,81
1999,124,281,127,162,223,362,421,190,109,1007,992,1420,24,9,518,0,0,28,1900,99
1680,306,205,53,257,190,284,91,160,134,798,882,775,363,0,493,0,22,27,1581,99
1170,130,110,325,270,95,45,162,19,14,741,429,646,108,11,377,0,0,28,1121,49
3221,500,379,383,754,493,266,302,144,0,1393,1828,1847,789,0,299,17,13,256,2784,437
1203,239,101,94,157,167,228,86,91,40,493,710,854,74,0,120,0,45,110,911,292
1744,133,276,168,57,288,220,263,163,176,804,940,1150,21,0,397,0,106,70,1609,135
2143,212,305,202,297,216,459,257,133,62,1080,1063,1620,132,0,323,0,0,68,1893,250
2032,192,320,295,406,305,233,244,30,7,1110,922,1066,38,0,377,0,407,144,1077,955
1189,290,89,111,441,135,44,54,0,25,574,615,487,122,0,472,0,0,108,1163,26
1996,113,144,292,357,298,312,296,131,53,920,1076,1270,0,0,551,0,19,156,1825,171
1883,101,250,445,210,329,189,219,122,18,1112,771,1360,174,0,210,0,29,110,1764,119
1214,79,58,116,246,152,168,218,165,12,649,565,1000,65,0,123,0,26,0,1175,39
1920,254,291,78,125,205,256,555,133,23,913,1007,1625,31,0,213,0,30,21,1746,174
1970,337,114,364,398,245,177,169,153,13,911,1059,999,132,0,354,0,461,24,954,1016
2107,169,317,368,259,207,314,216,174,83,1144,963,1332,15,0,568,0,170,22,1427,680
963,82,66,218,71,170,141,130,57,28,500,463,591,27,31,314,0,0,0,773,190
1760,265,232,121,237,244,220,278,127,36,904,856,1288,46,0,343,0,0,83,1623,137
2976,377,380,289,261,444,475,331,205,214,1431,1545,1654,536,0,571,0,99,116,2531,445
2596,505,297,256,526,206,514,130,139,23,1373,1223,1524,361,0,343,0,146,222,1242,1354
1466,251,121,61,326,176,163,177,130,61,767,699,1051,165,8,172,0,70,0,1251,215
671,97,27,82,110,123,115,62,43,12,384,287,360,55,0,202,0,0,54,616,55
1439,394,185,538,203,114,5,0,0,0,798,641,1015,244,0,45,9,13,113,1293,146
1120,50,180,64,80,85,222,317,96,26,517,603,952,0,0,162,0,0,6,1106,14
824,107,111,41,102,177,78,101,32,75,381,443,784,19,0,9,0,2,10,753,71
3022,524,422,514,593,430,305,134,100,0,1448,1574,1445,153,80,442,0,783,119,1133,1889
2016,171,177,372,252,305,226,304,97,112,1103,913,1123,162,38,480,0,203,10,1331,685
1770,399,208,328,197,283,168,119,12,56,828,942,611,523,0,352,0,73,211,1481,289
1275,253,119,84,246,142,146,170,62,53,653,622,881,149,0,71,0,56,118,1143,132
2210,399,139,331,443,99,249,400,100,50,1092,1118,1077,133,0,455,0,406,139,1385,825
793,32,0,93,131,97,113,133,93,101,355,438,668,15,0,59,0,0,51,741,52
1579,146,333,88,219,244,272,184,84,9,784,795,1228,48,0,160,0,0,143,1446,133
1489,276,55,129,368,74,270,170,85,62,590,899,955,219,20,102,0,32,161,1234,255
1696,334,214,580,287,177,59,33,12,0,798,898,1062,355,0,135,0,72,72,1415,281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,155,57,122,75,122,129,135,29,20,451,393,603,0,67,106,0,0,68,772,72
2452,227,549,168,338,380,509,156,22,103,1387,1065,1256,344,0,755,0,80,17,2386,66
1740,158,213,98,77,294,291,283,165,161,849,891,1485,17,0,155,0,15,68,1632,108
1281,172,100,420,256,215,90,28,0,0,686,595,728,152,29,101,0,121,150,1099,182
1289,89,102,248,307,132,162,198,41,10,506,783,503,379,0,357,7,15,28,1233,56
1694,283,124,103,96,311,275,283,101,118,778,916,1515,0,0,124,0,16,39,1588,106
1739,113,303,145,93,197,294,297,239,58,691,1048,865,166,0,612,0,16,80,1685,54
4793,783,544,709,1015,564,631,270,224,53,2376,2417,2721,1076,22,664,0,0,310,3186,1607
1374,172,149,154,186,145,241,249,50,28,590,784,564,182,8,548,0,0,72,1336,38
2062,244,465,103,162,338,336,262,152,0,963,1099,1738,0,0,162,0,0,162,1945,117
2516,383,234,226,330,412,349,359,195,28,1240,1276,1929,203,0,158,0,98,128,2044,472
956,151,135,101,35,162,97,148,37,90,385,571,583,103,38,142,10,0,80,928,28
1768,272,181,300,342,299,285,0,78,11,837,931,611,1049,0,0,0,0,108,1549,219
2577,288,425,499,57,327,521,154,47,259,1172,1405,1894,109,0,384,0,32,158,2519,58
1003,137,173,87,117,151,236,82,14,6,476,527,786,87,0,75,0,0,55,937,66
1293,83,128,90,170,279,234,144,102,63,643,650,839,262,0,90,0,0,102,1129,164
999,210,17,175,372,86,72,13,54,0,572,427,396,7,0,561,0,0,35,952,47
2633,418,239,415,437,371,265,339,113,36,1413,1220,1312,434,0,347,0,224,316,2088,545
3661,383,407,425,481,560,485,296,167,457,1807,1854,1647,1187,2,432,0,208,185,3096,565
1763,296,181,235,315,188,211,139,142,56,903,860,1333,67,0,309,8,0,46,1553,210
2574,369,501,188,384,396,385,157,112,82,1306,1268,1586,46,0,647,0,141,154,2132,442
1991,414,178,63,261,404,208,140,183,140,1173,818,1648,297,0,9,0,14,23,1815,176
2793,475,334,503,381,459,386,143,93,19,1328,1465,1246,252,0,1097,0,17,181,2255,538
2029,290,122,292,400,246,318,133,166,62,1189,840,1049,403,19,362,0,113,83,1659,370
3103,458,439,326,360,512,538,321,116,33,1596,1507,1193,62,0,1548,0,180,120,2635,468
1815,309,311,136,241,292,225,210,91,0,939,876,1660,39,14,78,0,0,24,1661,154
1800,189,198,366,231,281,212,252,68,3,917,883,1020,285,0,392,0,103,0,1551,249
1114,107,65,231,166,226,165,86,36,32,595,519,697,111,0,73,0,208,25,774,340
2065,400,149,402,637,215,67,148,17,30,1111,954,1048,30,0,818,0,131,38,1469,596
730,161,41,96,171,85,63,75,16,22,308,422,296,17,0,279,0,0,138,730,0
1108,62,100,114,129,113,206,220,74,90,558,550,471,0,0,622,0,0,15,1063,45
2439,359,121,449,702,482,113,163,45,5,1233,1206,737,467,5,1135,0,80,15,2334,105
968,89,0,166,151,136,117,97,73,139,347,621,726,46,0,169,0,3,24,908,60
2753,358,283,452,440,302,417,311,184,6,1369,1384,1750,286,0,545,0,16,156,2095,658
1420,94,192,231,154,211,269,142,92,35,801,619,849,127,0,273,0,128,43,1043,377
1358,549,208,202,298,101,0,0,0,0,681,677,733,310,11,84,18,43,159,1218,140
2892,384,545,414,389,527,344,108,160,21,1338,1554,1533,327,0,848,0,184,0,2021,871
2137,275,430,167,228,274,408,265,56,34,996,1141,1631,7,0,395,0,0,104,2113,24
1483,178,66,112,193,223,304,166,158,83,723,760,1033,139,42,189,0,35,45,1056,427
773,73,73,76,44,117,121,126,114,29,346,427,531,36,0,192,0,0,14,679,94
1657,230,406,130,231,130,70,336,71,53,714,943,380,913,0,244,0,0,120,1413,244
1177,230,155,14,136,220,210,118,52,42,595,582,1066,55,0,30,0,0,26,1105,72
1214,95,264,95,133,149,301,129,34,14,631,583,907,0,0,227,17,0,63,1146,68
1422,112,208,234,279,171,292,54,72,0,698,724,867,149,63,107,0,154,82,764,658
662,120,53,87,80,73,108,79,18,44,327,335,549,0,0,85,0,28,0,610,52
3384,781,432,519,774,398,238,188,44,10,1623,1761,1404,750,0,265,0,283,682,1544,1840
973,134,176,69,134,132,187,77,23,41,407,566,668,21,0,268,0,0,16,957,16
1775,143,130,694,380,217,113,53,20,25,957,818,847,0,0,867,0,0,61,1709,66
