"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1674,198,204,181,200,221,256,219,122,73,796,878,1263,219,8,93,0,31,60,1555,119
1090,122,129,132,135,125,149,157,92,49,537,553,792,165,2,70,1,15,45,1027,63
2688,282,342,332,341,316,367,379,219,110,1371,1317,1975,407,7,166,1,41,91,2488,200
725,71,92,74,99,93,100,101,58,37,351,374,536,87,3,43,1,14,41,674,51
583,78,62,64,71,79,72,74,55,28,284,299,441,78,0,27,0,9,28,549,34
1494,165,184,179,219,181,194,202,116,54,751,743,1135,183,5,89,1,32,49,1371,123
1038,118,139,132,112,129,144,140,91,33,480,558,752,141,2,87,0,19,37,960,78
2003,207,257,259,266,241,309,246,139,79,975,1028,1442,325,9,125,1,34,67,1855,148
1872,201,226,217,213,244,298,257,141,75,905,967,1362,286,6,120,2,30,66,1740,132
2534,276,323,303,300,294,373,345,228,92,1237,1297,1863,359,7,169,2,32,102,2359,175
1937,205,260,223,229,231,275,274,160,80,955,982,1438,278,2,125,2,26,66,1809,128
1004,101,137,120,145,114,134,128,80,45,497,507,727,159,1,67,1,12,37,939,65
3116,346,422,324,357,393,440,456,241,137,1511,1605,2254,495,15,177,1,59,115,2883,233
755,92,87,87,100,90,100,92,74,33,371,384,532,122,0,48,1,17,35,699,56
1396,159,176,165,186,194,190,150,117,59,703,693,1004,202,3,100,2,24,61,1288,108
3428,387,437,392,389,452,515,462,260,134,1643,1785,2484,500,9,225,2,68,140,3162,266
2785,296,372,368,340,320,375,379,236,99,1338,1447,2008,429,7,191,4,45,101,2586,199
1673,177,218,198,214,214,236,211,141,64,818,855,1206,249,5,96,3,31,83,1553,120
1480,154,197,151,189,182,227,217,106,57,720,760,1093,198,5,93,0,22,69,1379,101
2264,268,254,275,291,264,346,310,157,99,1062,1202,1643,342,10,144,4,36,85,2083,181
1365,155,187,125,175,169,197,190,103,64,646,719,1001,196,5,88,1,20,54,1273,92
1508,162,185,185,204,185,216,192,118,61,711,797,1067,246,7,110,2,26,50,1408,100
583,68,68,78,72,66,78,81,50,22,283,300,418,89,2,42,0,12,20,537,46
2391,264,277,286,318,300,364,303,185,94,1122,1269,1752,360,10,143,2,38,86,2207,184
2867,303,389,326,368,324,427,396,218,116,1398,1469,2118,407,8,177,0,41,116,2673,194
1422,167,176,176,177,176,181,184,117,68,692,730,1013,224,2,102,2,21,58,1337,85
1109,101,145,133,130,162,163,146,83,46,523,586,819,156,5,59,1,24,45,1020,89
3085,303,377,379,380,410,398,392,296,150,1476,1609,2258,470,15,181,3,42,116,2845,240
1433,165,185,154,160,168,212,205,120,64,691,742,1078,209,1,77,2,29,37,1320,113
650,68,96,80,79,58,92,94,59,24,323,327,479,82,1,56,0,12,20,601,49
1685,176,215,214,216,191,231,229,143,70,828,857,1255,225,10,106,3,24,62,1554,131
1289,155,145,153,176,161,179,160,98,62,624,665,943,198,2,79,0,18,49,1193,96
1506,149,175,180,206,199,210,210,129,48,715,791,1114,232,2,84,3,27,44,1387,119
1469,142,199,169,172,182,221,199,117,68,691,778,1079,220,5,83,0,32,50,1339,130
854,92,97,93,109,102,127,130,63,41,421,433,626,135,1,52,2,9,29,793,61
1771,212,224,181,211,230,264,243,137,69,867,904,1281,274,7,121,0,27,61,1652,119
2787,311,372,329,348,323,360,386,236,122,1359,1428,2066,393,6,180,2,45,95,2595,192
3208,335,400,395,383,399,448,445,273,130,1559,1649,2345,493,7,201,4,49,109,2966,242
812,110,112,92,91,105,101,123,44,34,416,396,586,130,4,39,1,10,42,750,62
1276,128,171,163,145,144,189,181,109,46,614,662,926,179,2,89,1,25,54,1185,91
917,105,105,127,107,126,135,106,69,37,458,459,661,136,2,64,1,17,36,852,65
1999,229,264,223,235,254,284,263,165,82,953,1046,1462,286,5,132,2,38,74,1848,151
1680,176,221,189,190,215,258,244,113,74,868,812,1193,260,5,126,0,36,60,1554,126
1170,107,156,143,164,156,172,137,80,55,590,580,858,179,6,66,4,18,39,1093,77
3221,343,396,376,393,403,479,415,273,143,1577,1644,2410,421,8,218,1,54,109,2976,245
1203,127,164,149,163,129,172,158,93,48,597,606,881,170,7,80,0,20,45,1104,99
1744,177,220,199,209,209,263,247,152,68,833,911,1281,269,5,106,2,30,51,1620,124
2143,242,243,266,281,262,299,302,159,89,1025,1118,1558,343,12,126,1,32,71,1988,155
2032,225,274,243,246,249,291,276,153,75,1026,1006,1467,317,4,136,3,31,74,1881,151
1189,117,136,150,149,149,171,172,90,55,609,580,875,168,5,74,0,21,46,1089,100
1996,232,248,257,234,269,263,253,166,74,937,1059,1451,286,7,150,0,29,73,1852,144
1883,186,236,220,224,232,284,269,161,71,913,970,1380,291,5,117,2,31,57,1753,130
1214,121,155,138,146,171,186,147,105,45,572,642,858,204,1,81,0,23,47,1130,84
1920,215,244,223,259,249,270,241,145,74,947,973,1416,280,7,107,1,32,77,1769,151
1970,228,222,244,243,244,314,245,148,82,958,1012,1437,309,4,121,4,31,64,1838,132
2107,249,290,242,241,275,300,265,174,71,1102,1005,1533,311,10,135,1,28,89,1960,147
963,105,110,115,106,110,139,131,97,50,454,509,670,171,1,74,1,17,29,904,59
1760,187,214,192,233,209,242,260,155,68,865,895,1287,272,5,120,0,26,50,1649,111
2976,322,363,320,376,361,447,398,252,137,1477,1499,2164,478,8,172,3,47,104,2764,212
2596,282,288,323,341,347,368,344,192,111,1270,1326,1907,370,9,170,1,39,100,2402,194
1466,151,184,169,163,189,228,214,103,65,759,707,1039,227,5,114,0,26,55,1361,105
671,71,75,72,87,89,99,84,62,32,327,344,497,99,1,40,0,13,21,629,42
1439,153,184,168,158,180,208,184,132,72,716,723,1070,206,5,93,0,19,46,1333,106
1120,116,127,123,139,140,182,161,73,59,534,586,804,179,5,73,1,23,35,1039,81
824,89,100,109,79,99,129,107,78,34,385,439,587,134,3,52,1,10,37,772,52
3022,313,417,358,379,336,433,414,229,143,1461,1561,2246,426,5,194,4,44,103,2824,198
2016,233,228,249,250,248,320,251,155,82,984,1032,1470,317,4,124,4,32,65,1879,137
1770,178,221,205,233,237,250,224,140,82,886,884,1297,269,5,96,1,35,67,1642,128
1275,128,152,159,158,178,165,158,107,70,611,664,938,194,8,71,2,15,47,1181,94
2210,237,284,252,265,243,343,292,193,101,1067,1143,1637,323,6,130,1,35,78,2049,161
793,89,89,92,110,91,107,108,67,40,377,416,582,114,2,57,1,14,23,734,59
1579,166,176,195,220,197,204,223,119,79,801,778,1155,212,5,101,2,36,68,1456,123
1489,165,174,173,184,168,232,217,115,61,719,770,1088,235,8,96,2,22,38,1390,99
1696,161,240,225,209,239,214,222,130,56,813,883,1230,249,10,115,2,27,63,1587,109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,94,96,118,89,106,125,106,75,35,392,452,624,115,0,59,0,14,32,779,65
2452,237,316,267,340,313,364,333,195,87,1187,1265,1784,351,8,160,1,57,91,2269,183
1740,161,196,198,231,223,233,275,139,84,843,897,1265,262,10,122,3,27,51,1632,108
1281,124,155,137,176,165,193,192,89,50,632,649,930,213,1,72,0,18,47,1194,87
1289,137,161,135,185,157,172,179,107,56,619,670,941,185,5,75,0,20,63,1196,93
1694,183,229,203,195,213,245,241,125,60,834,860,1225,265,4,105,0,31,64,1563,131
1739,184,229,178,209,229,260,212,158,80,868,871,1256,262,4,118,0,30,69,1619,120
4793,533,560,625,599,618,663,644,357,194,2319,2474,3520,694,14,307,3,83,172,4422,371
1374,145,179,148,174,175,190,194,104,65,643,731,985,220,9,92,1,16,51,1271,103
2062,204,234,278,250,266,311,271,155,93,989,1073,1515,295,12,145,1,25,69,1925,137
2516,277,309,313,313,304,381,347,177,95,1246,1270,1831,350,6,161,2,47,119,2327,189
956,109,110,124,108,121,135,131,70,48,469,487,688,162,1,67,1,12,25,882,74
1768,181,231,185,242,229,256,229,146,69,858,910,1296,262,5,120,2,29,54,1649,119
2577,275,333,323,343,278,339,342,242,102,1226,1351,1892,382,4,163,3,44,89,2400,177
1003,106,125,128,116,128,144,144,70,42,492,511,738,154,4,56,0,21,30,915,88
1293,148,140,157,160,155,208,173,99,53,630,663,945,208,3,71,3,17,46,1214,79
999,104,117,117,126,120,147,134,85,49,505,494,732,145,6,58,2,24,32,906,93
2633,287,325,330,297,337,380,347,200,130,1311,1322,1983,352,3,157,4,40,94,2449,184
3661,383,458,453,443,438,522,498,315,151,1790,1871,2684,568,7,192,7,69,134,3386,275
1763,199,185,213,238,224,269,245,118,72,840,923,1290,274,6,110,1,21,61,1641,122
2574,270,299,306,323,330,371,368,210,97,1283,1291,1889,405,5,145,1,42,87,2400,174
1991,215,245,261,272,211,290,248,166,83,998,993,1448,309,7,123,1,28,75,1849,142
2793,285,348,358,359,373,368,380,224,98,1314,1479,2023,425,14,171,5,58,97,2567,226
2029,210,284,236,243,249,283,277,163,84,953,1076,1468,337,8,126,2,26,62,1896,133
3103,344,383,380,388,372,454,424,238,120,1503,1600,2240,493,10,188,4,54,114,2878,225
1815,191,211,225,221,221,270,261,141,74,882,933,1329,267,2,114,1,29,73,1683,132
1800,201,214,222,214,209,256,268,136,80,851,949,1310,287,8,107,1,28,59,1670,130
1114,110,150,155,146,140,140,166,67,40,557,557,822,153,3,80,1,15,40,1036,78
2065,230,247,257,272,244,301,257,181,76,1028,1037,1481,346,4,124,6,30,74,1932,133
730,84,80,88,99,98,88,118,50,25,347,383,533,99,2,48,0,13,35,673,57
1108,123,142,124,124,141,159,135,110,50,519,589,825,163,2,60,1,22,35,1029,79
2439,242,304,308,311,283,339,312,220,120,1195,1244,1799,347,10,151,1,39,92,2262,177
968,96,125,115,131,112,153,116,92,28,473,495,729,140,2,52,1,10,34,897,71
2753,284,320,347,392,344,360,373,223,110,1333,1420,2010,413,8,168,3,45,106,2560,193
1420,171,168,178,176,162,203,177,115,70,730,690,1036,205,4,95,0,26,54,1313,107
1358,163,168,155,156,165,185,191,118,57,681,677,992,206,2,83,1,26,48,1254,104
2892,311,336,368,403,350,431,350,228,115,1448,1444,2075,441,8,191,4,58,115,2672,220
2137,222,276,276,253,247,312,276,171,104,1027,1110,1565,315,4,133,4,37,79,1983,154
1483,175,157,162,194,176,223,207,108,81,731,752,1079,219,3,96,1,28,57,1366,117
773,77,97,83,96,100,108,118,57,37,393,380,582,105,0,50,0,13,23,720,53
1657,178,211,185,194,224,220,228,144,73,818,839,1216,255,7,97,3,28,51,1543,114
1177,124,140,165,125,144,170,175,89,45,583,594,850,177,2,93,1,15,39,1114,63
1214,124,162,139,140,181,163,164,102,39,589,625,889,169,7,85,2,27,35,1109,105
