"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1674,205,218,191,228,232,260,190,112,38,755,919,1337,39,6,99,1,154,38,1156,518
1090,120,142,112,122,154,193,155,64,28,553,537,1044,2,0,35,0,1,8,1047,43
2688,306,338,271,344,400,406,340,193,90,1275,1413,1776,193,4,528,4,28,155,2536,152
725,90,88,71,70,114,99,117,54,22,396,329,692,0,0,33,0,0,0,648,77
583,60,70,66,76,79,90,72,52,18,263,320,478,45,0,45,0,12,3,532,51
1494,164,194,141,183,211,219,216,116,50,739,755,1186,18,1,272,0,9,8,1383,111
1038,137,131,109,123,136,179,119,75,29,498,540,912,48,0,36,1,26,15,882,156
2003,225,271,225,239,310,304,237,135,57,1115,888,731,0,0,1154,0,1,117,2002,1
1872,253,212,187,261,290,266,233,121,49,946,926,1024,196,2,453,0,71,126,1579,293
2534,321,347,267,349,351,374,291,160,74,1275,1259,1805,132,1,307,6,176,107,1936,598
1937,204,203,165,233,263,324,277,190,78,995,942,1801,2,0,134,0,0,0,1937,0
1004,110,141,115,121,134,150,139,71,23,496,508,651,67,0,185,0,51,50,884,120
3116,422,407,335,415,473,450,345,190,79,1565,1551,2069,144,9,600,3,101,190,2522,594
755,93,101,90,97,129,86,98,45,16,362,393,414,116,0,130,1,24,70,678,77
1396,171,181,157,190,196,180,174,105,42,1023,373,804,79,3,381,1,77,51,1208,188
3428,398,444,361,452,521,535,373,233,111,1594,1834,1634,185,1,1371,0,35,202,3248,180
2785,381,435,362,434,380,370,257,123,43,1396,1389,1452,94,3,413,1,752,70,1051,1734
1673,199,208,169,238,252,228,246,98,35,960,713,930,391,1,260,2,31,58,1526,147
1480,194,189,153,202,213,242,174,91,22,674,806,751,120,0,466,1,25,117,1359,121
2264,257,286,252,301,324,371,275,148,50,1022,1242,1525,175,3,383,3,63,112,1828,436
