"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","armed.forces","civilian.employed","not.in.labor.force","unemployed","abroad.house","diff.us.house","same.house","i.0.9999","i.10000.14999","i.15000.24999","i.25000.34999","i.35000.49999","i.50000.64999","i.65000.74999","i.75000.99999","abroad.born","naturalization","not.citizen","puerto.rico.born","us.born","divorced","married","never","separated","widowed","no.schooling","private","public","with.disability","without.disability","federal","local","not.working","private.no.profit","private.profit","self.employed.corp","self.employed.no.corp","state","with.insurance","without.insurance","asian","black","other","two.","white"
3742,574,516,227,427,572,534,490,249,153,1874,1868,9,1874,1770,89,0,428,3314,2247,13,119,52,168,180,50,913,86,440,104,0,3112,222,1771,1627,44,78,2752,336,654,229,3513,286,112,1980,222,908,130,81,23,3513,229,166,175,337,88,2976
3135,227,311,311,428,563,533,464,236,62,1252,1883,78,1966,982,109,0,632,2503,1636,10,46,58,79,328,90,888,63,170,90,11,2801,507,1029,1459,22,118,2544,189,402,367,2768,455,176,1199,240,887,36,108,34,2914,221,184,57,43,122,2729
3743,441,465,354,564,575,587,412,154,191,1854,1889,36,2248,1388,71,0,322,3421,2257,103,2,239,132,228,119,663,128,490,440,20,2665,308,1513,1638,50,234,2832,175,736,536,3207,269,141,1575,146,1365,112,132,3,3522,221,201,222,629,155,2536
4968,690,597,700,1077,761,601,438,40,64,2636,2332,99,2813,1901,155,60,805,4103,2879,61,89,450,383,472,210,424,544,788,1072,244,2320,415,2127,2374,41,11,3661,248,1059,317,4651,409,232,2195,223,1736,28,128,17,3983,985,258,986,609,66,3049
2966,354,304,233,314,411,558,408,281,103,1477,1489,64,1610,1274,18,0,181,2785,1715,0,40,184,147,113,92,675,39,443,83,61,2340,146,1543,1109,57,111,2260,179,527,328,2638,268,27,1418,145,871,111,111,15,2769,197,115,488,150,183,2030
6217,990,960,231,952,1038,623,669,444,310,3176,3041,91,2800,3090,236,39,723,5455,4440,17,60,90,253,157,34,1166,185,631,479,0,4922,558,2563,2667,81,348,4293,389,1535,689,5528,415,212,3504,404,1327,110,225,20,5678,539,294,1233,16,224,4450
2784,415,242,132,141,476,461,466,194,257,1361,1423,41,1300,1404,39,0,265,2519,1900,0,0,0,21,34,39,790,16,264,39,7,2458,55,1638,939,20,132,2265,177,342,326,2458,235,61,1517,221,621,27,93,9,2695,89,144,5,15,49,2571
3948,705,628,155,412,784,553,318,253,140,2102,1846,97,1980,1842,29,57,353,3538,2563,8,62,9,27,76,106,1097,82,269,25,10,3562,77,2073,1621,21,156,2723,268,957,148,3800,602,147,1969,199,801,86,120,24,3814,134,102,95,20,101,3630
4960,764,686,408,424,786,747,447,309,389,2503,2457,96,2340,2423,101,17,507,4436,3244,22,13,91,173,134,20,1263,166,264,32,0,4498,190,2538,2023,5,204,3520,347,1093,352,4608,553,104,2663,251,1052,191,129,17,4836,124,236,48,23,98,4555
3310,457,374,177,322,560,525,483,220,192,1457,1853,35,1767,1466,42,25,164,3121,1948,36,79,34,158,145,68,842,55,459,70,0,2726,146,1914,1064,18,168,2524,216,570,226,3084,226,82,1594,261,830,155,120,42,3123,187,267,141,36,207,2659
5986,968,734,748,980,790,790,503,255,218,3040,2946,113,3141,2652,80,62,705,5219,3264,48,240,476,281,325,174,1178,122,598,1238,16,4012,547,2188,2924,132,195,4403,238,1345,627,5359,503,188,2817,438,1724,154,155,7,5165,821,508,1175,157,362,3784
3623,377,391,236,327,500,757,481,386,168,1878,1745,42,1820,1702,59,0,252,3371,2274,0,53,42,63,146,51,994,144,387,73,33,2986,170,1966,1216,52,219,2864,257,502,323,3300,392,55,1823,300,743,96,194,20,3452,171,160,122,95,152,3094
5353,1635,1067,658,1133,644,188,28,0,0,2893,2460,1006,990,3256,101,116,1809,3428,3913,0,101,153,271,238,170,507,418,111,35,58,4731,139,2302,2883,19,10,2699,509,2145,242,5111,476,68,4370,50,325,0,49,15,4160,1193,200,1200,96,552,3305
1969,217,304,108,155,230,334,402,157,62,1064,905,7,894,1005,63,2,166,1801,1287,23,7,31,33,108,50,430,24,89,8,6,1842,93,885,811,57,123,1479,89,401,131,1838,174,131,1132,50,289,105,62,26,1889,80,63,84,5,43,1774
4254,459,579,561,515,622,644,405,225,244,2383,1871,20,2180,1912,142,38,262,3954,2710,12,106,198,331,199,117,581,84,1344,481,36,2309,207,1760,2092,46,149,3139,271,844,480,3774,225,38,2117,241,1455,75,86,17,3784,470,772,540,203,128,2611
4165,471,440,489,722,586,716,540,147,54,1980,2185,45,2259,1696,165,73,368,3724,2447,0,61,182,265,214,83,913,26,924,362,0,2853,350,1794,1792,93,136,3203,228,734,216,3949,475,116,1917,308,1127,80,117,25,3663,502,763,943,56,185,2218
1990,131,105,463,575,230,323,114,49,0,974,1016,49,1499,362,80,23,533,1434,715,0,82,117,72,303,122,579,45,133,177,28,1607,262,665,980,18,65,1628,92,270,84,1906,348,34,501,188,857,30,8,24,1923,67,256,575,53,68,1038
2844,427,294,215,481,436,461,293,154,83,1459,1385,47,1554,1140,103,34,306,2504,1706,11,65,57,93,153,59,700,57,499,191,12,2085,213,1279,1224,13,115,2201,232,411,215,2629,252,103,1298,172,821,115,69,14,2681,163,351,397,52,109,1935
6186,920,857,630,709,1099,893,533,380,165,2995,3191,78,3313,2658,137,117,335,5734,3655,19,147,236,199,437,268,1225,239,1015,521,40,4371,371,2897,2665,0,253,4457,398,1331,319,5867,696,254,2826,534,1569,119,170,18,5656,530,620,953,339,156,4118
3137,252,82,697,1031,410,348,211,63,43,1594,1543,68,2366,660,43,41,1003,2093,1138,19,97,209,179,362,206,927,18,390,505,48,2176,380,1100,1560,31,66,2707,180,250,255,2882,660,165,785,293,1098,47,61,28,2816,321,615,555,175,84,1708
1795,46,82,183,113,176,185,386,396,228,996,799,4,801,955,35,26,257,1512,1171,0,74,28,8,127,9,378,11,250,123,14,1397,277,774,573,21,150,1646,28,121,357,1438,182,56,966,57,455,14,47,18,1736,59,30,174,51,84,1456
1832,132,117,323,429,419,242,105,30,35,939,893,73,1335,393,31,18,356,1458,706,5,44,124,167,184,107,495,38,179,262,4,1349,220,702,864,35,11,1461,59,312,102,1730,330,60,457,130,764,14,52,25,1615,217,124,281,243,43,1141
3442,504,163,779,940,375,316,229,114,22,1719,1723,103,2087,1216,36,0,869,2573,1655,49,133,118,193,235,131,928,19,330,480,44,2569,278,1161,1868,64,71,2705,148,589,227,3215,538,63,1440,228,871,140,84,78,3025,417,405,1061,250,47,1679
4807,668,554,743,1237,657,378,423,147,0,2338,2469,89,3103,1557,58,123,1032,3652,2344,116,341,306,362,265,139,934,79,441,693,25,3569,287,2003,2253,202,62,3584,139,1084,337,4470,425,235,1769,305,1783,61,81,148,4191,616,360,873,551,284,2739
4662,629,616,457,565,745,683,501,331,135,2110,2552,97,2129,2259,177,22,564,4076,2962,13,172,85,160,211,152,907,151,942,181,6,3382,248,2173,1918,67,256,3479,235,948,517,4145,426,151,2474,267,1172,37,123,12,4443,219,696,469,82,436,2979
4084,558,461,755,509,415,672,438,191,85,1764,2320,0,2561,1450,73,8,353,3723,2282,16,313,428,124,234,92,595,47,545,770,20,2702,258,1672,2023,47,84,3109,118,857,274,3810,293,219,1643,137,1505,149,80,58,3513,571,520,371,409,239,2545
2710,264,395,345,437,486,458,181,82,62,1432,1278,30,1752,866,62,0,157,2553,1401,37,50,199,113,226,85,599,75,596,306,0,1733,242,1027,1369,19,53,2012,63,635,215,2495,332,122,1009,48,1053,66,54,26,2431,279,279,649,104,303,1375
4870,665,601,752,946,500,633,491,206,76,2351,2519,147,2671,1907,145,80,742,4048,2867,27,59,151,398,272,70,1026,67,1030,759,57,2957,281,2050,2314,101,124,3570,153,1147,366,4504,507,151,2162,395,1361,142,122,30,4369,501,910,1160,113,224,2463
6296,960,745,578,1312,802,1118,551,207,23,3211,3085,112,3551,2402,231,134,636,5526,3606,0,132,298,402,381,151,1326,292,1076,561,62,4305,335,2610,2966,154,231,4363,371,1562,430,5866,789,194,2738,437,1794,98,176,70,5929,367,532,1376,150,211,4027
3643,544,277,265,670,405,604,394,293,191,1760,1883,107,1732,1711,93,0,387,3256,2147,48,14,67,118,116,114,1019,128,639,171,15,2690,332,1665,1353,29,264,2845,221,577,332,3311,529,91,1957,105,785,31,54,91,3447,196,550,728,110,153,2102
5496,760,789,525,709,951,1039,443,213,67,2681,2815,83,2907,2386,120,9,710,4777,3251,28,12,183,216,233,123,1450,139,709,310,74,4264,330,2721,2242,23,180,4080,300,1116,338,5158,914,151,2607,247,1354,60,133,30,5312,184,777,766,143,306,3504
2057,280,236,195,242,281,294,252,141,136,994,1063,40,1013,991,13,102,62,1893,1343,24,36,18,49,115,60,412,32,89,80,6,1850,61,1052,838,0,106,1553,99,405,98,1959,277,101,1058,145,377,13,71,15,1976,81,70,71,5,70,1841
3982,499,318,439,707,538,543,534,298,106,1873,2109,89,2112,1678,103,26,337,3619,2350,0,102,64,262,188,96,920,58,525,314,36,3049,135,2130,1624,28,65,2977,253,752,359,3623,440,125,1857,218,1117,63,117,45,3724,258,368,492,134,150,2838
9151,1711,1140,1404,2167,836,777,823,230,63,4652,4499,74,4779,4272,26,262,1439,7450,5447,112,862,923,274,518,227,788,145,1078,3066,352,4510,559,3586,4621,181,204,7110,258,1783,501,8650,292,279,4402,361,3564,87,116,50,6365,2786,1177,1789,1715,461,4009
7340,1365,1212,817,1537,1103,516,494,216,80,4089,3251,26,3558,3468,288,0,900,6440,4935,58,256,380,795,481,95,340,23,1187,2320,0,3810,379,2688,3932,222,119,5112,287,1941,689,6651,221,200,3849,246,2518,62,158,86,5376,1964,424,1598,894,187,4237
6538,1438,612,666,1453,781,917,372,282,17,3269,3269,0,3247,3069,222,54,855,5629,4255,0,429,478,789,253,106,228,59,1350,1902,49,3178,475,1957,3877,123,106,4818,205,1515,797,5741,279,50,3268,299,2404,33,189,16,5075,1463,673,2282,463,443,2677
5227,1160,669,850,1018,515,594,303,74,44,2461,2766,37,2414,2502,274,206,488,4533,3423,86,376,327,282,336,113,284,46,922,1653,9,2597,486,1633,2891,158,59,3788,109,1330,297,4930,166,114,2861,210,1639,70,162,5,4069,1158,537,1155,754,776,2005
