"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","armed.forces","civilian.employed","not.in.labor.force","unemployed","abroad.house","diff.us.house","same.house","i.0.9999","i.10000.14999","i.15000.24999","i.25000.34999","i.35000.49999","i.50000.64999","i.65000.74999","i.75000.99999","abroad.born","naturalization","not.citizen","puerto.rico.born","us.born","divorced","married","never","separated","widowed","no.schooling","private","public","with.disability","without.disability","federal","local","not.working","private.no.profit","private.profit","self.employed.corp","self.employed.no.corp","state","with.insurance","without.insurance","asian","black","other","two.","white"
3742,547,544,281,424,546,514,519,243,124,1840,1902,15,1786,1876,65,45,409,3288,1408,51,116,118,163,188,78,1620,77,397,209,5,3054,220,1733,1658,50,81,2694,280,768,226,3516,263,172,1634,225,1130,137,142,39,3514,228,466,215,84,105,2872
3135,330,303,329,462,424,512,437,229,109,1261,1874,30,1740,1316,49,49,496,2590,1140,54,127,115,156,183,103,1257,64,341,182,6,2542,223,1529,1224,45,114,2468,183,484,300,2835,295,188,1098,225,1056,76,131,66,2928,207,392,181,48,108,2406
3743,402,457,381,544,589,575,428,218,149,1779,1964,26,2080,1570,67,56,332,3355,1315,88,162,195,173,221,124,1465,132,514,408,14,2675,227,1705,1599,56,156,2813,208,722,352,3391,272,181,1357,165,1436,110,147,75,3542,201,591,281,134,171,2566
4968,669,645,606,764,735,659,496,278,116,2623,2345,47,2698,2121,102,97,798,4073,1566,101,242,227,334,277,142,2079,175,797,512,25,3459,298,2206,2309,55,100,3629,256,1083,317,4651,384,231,1844,232,1884,123,189,81,4590,378,963,474,173,219,3139
2966,323,332,270,307,377,547,411,282,117,1458,1508,23,1537,1367,39,42,222,2702,1140,40,96,156,138,135,92,1169,46,438,178,13,2291,141,1529,1114,63,119,2244,183,539,304,2662,269,146,1204,142,905,116,135,49,2770,196,406,277,108,163,2012
6217,989,1008,481,752,854,758,687,470,218,3130,3087,40,2787,3284,106,94,692,5431,2161,104,219,176,285,247,131,2894,180,785,431,17,4804,342,2810,2791,81,193,4226,394,1597,530,5687,422,289,2799,304,1926,169,233,75,5839,378,979,484,134,261,4359
2784,368,271,166,252,440,453,454,253,127,1337,1447,28,1304,1414,38,31,238,2515,1114,22,64,89,107,124,70,1194,53,304,118,10,2299,118,1598,933,26,109,2196,143,445,286,2498,263,131,1203,202,746,94,117,28,2694,90,314,150,39,80,2201
3948,591,629,280,406,616,582,434,265,145,2084,1864,37,1917,1943,51,68,366,3514,1355,40,136,127,154,175,88,1873,96,401,224,9,3218,170,1965,1674,34,105,2731,256,961,250,3698,363,182,1693,188,1211,99,149,63,3805,143,534,241,90,138,2945
4960,750,724,414,477,731,726,584,365,189,2466,2494,48,2308,2540,64,78,480,4402,1791,66,150,141,212,213,90,2297,148,594,295,12,3911,212,2477,2051,69,151,3507,316,1137,361,4599,463,240,2152,235,1462,159,182,67,4761,199,734,296,82,196,3652
3310,410,378,213,347,509,552,533,250,118,1455,1855,20,1656,1590,44,33,243,3034,1282,68,89,98,134,150,87,1402,58,462,157,8,2625,160,1857,1136,38,119,2506,220,584,221,3089,236,174,1337,227,1003,134,156,43,3105,205,438,151,46,138,2537
5986,926,766,645,818,801,800,645,381,204,3077,2909,50,3095,2763,78,73,680,5233,1925,87,238,253,307,308,155,2713,177,836,535,18,4420,330,2679,2707,97,173,4362,283,1341,476,5510,481,281,2399,317,2026,161,224,97,5611,375,1058,488,178,295,3967
3623,400,398,249,422,506,626,522,344,156,1850,1773,40,1774,1753,56,35,318,3270,1420,46,101,126,162,140,82,1546,83,438,212,12,2878,179,2019,1233,54,138,2854,203,566,322,3301,359,175,1443,253,1063,117,175,38,3457,166,453,205,79,135,2751
5353,928,991,521,650,640,622,540,312,149,2758,2595,55,2336,2883,79,109,792,4452,1792,81,172,138,238,241,127,2564,148,588,380,23,4214,235,2213,2728,57,120,3419,363,1571,296,5057,411,212,2507,208,1668,99,180,68,5028,325,968,447,137,261,3540
1969,202,326,115,172,220,322,359,178,75,1034,935,9,876,1057,27,14,142,1813,904,28,30,48,73,107,52,727,27,140,53,5,1744,104,950,792,31,92,1488,89,392,141,1828,173,125,891,106,466,87,90,31,1883,86,131,90,10,43,1695
