"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","armed.forces","civilian.employed","not.in.labor.force","unemployed","abroad.house","diff.us.house","same.house","i.0.9999","i.10000.14999","i.15000.24999","i.25000.34999","i.35000.49999","i.50000.64999","i.65000.74999","i.75000.99999","abroad.born","naturalization","not.citizen","puerto.rico.born","us.born","divorced","married","never","separated","widowed","no.schooling","private","public","with.disability","without.disability","federal","local","not.working","private.no.profit","private.profit","self.employed.corp","self.employed.no.corp","state","with.insurance","without.insurance","asian","black","other","two.","white"
3742,528,512,224,452,580,532,532,228,154,1862,1880,10,1838,1807,87,0,406,3336,2192,15,108,51,171,198,43,964,76,416,115,0,3135,233,1777,1599,47,86,2728,344,670,235,3507,286,121,1882,214,977,145,97,20,3515,227,202,175,345,101,2919
3135,225,334,329,453,510,508,460,234,82,1263,1872,66,1955,1012,102,0,571,2564,1586,15,43,50,83,329,93,936,55,172,109,10,2789,473,1062,1484,18,98,2484,187,464,358,2777,407,186,1192,232,911,39,134,34,2928,207,207,79,44,104,2701
3743,427,439,365,542,588,573,434,175,200,1804,1939,42,2202,1432,67,0,324,3419,2168,110,4,216,160,226,126,733,122,487,444,18,2672,332,1524,1613,50,224,2778,213,752,500,3243,283,137,1522,133,1408,100,154,6,3555,188,219,229,610,149,2536
4968,464,611,761,1046,770,683,485,57,91,2618,2350,93,2941,1784,150,43,814,4111,2778,82,94,435,401,502,212,464,553,818,1025,199,2373,434,2174,2295,51,14,3647,257,1064,312,4656,380,221,2171,225,1775,34,146,16,3992,976,254,964,646,87,3017
2966,341,277,258,299,414,567,419,270,121,1455,1511,60,1613,1271,22,0,150,2816,1613,0,45,161,134,138,93,782,47,456,88,61,2314,131,1547,1089,74,125,2268,198,500,299,2667,293,32,1347,148,872,121,130,23,2764,202,144,500,147,183,1992
6217,911,953,260,961,1000,707,685,463,277,3098,3119,105,2882,3005,225,41,699,5477,4287,21,96,107,260,177,53,1216,178,635,474,0,4930,582,2664,2531,107,333,4302,365,1550,664,5553,453,234,3295,396,1447,135,227,30,5660,557,355,1194,14,219,4435
2784,409,247,157,142,483,405,489,225,227,1349,1435,44,1327,1380,33,0,262,2522,1806,0,6,0,23,34,46,869,23,280,50,9,2422,67,1624,946,22,125,2221,205,358,313,2471,247,53,1460,227,667,36,88,6,2703,81,175,6,22,52,2529
3948,656,645,142,417,740,606,315,266,161,2036,1912,110,2027,1772,39,69,388,3491,2544,17,72,11,48,77,93,1086,71,264,33,11,3569,98,2054,1610,22,164,2780,265,903,194,3754,566,157,1909,185,861,109,134,27,3813,135,146,95,32,101,3574
4960,691,685,414,424,794,761,485,344,362,2443,2517,83,2403,2380,94,26,478,4456,3163,27,27,93,167,151,20,1312,161,294,34,0,4471,215,2600,1950,7,188,3539,303,1118,338,4622,556,144,2537,242,1135,199,123,24,4808,152,276,46,23,106,4509
3310,458,331,191,337,548,536,510,208,191,1458,1852,34,1724,1508,44,18,161,3131,1845,35,80,38,131,151,79,951,61,470,99,0,2680,161,1945,1028,16,160,2542,204,564,214,3096,236,82,1580,229,864,150,127,42,3099,211,288,159,42,189,2632
5986,884,730,841,944,763,826,530,250,218,3062,2924,149,3275,2487,75,59,660,5267,3273,44,220,491,293,315,152,1198,125,626,1241,13,3981,516,2329,2813,141,187,4481,223,1282,621,5365,491,221,2682,432,1803,158,190,9,5117,869,500,1206,170,356,3754
3623,409,376,262,366,477,728,493,345,167,1829,1794,56,1811,1695,61,0,244,3379,2115,0,63,46,58,138,55,1148,141,388,72,30,2992,183,1970,1197,57,216,2844,246,533,302,3321,386,69,1803,277,767,105,188,28,3458,165,211,144,92,163,3013
5353,616,1319,851,1414,830,266,57,0,0,2645,2708,459,1444,3288,162,126,1317,3910,4278,0,48,72,138,121,80,616,451,71,36,53,4742,87,2173,3066,13,14,2610,529,2214,248,5105,459,65,4358,58,355,0,51,7,4159,1194,210,1201,97,595,3250
1969,222,324,99,181,220,324,363,166,70,1023,946,12,889,1008,60,5,153,1811,1186,31,6,43,33,104,57,509,31,98,12,5,1823,103,908,798,60,100,1472,99,398,151,1818,172,109,1073,46,342,116,81,30,1880,89,82,86,5,45,1751
4254,500,529,565,477,588,675,436,246,238,2263,1991,22,2133,1953,146,42,265,3947,2654,23,92,218,288,196,126,657,95,1340,509,38,2272,229,1783,2075,37,130,3152,262,840,435,3819,229,48,2104,228,1442,81,92,30,3767,487,762,545,219,158,2570
4165,498,414,514,668,557,742,523,185,64,2028,2137,44,2275,1670,176,77,370,3718,2358,0,72,162,266,227,84,996,38,895,364,0,2868,350,1825,1772,84,134,3232,224,709,220,3945,474,150,1881,265,1161,93,112,29,3638,527,746,930,68,198,2223
1990,144,109,459,535,247,324,116,56,0,982,1008,51,1486,385,68,30,506,1454,681,0,89,123,91,248,131,627,50,139,182,24,1595,237,651,1012,23,67,1620,102,268,87,1903,308,61,511,197,842,33,7,31,1913,77,247,548,52,68,1075
2844,425,281,191,471,457,470,289,164,96,1401,1443,38,1525,1183,98,32,288,2524,1671,12,68,51,97,128,64,753,61,485,226,6,2066,206,1335,1179,15,109,2192,217,435,208,2636,242,107,1320,180,766,118,81,30,2665,179,393,374,46,109,1922
