"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","armed.forces","civilian.employed","not.in.labor.force","unemployed","abroad.house","diff.us.house","same.house","i.0.9999","i.10000.14999","i.15000.24999","i.25000.34999","i.35000.49999","i.50000.64999","i.65000.74999","i.75000.99999","abroad.born","naturalization","not.citizen","puerto.rico.born","us.born","divorced","married","never","separated","widowed","no.schooling","private","public","with.disability","without.disability","federal","local","not.working","private.no.profit","private.profit","self.employed.corp","self.employed.no.corp","state","with.insurance","without.insurance","asian","black","other","two.","white"
3742,450,459,387,498,532,554,487,265,110,1826,1916,39,2011,1628,64,59,419,3264,1201,93,151,139,200,205,98,1655,84,634,359,35,2630,249,1830,1494,43,126,2806,184,752,274,3468,315,183,1320,243,1344,123,152,62,3541,201,694,253,104,169,2522
3135,378,398,331,432,390,474,410,224,98,1528,1607,28,1683,1371,53,32,369,2734,1000,75,106,142,153,177,92,1390,79,494,273,25,2264,193,1506,1297,31,108,2337,156,642,227,2908,269,157,1102,191,1125,103,138,50,2968,167,553,207,85,147,2143
3743,427,460,399,479,534,572,500,239,133,1785,1958,37,2015,1629,62,42,435,3266,1177,104,131,150,194,205,92,1690,101,619,302,32,2689,221,1871,1512,27,112,2801,184,758,278,3465,345,195,1326,238,1314,114,147,64,3566,177,655,278,98,175,2537
4968,581,653,500,682,678,763,606,346,159,2457,2511,56,2626,2198,88,66,570,4332,1630,111,190,192,249,271,121,2204,111,795,439,38,3585,285,2457,2030,43,153,3673,254,1041,388,4580,440,230,1782,336,1763,133,213,71,4707,261,857,339,128,203,3441
2966,319,385,291,406,425,458,366,224,92,1436,1530,37,1588,1289,52,32,346,2588,953,71,121,111,169,152,73,1316,68,525,290,21,2062,177,1480,1188,21,100,2231,128,607,234,2732,276,158,1040,193,1076,79,110,34,2807,159,517,216,102,144,1987
6217,770,783,641,796,918,879,779,442,209,3025,3192,61,3308,2732,116,65,674,5478,2021,138,242,265,290,301,186,2774,150,1022,566,39,4440,351,3058,2564,43,201,4587,343,1287,480,5737,555,290,2260,384,2239,183,225,81,5903,314,1093,389,186,285,4264
2784,326,374,278,362,368,399,377,205,95,1342,1442,25,1437,1274,48,22,323,2439,973,67,115,100,123,148,56,1202,60,454,248,21,2001,161,1380,1118,26,99,2046,141,597,243,2541,224,124,1025,179,976,74,149,33,2655,129,484,183,74,141,1902
3948,463,534,392,502,548,598,473,288,150,1941,2007,39,2101,1753,55,56,430,3462,1325,89,149,175,180,202,104,1724,95,641,338,31,2843,233,1965,1601,27,122,2912,195,841,339,3609,352,190,1418,233,1431,127,142,55,3746,202,687,247,116,189,2709
4960,616,614,473,665,692,737,620,377,166,2454,2506,52,2634,2196,78,62,569,4329,1590,108,177,187,270,292,144,2192,119,795,441,38,3567,300,2447,2013,34,166,3693,254,1013,393,4567,453,234,1780,308,1805,139,169,72,4712,248,842,317,158,229,3414
3310,398,404,315,445,453,488,442,243,122,1603,1707,32,1751,1480,47,35,369,2906,1070,80,111,126,152,171,89,1511,71,544,285,24,2386,182,1672,1308,34,114,2478,174,658,256,3054,315,144,1231,210,1142,92,124,52,3152,158,587,228,98,147,2250
