"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","armed.forces","civilian.employed","not.in.labor.force","unemployed","abroad.house","diff.us.house","same.house","i.0.9999","i.10000.14999","i.15000.24999","i.25000.34999","i.35000.49999","i.50000.64999","i.65000.74999","i.75000.99999","abroad.born","naturalization","not.citizen","puerto.rico.born","us.born","divorced","married","never","separated","widowed","no.schooling","private","public","with.disability","without.disability","federal","local","not.working","private.no.profit","private.profit","self.employed.corp","self.employed.no.corp","state","with.insurance","without.insurance","asian","black","other","two.","white"
3742,547,536,247,424,561,512,519,242,154,1841,1901,13,1774,1868,87,26,388,3328,1584,42,118,88,163,188,73,1486,75,396,109,2,3160,220,1736,1660,51,75,2686,368,688,226,3516,263,171,1673,226,1014,137,213,45,3514,228,371,202,116,89,2964
3135,225,306,325,456,525,516,461,230,91,1262,1873,33,1722,1274,106,40,556,2539,1442,31,52,81,167,291,106,965,54,167,94,6,2814,366,1277,1364,19,109,2518,183,434,372,2763,408,178,1130,240,914,35,181,49,2926,209,186,153,40,106,2650
3743,403,442,383,547,568,578,431,205,186,1779,1964,29,2015,1633,66,50,302,3391,1416,73,158,224,153,227,104,1388,130,488,438,15,2672,286,1621,1598,55,183,2814,208,721,436,3307,272,153,1447,148,1436,100,141,46,3539,204,641,245,159,159,2539
4968,670,673,538,740,735,672,544,268,128,2623,2345,45,2639,2200,84,80,781,4107,1573,90,216,218,314,299,124,2134,163,797,444,21,3543,271,2311,2208,65,113,3608,274,1086,317,4651,385,238,1870,266,1818,138,166,87,4596,372,915,421,137,185,3310
2966,324,318,272,307,377,562,411,282,113,1458,1508,29,1541,1371,25,20,159,2787,1277,33,63,156,139,134,92,1072,41,438,128,8,2351,141,1529,1109,68,119,2226,203,537,304,2662,269,143,1208,135,863,117,188,43,2770,196,359,334,109,165,1999
6217,922,981,281,919,973,674,660,476,331,3129,3088,45,2626,3370,176,49,709,5459,2808,95,139,151,257,179,85,2503,171,609,466,11,4960,529,2607,2641,101,339,4227,385,1605,669,5548,423,211,3057,384,1621,117,318,86,5659,558,771,654,100,229,4463
2784,384,242,149,207,486,452,470,223,171,1339,1445,26,1276,1446,36,16,248,2520,1217,22,57,69,106,72,65,1176,49,262,76,8,2389,92,1641,918,16,117,2244,193,347,331,2453,258,116,1255,226,679,79,144,27,2700,84,240,100,28,65,2351
3948,581,644,283,422,590,586,456,266,120,2085,1863,40,1932,1939,37,68,376,3504,1319,57,120,108,161,149,96,1938,96,455,195,8,3194,153,1971,1676,37,111,2732,271,945,234,3714,354,191,1707,196,1172,121,154,53,3784,164,557,232,85,149,2925
4960,745,697,415,408,814,727,478,341,335,2466,2494,69,2193,2624,74,34,477,4449,2198,46,105,100,153,144,99,2115,149,271,82,6,4452,195,2531,2009,23,202,3506,317,1137,340,4620,559,172,2387,236,1056,194,292,64,4822,138,295,133,30,103,4399
3310,392,376,191,335,509,543,518,239,207,1454,1856,12,1645,1613,40,19,154,3137,1481,31,85,89,127,151,72,1274,55,452,88,5,2710,159,1899,1049,29,174,2502,222,586,218,3092,223,159,1462,219,854,154,192,47,3102,208,281,155,40,195,2639
